Date,Open,High,Low,Close,Adj Close,Volume,ticker_symbol,security,sector
2007-01-03,33.748165130615234,34.07371139526367,33.53113555908203,33.73830032348633,28.31709861755371,13562595,DIS,Disney,Communication Services
2007-01-04,33.73830032348633,34.08357620239258,33.70870590209961,34.00465393066406,28.5406551361084,9806285,DIS,Disney,Communication Services
2007-01-05,33.80735397338867,33.975059509277344,33.53113555908203,33.72843551635742,28.30881690979004,10551445,DIS,Disney,Communication Services
2007-01-08,33.72843551635742,34.16249465942383,33.61005401611328,34.03424835205078,28.56549072265625,9479676,DIS,Disney,Communication Services
2007-01-09,34.03424835205078,34.221683502197266,33.491676330566406,33.98492431640625,28.524093627929688,11588444,DIS,Disney,Communication Services
2007-01-10,33.6889762878418,34.08357620239258,33.521270751953125,34.024383544921875,28.55721664428711,7305525,DIS,Disney,Communication Services
2007-01-11,34.1230354309082,34.55709457397461,33.98492431640625,34.517635345458984,28.971202850341797,12361379,DIS,Disney,Communication Services
2007-01-12,34.517635345458984,34.81358337402344,34.37952423095703,34.73466491699219,29.15335464477539,12022301,DIS,Disney,Communication Services
2007-01-16,34.5373649597168,34.67547607421875,34.418983459472656,34.55709457397461,29.004323959350586,11147897,DIS,Disney,Communication Services
2007-01-17,34.52750015258789,34.823448181152344,34.42884826660156,34.77412414550781,29.18648338317871,9946173,DIS,Disney,Communication Services
2007-01-18,34.823448181152344,35.4449462890625,34.77412414550781,35.366024017333984,29.683279037475586,16723872,DIS,Disney,Communication Services
2007-01-19,35.4449462890625,35.484405517578125,35.00101852416992,35.020748138427734,29.39346694946289,12621186,DIS,Disney,Communication Services
2007-01-22,34.9714241027832,35.00101852416992,34.57682418823242,34.67547607421875,29.103675842285156,8841662,DIS,Disney,Communication Services
2007-01-23,34.5472297668457,35.15885925292969,34.52750015258789,35.09967041015625,29.459714889526367,11278865,DIS,Disney,Communication Services
2007-01-24,35.09967041015625,35.26737594604492,34.793853759765625,34.87277603149414,29.269285202026367,10761683,DIS,Disney,Communication Services
2007-01-25,34.87277603149414,34.941829681396484,34.40911865234375,34.46831130981445,28.929811477661133,9584693,DIS,Disney,Communication Services
2007-01-26,34.52750015258789,34.596553802490234,34.00465393066406,34.08357620239258,28.606889724731445,10533604,DIS,Disney,Communication Services
2007-01-29,34.03424835205078,34.596553802490234,33.975059509277344,34.21181869506836,28.714529037475586,11190370,DIS,Disney,Communication Services
2007-01-30,34.172359466552734,34.61628341674805,34.15262985229492,34.566959381103516,29.01260757446289,6639736,DIS,Disney,Communication Services
2007-01-31,34.665611267089844,34.78398895263672,34.5373649597168,34.69520568847656,29.1202449798584,9058895,DIS,Disney,Communication Services
2007-02-01,34.61628341674805,34.67547607421875,34.418983459472656,34.5373649597168,28.987762451171875,8158236,DIS,Disney,Communication Services
2007-02-02,34.5472297668457,34.90237045288086,34.52750015258789,34.70507049560547,29.128517150878906,7773239,DIS,Disney,Communication Services
2007-02-05,34.92210006713867,35.01088333129883,34.67547607421875,34.78398895263672,29.194751739501953,8992296,DIS,Disney,Communication Services
2007-02-06,34.93196487426758,34.98128890991211,34.60641860961914,34.714935302734375,29.13680076599121,7906944,DIS,Disney,Communication Services
2007-02-07,34.87277603149414,35.109535217285156,34.72480010986328,35.00101852416992,29.376916885375977,12159250,DIS,Disney,Communication Services
2007-02-08,35.55345916748047,35.602783203125,34.47817611694336,34.81358337402344,29.21959686279297,20736442,DIS,Disney,Communication Services
2007-02-09,34.72480010986328,34.823448181152344,33.46207809448242,33.896141052246094,28.449575424194336,19246224,DIS,Disney,Communication Services
2007-02-12,34.063846588134766,34.19208908081055,33.31410598754883,33.46207809448242,28.085254669189453,18015509,DIS,Disney,Communication Services
2007-02-13,33.61005401611328,34.15262985229492,33.471946716308594,34.1230354309082,28.6400089263916,13023822,DIS,Disney,Communication Services
2007-02-14,34.1131706237793,34.34992980957031,34.05398178100586,34.28087615966797,28.77248764038086,11996452,DIS,Disney,Communication Services
2007-02-15,34.23154830932617,34.261146545410156,33.70870590209961,34.20195388793945,28.70624542236328,11198682,DIS,Disney,Communication Services
2007-02-16,34.21181869506836,34.438716888427734,33.945465087890625,34.418983459472656,28.88840675354004,9634871,DIS,Disney,Communication Services
2007-02-20,34.34992980957031,34.65574645996094,34.20195388793945,34.57682418823242,29.020885467529297,8818246,DIS,Disney,Communication Services
2007-02-21,34.35979461669922,34.764259338378906,34.28087615966797,34.665611267089844,29.09540557861328,8346782,DIS,Disney,Communication Services
2007-02-22,34.596553802490234,34.764259338378906,34.488040924072266,34.685340881347656,29.111957550048828,7762392,DIS,Disney,Communication Services
2007-02-23,34.62614822387695,34.73466491699219,34.50777053833008,34.665611267089844,29.09540557861328,7243690,DIS,Disney,Communication Services
2007-02-26,34.665611267089844,34.81358337402344,34.45844650268555,34.636016845703125,29.07056427001953,8214090,DIS,Disney,Communication Services
2007-02-27,34.28087615966797,34.52750015258789,32.209224700927734,32.65314865112305,27.406309127807617,15154283,DIS,Disney,Communication Services
2007-02-28,33.04774856567383,33.915870666503906,32.88004684448242,33.78762435913086,28.358489990234375,15819361,DIS,Disney,Communication Services
2007-03-01,33.2746467590332,34.03424835205078,33.07734680175781,33.92573547363281,28.474416732788086,13915966,DIS,Disney,Communication Services
2007-03-02,33.649513244628906,33.77775955200195,33.402889251708984,33.491676330566406,28.11009979248047,10056462,DIS,Disney,Communication Services
2007-03-05,33.097076416015625,33.649513244628906,32.96883010864258,33.26477813720703,27.91966438293457,10660821,DIS,Disney,Communication Services
2007-03-06,33.39302444458008,34.08357620239258,33.294376373291016,33.906005859375,28.457857131958008,11526406,DIS,Disney,Communication Services
