Date,Open,High,Low,Close,Adj Close,Volume,ticker_symbol,security,sector
2007-01-03,32.974998474121094,33.06999969482422,32.709999084472656,32.84000015258789,22.59563636779785,3206600,CL,Colgate-Palmolive,Consumer Staples
2007-01-04,32.724998474121094,32.97999954223633,32.505001068115234,32.880001068115234,22.62316131591797,3025200,CL,Colgate-Palmolive,Consumer Staples
2007-01-05,32.875,32.95000076293945,32.66999816894531,32.72999954223633,22.519943237304688,3619200,CL,Colgate-Palmolive,Consumer Staples
2007-01-08,32.68000030517578,32.91999816894531,32.56999969482422,32.85499954223633,22.60594940185547,4049600,CL,Colgate-Palmolive,Consumer Staples
2007-01-09,33.025001525878906,33.154998779296875,32.71500015258789,32.84000015258789,22.59563636779785,4146800,CL,Colgate-Palmolive,Consumer Staples
2007-01-10,32.775001525878906,33.11000061035156,32.70000076293945,33.02000045776367,22.7194881439209,3155800,CL,Colgate-Palmolive,Consumer Staples
2007-01-11,33.02000045776367,33.224998474121094,32.91999816894531,33.150001525878906,22.808937072753906,2874600,CL,Colgate-Palmolive,Consumer Staples
2007-01-12,33.14500045776367,33.5099983215332,32.97999954223633,33.41999816894531,22.99470329284668,3438800,CL,Colgate-Palmolive,Consumer Staples
2007-01-16,33.869998931884766,34.01499938964844,33.375,33.43000030517578,23.001583099365234,2985000,CL,Colgate-Palmolive,Consumer Staples
2007-01-17,33.30500030517578,33.47999954223633,33.11000061035156,33.275001525878906,22.894939422607422,5280000,CL,Colgate-Palmolive,Consumer Staples
2007-01-18,33.255001068115234,33.40999984741211,33.1150016784668,33.2400016784668,22.870864868164062,2710800,CL,Colgate-Palmolive,Consumer Staples
2007-01-19,33.275001525878906,33.42499923706055,33.119998931884766,33.42499923706055,22.998149871826172,2695000,CL,Colgate-Palmolive,Consumer Staples
2007-01-22,33.45000076293945,33.58000183105469,32.93000030517578,33.2599983215332,22.884614944458008,3742200,CL,Colgate-Palmolive,Consumer Staples
2007-01-23,33.1349983215332,33.27000045776367,32.959999084472656,33.15999984741211,22.815820693969727,2760400,CL,Colgate-Palmolive,Consumer Staples
2007-01-24,33.06999969482422,33.2599983215332,33.0,33.244998931884766,22.985200881958008,3126200,CL,Colgate-Palmolive,Consumer Staples
2007-01-25,33.04999923706055,33.16999816894531,32.904998779296875,33.0,22.815818786621094,5411600,CL,Colgate-Palmolive,Consumer Staples
2007-01-26,33.025001525878906,33.13999938964844,32.814998626708984,33.09000015258789,22.878036499023438,3357000,CL,Colgate-Palmolive,Consumer Staples
2007-01-29,33.099998474121094,33.529998779296875,33.099998474121094,33.35499954223633,23.061256408691406,6465800,CL,Colgate-Palmolive,Consumer Staples
2007-01-30,33.2599983215332,33.775001525878906,33.0,33.709999084472656,23.306697845458984,8629200,CL,Colgate-Palmolive,Consumer Staples
2007-01-31,33.85499954223633,34.279998779296875,33.70500183105469,34.150001525878906,23.61090660095215,6510400,CL,Colgate-Palmolive,Consumer Staples
2007-02-01,34.119998931884766,34.130001068115234,33.845001220703125,34.05500030517578,23.54523468017578,5019600,CL,Colgate-Palmolive,Consumer Staples
2007-02-02,33.95000076293945,34.05500030517578,33.75,33.869998931884766,23.417325973510742,4740400,CL,Colgate-Palmolive,Consumer Staples
2007-02-05,33.76499938964844,33.79499816894531,33.47999954223633,33.744998931884766,23.33090591430664,3623200,CL,Colgate-Palmolive,Consumer Staples
2007-02-06,33.619998931884766,33.8650016784668,33.404998779296875,33.494998931884766,23.158048629760742,5123200,CL,Colgate-Palmolive,Consumer Staples
2007-02-07,33.57500076293945,33.709999084472656,33.439998626708984,33.5,23.161518096923828,3267200,CL,Colgate-Palmolive,Consumer Staples
2007-02-08,33.57500076293945,33.685001373291016,33.3849983215332,33.51499938964844,23.17188835144043,3133800,CL,Colgate-Palmolive,Consumer Staples
2007-02-09,33.59000015258789,33.70000076293945,33.334999084472656,33.459999084472656,23.133852005004883,3514800,CL,Colgate-Palmolive,Consumer Staples
2007-02-12,33.584999084472656,33.650001525878906,33.435001373291016,33.45500183105469,23.130401611328125,3046000,CL,Colgate-Palmolive,Consumer Staples
2007-02-13,33.415000915527344,33.814998626708984,33.415000915527344,33.779998779296875,23.355087280273438,3699400,CL,Colgate-Palmolive,Consumer Staples
2007-02-14,33.755001068115234,33.98500061035156,33.67499923706055,33.95000076293945,23.47262954711914,3465400,CL,Colgate-Palmolive,Consumer Staples
2007-02-15,34.04499816894531,34.064998626708984,33.79499816894531,33.95500183105469,23.47610092163086,3063600,CL,Colgate-Palmolive,Consumer Staples
2007-02-16,34.334999084472656,34.435001373291016,34.07500076293945,34.380001068115234,23.769935607910156,4235600,CL,Colgate-Palmolive,Consumer Staples
2007-02-20,34.224998474121094,34.494998931884766,34.02000045776367,34.435001373291016,23.807960510253906,3328400,CL,Colgate-Palmolive,Consumer Staples
2007-02-21,34.28499984741211,34.36000061035156,34.2400016784668,34.25,23.680051803588867,2499800,CL,Colgate-Palmolive,Consumer Staples
2007-02-22,34.099998474121094,34.20500183105469,33.970001220703125,34.18000030517578,23.631656646728516,2997600,CL,Colgate-Palmolive,Consumer Staples
2007-02-23,34.095001220703125,34.220001220703125,33.869998931884766,34.165000915527344,23.621280670166016,2630600,CL,Colgate-Palmolive,Consumer Staples
2007-02-26,34.26499938964844,34.380001068115234,34.02000045776367,34.23500061035156,23.669675827026367,2831800,CL,Colgate-Palmolive,Consumer Staples
2007-02-27,34.189998626708984,34.5,33.375,33.66999816894531,23.279050827026367,8682200,CL,Colgate-Palmolive,Consumer Staples
2007-02-28,33.64500045776367,34.1150016784668,33.525001525878906,33.70500183105469,23.303239822387695,5933200,CL,Colgate-Palmolive,Consumer Staples
2007-03-01,33.18000030517578,33.619998931884766,32.935001373291016,33.46500015258789,23.137311935424805,4852000,CL,Colgate-Palmolive,Consumer Staples
2007-03-02,33.435001373291016,33.529998779296875,33.255001068115234,33.32500076293945,23.040515899658203,4891200,CL,Colgate-Palmolive,Consumer Staples
2007-03-05,33.20000076293945,33.53499984741211,33.125,33.29999923706055,23.023235321044922,4862800,CL,Colgate-Palmolive,Consumer Staples
2007-03-06,33.404998779296875,33.5,33.150001525878906,33.29499816894531,23.019771575927734,4574600,CL,Colgate-Palmolive,Consumer Staples
2007-03-07,33.310001373291016,33.310001373291016,32.935001373291016,32.935001373291016,22.7708797454834,5254200,CL,Colgate-Palmolive,Consumer Staples
2007-03-08,32.900001525878906,33.150001525878906,32.85499954223633,33.1150016784668,22.895320892333984,3590200,CL,Colgate-Palmolive,Consumer Staples
2007-03-09,33.1150016784668,33.380001068115234,33.04999923706055,33.314998626708984,23.033605575561523,3331800,CL,Colgate-Palmolive,Consumer Staples
2007-03-12,33.314998626708984,33.39500045776367,33.165000915527344,33.29999923706055,23.023235321044922,2715000,CL,Colgate-Palmolive,Consumer Staples
2007-03-13,33.209999084472656,33.27000045776367,32.8849983215332,32.935001373291016,22.7708797454834,4286600,CL,Colgate-Palmolive,Consumer Staples
2007-03-14,33.0,33.07500076293945,32.435001373291016,32.665000915527344,22.58420181274414,6446400,CL,Colgate-Palmolive,Consumer Staples
2007-03-15,32.689998626708984,32.810001373291016,32.5099983215332,32.630001068115234,22.560001373291016,4366800,CL,Colgate-Palmolive,Consumer Staples
2007-03-16,32.709999084472656,32.73500061035156,32.42499923706055,32.54999923706055,22.50469398498535,4823000,CL,Colgate-Palmolive,Consumer Staples
2007-03-19,32.560001373291016,32.904998779296875,32.529998779296875,32.689998626708984,22.601484298706055,3244600,CL,Colgate-Palmolive,Consumer Staples
2007-03-20,32.650001525878906,32.95500183105469,32.625,32.904998779296875,22.75012969970703,3341200,CL,Colgate-Palmolive,Consumer Staples
2007-03-21,32.96500015258789,33.435001373291016,32.7599983215332,33.404998779296875,23.095827102661133,3109200,CL,Colgate-Palmolive,Consumer Staples
2007-03-22,33.84000015258789,33.84000015258789,32.97999954223633,33.525001525878906,23.178789138793945,3364000,CL,Colgate-Palmolive,Consumer Staples
2007-03-23,33.5,33.59000015258789,33.375,33.560001373291016,23.20298957824707,2764400,CL,Colgate-Palmolive,Consumer Staples
2007-03-26,33.595001220703125,33.595001220703125,33.130001068115234,33.470001220703125,23.140771865844727,2748200,CL,Colgate-Palmolive,Consumer Staples
2007-03-27,33.36000061035156,33.39500045776367,33.130001068115234,33.23500061035156,22.978288650512695,2728000,CL,Colgate-Palmolive,Consumer Staples
2007-03-28,33.16999816894531,33.4900016784668,33.040000915527344,33.439998626708984,23.120033264160156,3885800,CL,Colgate-Palmolive,Consumer Staples
2007-03-29,33.525001525878906,33.540000915527344,33.28499984741211,33.41999816894531,23.1061954498291,3706600,CL,Colgate-Palmolive,Consumer Staples
2007-03-30,33.459999084472656,33.689998626708984,33.1349983215332,33.39500045776367,23.088924407958984,3509400,CL,Colgate-Palmolive,Consumer Staples
2007-04-02,33.35499954223633,33.5099983215332,32.98500061035156,33.029998779296875,22.8365535736084,4609200,CL,Colgate-Palmolive,Consumer Staples
2007-04-03,33.224998474121094,33.28499984741211,32.959999084472656,33.0099983215332,22.822729110717773,3891200,CL,Colgate-Palmolive,Consumer Staples
2007-04-04,33.11000061035156,33.150001525878906,33.005001068115234,33.09000015258789,22.878036499023438,2780400,CL,Colgate-Palmolive,Consumer Staples
2007-04-05,33.119998931884766,33.34000015258789,33.025001525878906,33.314998626708984,23.033605575561523,2376600,CL,Colgate-Palmolive,Consumer Staples
2007-04-09,33.32500076293945,33.375,33.20500183105469,33.35499954223633,23.061256408691406,3335400,CL,Colgate-Palmolive,Consumer Staples
2007-04-10,33.32500076293945,33.45500183105469,32.880001068115234,32.98500061035156,22.80544662475586,4631200,CL,Colgate-Palmolive,Consumer Staples
2007-04-11,32.900001525878906,32.95000076293945,32.70500183105469,32.94499969482422,22.777782440185547,3860200,CL,Colgate-Palmolive,Consumer Staples
2007-04-12,32.875,33.17499923706055,32.755001068115234,33.16999816894531,22.933353424072266,3005200,CL,Colgate-Palmolive,Consumer Staples
2007-04-13,33.14500045776367,33.29999923706055,33.084999084472656,33.20500183105469,22.957555770874023,3616800,CL,Colgate-Palmolive,Consumer Staples
2007-04-16,33.185001373291016,33.25,32.98500061035156,33.099998474121094,22.884958267211914,4508600,CL,Colgate-Palmolive,Consumer Staples
2007-04-17,33.05500030517578,33.375,32.9900016784668,33.334999084472656,23.047428131103516,3682200,CL,Colgate-Palmolive,Consumer Staples
2007-04-18,33.5,33.7599983215332,33.224998474121094,33.369998931884766,23.071630477905273,3096400,CL,Colgate-Palmolive,Consumer Staples
2007-04-19,33.79499816894531,33.79499816894531,33.25,33.5,23.161518096923828,4226800,CL,Colgate-Palmolive,Consumer Staples
2007-04-20,33.3650016784668,33.650001525878906,33.28499984741211,33.64500045776367,23.387428283691406,3754200,CL,Colgate-Palmolive,Consumer Staples
2007-04-23,33.70000076293945,33.70000076293945,33.45000076293945,33.529998779296875,23.30748748779297,2272200,CL,Colgate-Palmolive,Consumer Staples
2007-04-24,33.95000076293945,34.06999969482422,33.404998779296875,33.959999084472656,23.60638999938965,5380600,CL,Colgate-Palmolive,Consumer Staples
2007-04-25,34.29999923706055,34.494998931884766,33.540000915527344,33.720001220703125,23.439563751220703,6581200,CL,Colgate-Palmolive,Consumer Staples
2007-04-26,33.595001220703125,33.689998626708984,33.255001068115234,33.279998779296875,23.133703231811523,7773200,CL,Colgate-Palmolive,Consumer Staples
2007-04-27,33.20500183105469,33.619998931884766,33.15999984741211,33.52000045776367,23.3005313873291,5057200,CL,Colgate-Palmolive,Consumer Staples
2007-04-30,33.75,33.88999938964844,33.599998474121094,33.869998931884766,23.54383087158203,6271600,CL,Colgate-Palmolive,Consumer Staples
2007-05-01,33.92499923706055,34.05500030517578,33.599998474121094,34.04999923706055,23.66895294189453,4810800,CL,Colgate-Palmolive,Consumer Staples
2007-05-02,34.125,34.375,33.869998931884766,34.0,23.634197235107422,4722000,CL,Colgate-Palmolive,Consumer Staples
2007-05-03,34.01499938964844,34.060001373291016,33.564998626708984,33.72999954223633,23.446510314941406,5982000,CL,Colgate-Palmolive,Consumer Staples
2007-05-04,33.75,34.095001220703125,33.619998931884766,34.07500076293945,23.686325073242188,5560600,CL,Colgate-Palmolive,Consumer Staples
2007-05-07,33.959999084472656,34.099998474121094,33.68000030517578,33.709999084472656,23.432600021362305,6238400,CL,Colgate-Palmolive,Consumer Staples
2007-05-08,33.625,33.92499923706055,33.58000183105469,33.75,23.460412979125977,4620000,CL,Colgate-Palmolive,Consumer Staples
2007-05-09,33.70000076293945,34.0,33.51499938964844,33.91999816894531,23.57857322692871,3296400,CL,Colgate-Palmolive,Consumer Staples
2007-05-10,33.900001525878906,33.93000030517578,33.560001373291016,33.560001373291016,23.328338623046875,4552200,CL,Colgate-Palmolive,Consumer Staples
2007-05-11,33.654998779296875,33.709999084472656,33.32500076293945,33.47999954223633,23.272727966308594,3814200,CL,Colgate-Palmolive,Consumer Staples
2007-05-14,33.505001068115234,33.5099983215332,33.064998626708984,33.10499954223633,23.012052536010742,6198200,CL,Colgate-Palmolive,Consumer Staples
2007-05-15,33.20000076293945,33.435001373291016,33.130001068115234,33.16999816894531,23.057239532470703,4764400,CL,Colgate-Palmolive,Consumer Staples
2007-05-16,33.224998474121094,33.7599983215332,33.165000915527344,33.7599983215332,23.467361450195312,4973000,CL,Colgate-Palmolive,Consumer Staples
2007-05-17,33.86000061035156,33.88999938964844,33.5,33.70500183105469,23.429126739501953,3970000,CL,Colgate-Palmolive,Consumer Staples
2007-05-18,33.744998931884766,33.75,33.5,33.650001525878906,23.390901565551758,3574800,CL,Colgate-Palmolive,Consumer Staples
2007-05-21,33.65999984741211,33.65999984741211,33.26499938964844,33.51499938964844,23.29705810546875,5068000,CL,Colgate-Palmolive,Consumer Staples
2007-05-22,33.474998474121094,33.53499984741211,33.31999969482422,33.474998474121094,23.26924705505371,3123200,CL,Colgate-Palmolive,Consumer Staples
2007-05-23,33.48500061035156,33.560001373291016,33.125,33.415000915527344,23.227542877197266,5803800,CL,Colgate-Palmolive,Consumer Staples
2007-05-24,33.4900016784668,33.505001068115234,33.19499969482422,33.220001220703125,23.091995239257812,4787400,CL,Colgate-Palmolive,Consumer Staples
2007-05-25,33.36000061035156,33.5,33.2599983215332,33.28499984741211,23.13718032836914,3763600,CL,Colgate-Palmolive,Consumer Staples
2007-05-29,33.224998474121094,33.5,33.17499923706055,33.415000915527344,23.227542877197266,3113000,CL,Colgate-Palmolive,Consumer Staples
2007-05-30,33.290000915527344,33.459999084472656,33.189998626708984,33.459999084472656,23.258825302124023,6017000,CL,Colgate-Palmolive,Consumer Staples
2007-05-31,33.459999084472656,33.564998626708984,33.255001068115234,33.47999954223633,23.272727966308594,5966600,CL,Colgate-Palmolive,Consumer Staples
2007-06-01,33.474998474121094,33.71500015258789,33.404998779296875,33.70500183105469,23.429126739501953,3750400,CL,Colgate-Palmolive,Consumer Staples
2007-06-04,33.54999923706055,33.689998626708984,33.435001373291016,33.6349983215332,23.380470275878906,3051600,CL,Colgate-Palmolive,Consumer Staples
2007-06-05,33.7400016784668,33.775001525878906,33.42499923706055,33.45000076293945,23.251873016357422,4644400,CL,Colgate-Palmolive,Consumer Staples
2007-06-06,33.32500076293945,33.525001525878906,33.150001525878906,33.20500183105469,23.08156394958496,4361600,CL,Colgate-Palmolive,Consumer Staples
2007-06-07,33.125,33.244998931884766,33.0,33.10499954223633,23.012052536010742,5008600,CL,Colgate-Palmolive,Consumer Staples
2007-06-08,33.11000061035156,33.3849983215332,32.95500183105469,33.345001220703125,23.17888641357422,4357200,CL,Colgate-Palmolive,Consumer Staples
2007-06-11,33.2599983215332,33.650001525878906,33.18000030517578,33.61000061035156,23.36309242248535,4186000,CL,Colgate-Palmolive,Consumer Staples
2007-06-12,33.494998931884766,33.78499984741211,33.41999816894531,33.744998931884766,23.456939697265625,5662800,CL,Colgate-Palmolive,Consumer Staples
2007-06-13,33.83000183105469,33.89500045776367,33.3650016784668,33.72999954223633,23.446510314941406,9809600,CL,Colgate-Palmolive,Consumer Staples
2007-06-14,33.6349983215332,33.709999084472656,33.34000015258789,33.42499923706055,23.234498977661133,4880400,CL,Colgate-Palmolive,Consumer Staples
2007-06-15,33.48500061035156,33.61000061035156,33.189998626708984,33.314998626708984,23.158035278320312,6199800,CL,Colgate-Palmolive,Consumer Staples
2007-06-18,33.36000061035156,33.39500045776367,33.060001373291016,33.189998626708984,23.071142196655273,3221200,CL,Colgate-Palmolive,Consumer Staples
2007-06-19,33.09000015258789,33.09000015258789,32.779998779296875,32.86000061035156,22.841751098632812,3822000,CL,Colgate-Palmolive,Consumer Staples
2007-06-20,33.345001220703125,33.52000045776367,33.20000076293945,33.20000076293945,23.07809066772461,7606800,CL,Colgate-Palmolive,Consumer Staples
2007-06-21,33.150001525878906,33.29999923706055,32.90999984741211,33.13999938964844,23.03638458251953,5888600,CL,Colgate-Palmolive,Consumer Staples
2007-06-22,32.9900016784668,33.02000045776367,32.529998779296875,32.6349983215332,22.685344696044922,8913800,CL,Colgate-Palmolive,Consumer Staples
2007-06-25,32.685001373291016,33.029998779296875,32.654998779296875,32.70500183105469,22.734012603759766,4836200,CL,Colgate-Palmolive,Consumer Staples
2007-06-26,32.77000045776367,32.775001525878906,32.28499984741211,32.32500076293945,22.46985626220703,7936400,CL,Colgate-Palmolive,Consumer Staples
2007-06-27,32.334999084472656,32.45000076293945,32.20500183105469,32.220001220703125,22.396875381469727,5830400,CL,Colgate-Palmolive,Consumer Staples
2007-06-28,32.16999816894531,32.7400016784668,32.08000183105469,32.68000030517578,22.71663475036621,5541600,CL,Colgate-Palmolive,Consumer Staples
2007-06-29,32.685001373291016,32.8849983215332,32.22999954223633,32.42499923706055,22.539369583129883,4606600,CL,Colgate-Palmolive,Consumer Staples
2007-07-02,32.61000061035156,32.779998779296875,32.43000030517578,32.57500076293945,22.643640518188477,3654800,CL,Colgate-Palmolive,Consumer Staples
2007-07-03,32.70000076293945,32.86000061035156,32.64500045776367,32.790000915527344,22.793094635009766,3900200,CL,Colgate-Palmolive,Consumer Staples
2007-07-05,33.0,33.06999969482422,32.849998474121094,33.025001525878906,22.95644187927246,4479200,CL,Colgate-Palmolive,Consumer Staples
2007-07-06,33.025001525878906,33.03499984741211,32.755001068115234,33.005001068115234,22.94253921508789,3300400,CL,Colgate-Palmolive,Consumer Staples
2007-07-09,33.04999923706055,33.15999984741211,32.959999084472656,33.10499954223633,23.012052536010742,4619000,CL,Colgate-Palmolive,Consumer Staples
2007-07-10,32.97999954223633,33.125,32.84000015258789,32.8849983215332,22.859130859375,5391200,CL,Colgate-Palmolive,Consumer Staples
2007-07-11,32.75,33.494998931884766,32.75,33.44499969482422,23.24839973449707,4498600,CL,Colgate-Palmolive,Consumer Staples
2007-07-12,33.5,34.185001373291016,33.44499969482422,34.16999816894531,23.752365112304688,5538400,CL,Colgate-Palmolive,Consumer Staples
2007-07-13,33.9900016784668,34.375,33.96500015258789,34.224998474121094,23.79060173034668,5591800,CL,Colgate-Palmolive,Consumer Staples
2007-07-16,34.095001220703125,34.26499938964844,34.01499938964844,34.095001220703125,23.700225830078125,4885800,CL,Colgate-Palmolive,Consumer Staples
2007-07-17,34.275001525878906,34.375,34.03499984741211,34.03499984741211,23.658517837524414,5183800,CL,Colgate-Palmolive,Consumer Staples
2007-07-18,33.8849983215332,34.064998626708984,33.66999816894531,33.875,23.547304153442383,6275600,CL,Colgate-Palmolive,Consumer Staples
2007-07-19,33.92499923706055,34.29999923706055,33.85499954223633,34.25,23.935165405273438,4506400,CL,Colgate-Palmolive,Consumer Staples
2007-07-20,34.185001373291016,34.369998931884766,33.78499984741211,33.84000015258789,23.64863395690918,6288400,CL,Colgate-Palmolive,Consumer Staples
2007-07-23,33.95500183105469,34.48500061035156,33.904998779296875,34.34000015258789,23.998048782348633,4834600,CL,Colgate-Palmolive,Consumer Staples
2007-07-24,34.17499923706055,34.68000030517578,33.98500061035156,34.125,23.847803115844727,7586600,CL,Colgate-Palmolive,Consumer Staples
2007-07-25,34.85499954223633,35.08000183105469,34.064998626708984,34.83000183105469,24.340482711791992,10763400,CL,Colgate-Palmolive,Consumer Staples
2007-07-26,34.42499923706055,34.94499969482422,34.255001068115234,34.39500045776367,24.036483764648438,12762400,CL,Colgate-Palmolive,Consumer Staples
2007-07-27,34.435001373291016,34.64500045776367,34.11000061035156,34.224998474121094,23.917688369750977,8409200,CL,Colgate-Palmolive,Consumer Staples
2007-07-30,34.44499969482422,35.08000183105469,33.59000015258789,33.70000076293945,23.550798416137695,6734000,CL,Colgate-Palmolive,Consumer Staples
2007-07-31,34.369998931884766,34.369998931884766,32.994998931884766,33.0,23.061609268188477,9104200,CL,Colgate-Palmolive,Consumer Staples
2007-08-01,33.380001068115234,33.775001525878906,33.07500076293945,33.64500045776367,23.51236343383789,7164400,CL,Colgate-Palmolive,Consumer Staples
2007-08-02,34.005001068115234,34.04499816894531,33.314998626708984,33.625,23.498382568359375,6789800,CL,Colgate-Palmolive,Consumer Staples
2007-08-03,33.95000076293945,33.95000076293945,33.064998626708984,33.099998474121094,23.131492614746094,7974200,CL,Colgate-Palmolive,Consumer Staples
2007-08-06,33.23500061035156,33.935001373291016,33.20500183105469,33.92499923706055,23.70803451538086,5341400,CL,Colgate-Palmolive,Consumer Staples
2007-08-07,34.03499984741211,34.564998626708984,33.470001220703125,34.404998779296875,24.043476104736328,7487800,CL,Colgate-Palmolive,Consumer Staples
2007-08-08,34.345001220703125,34.79999923706055,33.7599983215332,34.18000030517578,23.886234283447266,5553400,CL,Colgate-Palmolive,Consumer Staples
2007-08-09,33.334999084472656,33.92499923706055,33.23500061035156,33.25,23.236318588256836,8344800,CL,Colgate-Palmolive,Consumer Staples
2007-08-10,32.95000076293945,33.67499923706055,32.845001220703125,33.474998474121094,23.393550872802734,7152000,CL,Colgate-Palmolive,Consumer Staples
2007-08-13,33.650001525878906,33.650001525878906,32.779998779296875,33.150001525878906,23.16643524169922,6015400,CL,Colgate-Palmolive,Consumer Staples
2007-08-14,33.04999923706055,33.130001068115234,32.689998626708984,32.724998474121094,22.869422912597656,4459800,CL,Colgate-Palmolive,Consumer Staples
2007-08-15,32.654998779296875,33.19499969482422,32.3650016784668,32.45500183105469,22.680742263793945,6438000,CL,Colgate-Palmolive,Consumer Staples
2007-08-16,32.275001525878906,32.814998626708984,31.875,32.720001220703125,22.865938186645508,10346400,CL,Colgate-Palmolive,Consumer Staples
2007-08-17,33.14500045776367,33.689998626708984,32.404998779296875,33.685001373291016,23.540311813354492,6679600,CL,Colgate-Palmolive,Consumer Staples
2007-08-20,33.564998626708984,33.935001373291016,33.025001525878906,33.29999923706055,23.271263122558594,5067400,CL,Colgate-Palmolive,Consumer Staples
2007-08-21,33.040000915527344,33.29999923706055,32.76499938964844,33.189998626708984,23.19438934326172,3431200,CL,Colgate-Palmolive,Consumer Staples
2007-08-22,33.5,33.529998779296875,33.04999923706055,33.39500045776367,23.33765983581543,3292000,CL,Colgate-Palmolive,Consumer Staples
2007-08-23,33.650001525878906,33.650001525878906,33.165000915527344,33.34000015258789,23.29921531677246,3103600,CL,Colgate-Palmolive,Consumer Staples
