Date,Open,High,Low,Close,Adj Close,Volume,ticker_symbol,security,sector
2007-01-03,200.60000610351562,203.32000732421875,197.82000732421875,200.72000122070312,159.96603393554688,6494900,GS,Goldman Sachs,Financials
2007-01-04,200.22000122070312,200.6699981689453,198.07000732421875,198.85000610351562,158.47573852539062,6460200,GS,Goldman Sachs,Financials
2007-01-05,198.42999267578125,200.0,197.89999389648438,199.0500030517578,158.63511657714844,5892900,GS,Goldman Sachs,Financials
2007-01-08,199.0500030517578,203.9499969482422,198.10000610351562,203.72999572753906,162.3649139404297,7851000,GS,Goldman Sachs,Financials
2007-01-09,203.5399932861328,204.89999389648438,202.0,204.0800018310547,162.6438446044922,7147100,GS,Goldman Sachs,Financials
2007-01-10,203.39999389648438,208.44000244140625,201.5,208.11000061035156,165.85560607910156,8025700,GS,Goldman Sachs,Financials
2007-01-11,208.33999633789062,213.1699981689453,207.60000610351562,211.8800048828125,168.860107421875,9039400,GS,Goldman Sachs,Financials
2007-01-12,210.89999389648438,214.22000122070312,210.39999389648438,213.99000549316406,170.54168701171875,6618900,GS,Goldman Sachs,Financials
2007-01-16,210.85000610351562,215.1300048828125,210.85000610351562,213.58999633789062,170.2229766845703,5846600,GS,Goldman Sachs,Financials
2007-01-17,212.1999969482422,214.08999633789062,210.85000610351562,213.22999572753906,169.93605041503906,5306300,GS,Goldman Sachs,Financials
2007-01-18,213.75,214.80999755859375,209.10000610351562,209.67999267578125,167.10682678222656,6423200,GS,Goldman Sachs,Financials
2007-01-19,209.0800018310547,211.44000244140625,208.83999633789062,210.2899932861328,167.87322998046875,5333700,GS,Goldman Sachs,Financials
2007-01-22,211.08999633789062,213.25,209.60000610351562,212.97000122070312,170.01266479492188,4980700,GS,Goldman Sachs,Financials
2007-01-23,212.82000732421875,213.4199981689453,210.64999389648438,212.63999938964844,169.74913024902344,6293400,GS,Goldman Sachs,Financials
2007-01-24,213.50999450683594,220.1699981689453,213.02999877929688,220.10000610351562,175.70452880859375,6386800,GS,Goldman Sachs,Financials
2007-01-25,219.8300018310547,220.50999450683594,212.50999450683594,213.07000732421875,170.09242248535156,7853800,GS,Goldman Sachs,Financials
2007-01-26,214.55999755859375,214.89999389648438,210.60000610351562,213.5,170.43565368652344,7458200,GS,Goldman Sachs,Financials
2007-01-29,213.89999389648438,215.0800018310547,210.1300048828125,211.0399932861328,168.47193908691406,5890700,GS,Goldman Sachs,Financials
2007-01-30,211.0800018310547,212.30999755859375,208.3699951171875,208.77999877929688,166.6677703857422,6001000,GS,Goldman Sachs,Financials
2007-01-31,208.3000030517578,212.75,207.2899932861328,212.16000366210938,169.36602783203125,7235100,GS,Goldman Sachs,Financials
2007-02-01,213.44000244140625,213.89999389648438,209.72999572753906,212.0,169.23828125,5734500,GS,Goldman Sachs,Financials
2007-02-02,211.0,213.89999389648438,211.0,213.42999267578125,170.37979125976562,3527000,GS,Goldman Sachs,Financials
2007-02-05,213.3000030517578,213.72000122070312,211.5,212.5500030517578,169.6772918701172,2995700,GS,Goldman Sachs,Financials
2007-02-06,213.2899932861328,215.86000061035156,212.6999969482422,214.64999389648438,171.35372924804688,3803100,GS,Goldman Sachs,Financials
