Date,Open,High,Low,Close,Adj Close,Volume,ticker_symbol,security,sector
2007-01-03,23.84000015258789,24.139999389648438,23.670000076293945,24.020000457763672,14.22357177734375,4944700,HBAN,Huntington Bancshares,Financials
2007-01-04,24.030000686645508,24.059999465942383,23.850000381469727,24.0,14.211729049682617,2252500,HBAN,Huntington Bancshares,Financials
2007-01-05,23.93000030517578,24.049999237060547,23.700000762939453,23.780000686645508,14.081451416015625,2276100,HBAN,Huntington Bancshares,Financials
2007-01-08,23.729999542236328,23.850000381469727,23.6200008392334,23.729999542236328,14.05184555053711,2345800,HBAN,Huntington Bancshares,Financials
2007-01-09,23.93000030517578,23.950000762939453,23.600000381469727,23.709999084472656,14.039998054504395,2602400,HBAN,Huntington Bancshares,Financials
2007-01-10,23.739999771118164,23.780000686645508,23.540000915527344,23.559999465942383,13.951180458068848,2582300,HBAN,Huntington Bancshares,Financials
2007-01-11,23.700000762939453,23.739999771118164,23.520000457763672,23.56999969482422,13.957099914550781,2280400,HBAN,Huntington Bancshares,Financials
2007-01-12,23.510000228881836,23.639999389648438,23.479999542236328,23.510000228881836,13.921568870544434,1520900,HBAN,Huntington Bancshares,Financials
2007-01-16,23.579999923706055,23.579999923706055,23.25,23.280000686645508,13.78537654876709,3130200,HBAN,Huntington Bancshares,Financials
2007-01-17,23.200000762939453,23.31999969482422,22.969999313354492,23.1200008392334,13.690632820129395,3955100,HBAN,Huntington Bancshares,Financials
2007-01-18,23.219999313354492,23.350000381469727,23.040000915527344,23.190000534057617,13.732083320617676,4272200,HBAN,Huntington Bancshares,Financials
2007-01-19,23.219999313354492,23.260000228881836,23.079999923706055,23.100000381469727,13.678789138793945,3630400,HBAN,Huntington Bancshares,Financials
2007-01-22,23.040000915527344,23.100000381469727,22.959999084472656,22.979999542236328,13.607730865478516,2137400,HBAN,Huntington Bancshares,Financials
2007-01-23,23.049999237060547,23.079999923706055,22.899999618530273,22.989999771118164,13.613658905029297,2421100,HBAN,Huntington Bancshares,Financials
2007-01-24,23.0,23.020000457763672,22.959999084472656,23.0,13.619571685791016,2896600,HBAN,Huntington Bancshares,Financials
2007-01-25,23.040000915527344,23.149999618530273,22.950000762939453,23.010000228881836,13.62549877166748,2700400,HBAN,Huntington Bancshares,Financials
2007-01-26,23.0,23.079999923706055,22.84000015258789,23.010000228881836,13.62549877166748,2317700,HBAN,Huntington Bancshares,Financials
2007-01-29,23.020000457763672,23.020000457763672,22.8799991607666,22.969999313354492,13.601811408996582,1486600,HBAN,Huntington Bancshares,Financials
2007-01-30,23.0,23.15999984741211,22.969999313354492,23.1200008392334,13.690632820129395,1766100,HBAN,Huntington Bancshares,Financials
2007-01-31,23.040000915527344,23.329999923706055,22.979999542236328,23.280000686645508,13.78537654876709,2464300,HBAN,Huntington Bancshares,Financials
2007-02-01,23.270000457763672,23.40999984741211,23.049999237060547,23.149999618530273,13.70839786529541,2050200,HBAN,Huntington Bancshares,Financials
