Date,Open,High,Low,Close,Adj Close,Volume,ticker_symbol,security,sector
2007-01-03,41.150001525878906,41.25,40.095001220703125,40.25,38.24770736694336,1133800,J,Jacobs Solutions,Industrials
2007-01-04,40.25,40.25,39.369998931884766,39.529998779296875,37.56351852416992,928200,J,Jacobs Solutions,Industrials
2007-01-05,39.04999923706055,39.29999923706055,38.915000915527344,38.91999816894531,36.983863830566406,912800,J,Jacobs Solutions,Industrials
2007-01-08,38.91999816894531,39.03499984741211,38.599998474121094,38.76499938964844,36.836570739746094,1205800,J,Jacobs Solutions,Industrials
2007-01-09,38.79999923706055,38.959999084472656,38.2599983215332,38.619998931884766,36.69879150390625,1480000,J,Jacobs Solutions,Industrials
2007-01-10,38.400001525878906,39.66999816894531,38.25,39.42499923706055,37.463748931884766,990400,J,Jacobs Solutions,Industrials
2007-01-11,39.709999084472656,40.25,39.599998474121094,39.974998474121094,37.98638916015625,588200,J,Jacobs Solutions,Industrials
2007-01-12,40.040000915527344,40.7599983215332,40.040000915527344,40.41999816894531,38.40925598144531,543200,J,Jacobs Solutions,Industrials
2007-01-16,40.42499923706055,40.67499923706055,40.21500015258789,40.27000045776367,38.26671600341797,550400,J,Jacobs Solutions,Industrials
2007-01-17,40.25,40.82500076293945,40.14500045776367,40.70500183105469,38.680076599121094,591200,J,Jacobs Solutions,Industrials
2007-01-18,40.67499923706055,40.69499969482422,40.0,40.09000015258789,38.095664978027344,545200,J,Jacobs Solutions,Industrials
2007-01-19,40.07500076293945,40.90999984741211,39.790000915527344,40.70000076293945,38.67530822753906,666600,J,Jacobs Solutions,Industrials
2007-01-22,40.79999923706055,40.83000183105469,40.099998474121094,40.22999954223633,38.228702545166016,699800,J,Jacobs Solutions,Industrials
2007-01-23,41.79999923706055,44.22999954223633,41.75,43.92499923706055,41.73988723754883,3319000,J,Jacobs Solutions,Industrials
2007-01-24,44.44499969482422,44.80500030517578,43.72999954223633,44.31999969482422,42.115234375,1196000,J,Jacobs Solutions,Industrials
2007-01-25,44.31999969482422,44.334999084472656,43.599998474121094,43.880001068115234,41.69712829589844,1467000,J,Jacobs Solutions,Industrials
2007-01-26,43.95000076293945,44.4900016784668,43.85499954223633,44.119998931884766,41.925193786621094,1038600,J,Jacobs Solutions,Industrials
2007-01-29,45.375,46.029998779296875,45.04999923706055,45.125,42.880184173583984,1496000,J,Jacobs Solutions,Industrials
