Date,Open,High,Low,Close,Adj Close,Volume,ticker_symbol,security,sector
2007-01-03,26.600000381469727,26.75,25.270000457763672,25.40999984741211,10.797761917114258,61800,TDG,TransDigm Group,Industrials
2007-01-04,25.40999984741211,26.6299991607666,25.3700008392334,26.59000015258789,11.29919147491455,25200,TDG,TransDigm Group,Industrials
2007-01-05,26.489999771118164,26.489999771118164,25.420000076293945,25.809999465942383,10.967737197875977,39400,TDG,TransDigm Group,Industrials
2007-01-08,25.700000762939453,26.030000686645508,25.559999465942383,25.979999542236328,11.039977073669434,19400,TDG,TransDigm Group,Industrials
2007-01-09,25.899999618530273,25.93000030517578,25.43000030517578,25.649999618530273,10.89974594116211,28700,TDG,TransDigm Group,Industrials
2007-01-10,25.799999237060547,25.799999237060547,25.149999618530273,25.350000381469727,10.772265434265137,43400,TDG,TransDigm Group,Industrials
2007-01-11,25.34000015258789,26.690000534057617,25.34000015258789,26.420000076293945,11.22695255279541,75700,TDG,TransDigm Group,Industrials
2007-01-12,26.5,26.799999237060547,26.5,26.799999237060547,11.388429641723633,38000,TDG,TransDigm Group,Industrials
2007-01-16,26.850000381469727,26.8799991607666,26.56999969482422,26.799999237060547,11.388429641723633,59900,TDG,TransDigm Group,Industrials
2007-01-17,26.709999084472656,26.799999237060547,26.540000915527344,26.65999984741211,11.328937530517578,26000,TDG,TransDigm Group,Industrials
2007-01-18,26.600000381469727,26.739999771118164,26.469999313354492,26.719999313354492,11.3544340133667,21200,TDG,TransDigm Group,Industrials
2007-01-19,26.700000762939453,27.239999771118164,26.540000915527344,27.0,11.473418235778809,58000,TDG,TransDigm Group,Industrials
2007-01-22,26.75,26.790000915527344,26.549999237060547,26.549999237060547,11.282194137573242,46700,TDG,TransDigm Group,Industrials
2007-01-23,26.5,26.809999465942383,26.5,26.690000534057617,11.341686248779297,34300,TDG,TransDigm Group,Industrials
2007-01-24,28.239999771118164,30.399999618530273,28.239999771118164,30.0,12.748241424560547,338300,TDG,TransDigm Group,Industrials
2007-01-25,30.0,31.100000381469727,29.90999984741211,30.399999618530273,12.918217658996582,197800,TDG,TransDigm Group,Industrials
2007-01-26,30.020000457763672,30.350000381469727,29.8799991607666,30.299999237060547,12.87572193145752,96500,TDG,TransDigm Group,Industrials
2007-01-29,30.549999237060547,32.630001068115234,30.399999618530273,32.13999938964844,13.657615661621094,193400,TDG,TransDigm Group,Industrials
