Date,Open,High,Low,Close,Adj Close,Volume,ticker_symbol,security,sector
2007-01-03,27.020000457763672,27.020000457763672,24.864999771118164,25.2450008392334,18.152990341186523,28464600,FCX,Freeport-McMoRan,Materials
2007-01-04,24.700000762939453,25.489999771118164,24.424999237060547,25.479999542236328,18.321964263916016,22003400,FCX,Freeport-McMoRan,Materials
2007-01-05,25.8799991607666,26.209999084472656,24.969999313354492,25.739999771118164,18.508928298950195,15240400,FCX,Freeport-McMoRan,Materials
2007-01-08,25.975000381469727,26.200000762939453,25.700000762939453,26.125,18.785776138305664,15164600,FCX,Freeport-McMoRan,Materials
2007-01-09,26.075000762939453,26.274999618530273,25.635000228881836,25.950000762939453,18.65993309020996,13737600,FCX,Freeport-McMoRan,Materials
2007-01-10,25.905000686645508,26.68000030517578,25.5049991607666,26.594999313354492,19.123735427856445,12428200,FCX,Freeport-McMoRan,Materials
2007-01-11,26.309999465942383,27.1299991607666,26.100000381469727,26.895000457763672,19.453933715820312,10709600,FCX,Freeport-McMoRan,Materials
2007-01-12,26.799999237060547,27.739999771118164,26.709999084472656,27.5049991607666,19.895164489746094,10880000,FCX,Freeport-McMoRan,Materials
2007-01-16,27.399999618530273,27.524999618530273,26.635000228881836,26.700000762939453,19.312891006469727,18183400,FCX,Freeport-McMoRan,Materials
2007-01-17,26.764999389648438,26.825000762939453,26.024999618530273,26.7450008392334,19.345439910888672,15846800,FCX,Freeport-McMoRan,Materials
2007-01-18,26.975000381469727,26.989999771118164,25.96500015258789,26.290000915527344,19.016321182250977,14200000,FCX,Freeport-McMoRan,Materials
2007-01-19,26.5,27.5049991607666,26.440000534057617,26.975000381469727,19.511798858642578,12140800,FCX,Freeport-McMoRan,Materials
2007-01-22,26.549999237060547,26.905000686645508,26.125,26.375,19.077804565429688,12046200,FCX,Freeport-McMoRan,Materials
2007-01-23,26.55500030517578,27.600000381469727,26.55500030517578,27.485000610351562,19.880701065063477,16740600,FCX,Freeport-McMoRan,Materials
2007-01-24,27.625,28.30500030517578,27.274999618530273,28.170000076293945,20.376176834106445,17032200,FCX,Freeport-McMoRan,Materials
2007-01-25,28.475000381469727,29.280000686645508,28.350000381469727,29.190000534057617,21.113977432250977,27373000,FCX,Freeport-McMoRan,Materials
2007-01-26,28.899999618530273,29.270000457763672,28.584999084472656,29.2450008392334,21.15376091003418,13011200,FCX,Freeport-McMoRan,Materials
2007-01-29,28.635000228881836,28.864999771118164,27.454999923706055,27.545000076293945,19.924102783203125,20710800,FCX,Freeport-McMoRan,Materials
2007-01-30,28.0,28.5049991607666,27.44499969482422,28.25,20.434043884277344,17590800,FCX,Freeport-McMoRan,Materials
2007-01-31,28.149999618530273,28.780000686645508,28.059999465942383,28.7549991607666,20.799320220947266,11152400,FCX,Freeport-McMoRan,Materials
2007-02-01,28.90999984741211,29.024999618530273,28.360000610351562,28.385000228881836,20.531694412231445,14710000,FCX,Freeport-McMoRan,Materials
2007-02-02,27.75,28.045000076293945,27.5,27.6200008392334,19.978349685668945,16884400,FCX,Freeport-McMoRan,Materials
2007-02-05,27.899999618530273,27.979999542236328,27.114999771118164,27.280000686645508,19.732419967651367,11303400,FCX,Freeport-McMoRan,Materials
2007-02-06,27.5049991607666,27.594999313354492,27.084999084472656,27.204999923706055,19.678165435791016,10537200,FCX,Freeport-McMoRan,Materials
2007-02-07,27.204999923706055,27.459999084472656,26.875,26.979999542236328,19.515417098999023,8177800,FCX,Freeport-McMoRan,Materials
2007-02-08,27.040000915527344,27.040000915527344,26.559999465942383,26.71500015258789,19.32373046875,16145400,FCX,Freeport-McMoRan,Materials
2007-02-09,27.0049991607666,27.315000534057617,26.565000534057617,26.825000762939453,19.403297424316406,16154000,FCX,Freeport-McMoRan,Materials
2007-02-12,26.325000762939453,27.0,26.325000762939453,26.625,19.258638381958008,6465600,FCX,Freeport-McMoRan,Materials
2007-02-13,27.06999969482422,28.225000381469727,27.010000228881836,28.094999313354492,20.32193374633789,17715000,FCX,Freeport-McMoRan,Materials
2007-02-14,28.204999923706055,28.524999618530273,27.774999618530273,28.315000534057617,20.48106575012207,18643000,FCX,Freeport-McMoRan,Materials
2007-02-15,28.850000381469727,29.299999237060547,28.600000381469727,28.920000076293945,20.918672561645508,17631800,FCX,Freeport-McMoRan,Materials
2007-02-16,28.614999771118164,29.065000534057617,28.549999237060547,28.780000686645508,20.81740951538086,7601600,FCX,Freeport-McMoRan,Materials
2007-02-20,28.450000762939453,28.565000534057617,28.125,28.2450008392334,20.430429458618164,7207600,FCX,Freeport-McMoRan,Materials
2007-02-21,28.2450008392334,29.3700008392334,28.174999237060547,29.239999771118164,21.150144577026367,12540400,FCX,Freeport-McMoRan,Materials
2007-02-22,29.559999465942383,30.045000076293945,29.459999084472656,29.780000686645508,21.540742874145508,14293400,FCX,Freeport-McMoRan,Materials
2007-02-23,29.905000686645508,30.25,29.78499984741211,29.954999923706055,21.66732406616211,10163800,FCX,Freeport-McMoRan,Materials
2007-02-26,30.510000228881836,30.9950008392334,30.165000915527344,30.959999084472656,22.39427375793457,21867400,FCX,Freeport-McMoRan,Materials
2007-02-27,29.774999618530273,29.979999542236328,27.625,27.875,20.162792205810547,29186000,FCX,Freeport-McMoRan,Materials
2007-02-28,28.05500030517578,28.78499984741211,27.3799991607666,28.704999923706055,20.76316261291504,22113000,FCX,Freeport-McMoRan,Materials
2007-03-01,28.0,28.670000076293945,27.565000534057617,28.110000610351562,20.332778930664062,15155000,FCX,Freeport-McMoRan,Materials
2007-03-02,27.985000610351562,28.489999771118164,27.260000228881836,27.315000534057617,19.757734298706055,16601000,FCX,Freeport-McMoRan,Materials
2007-03-05,26.674999237060547,27.315000534057617,26.2549991607666,26.545000076293945,19.200769424438477,19783600,FCX,Freeport-McMoRan,Materials
2007-03-06,27.350000381469727,27.889999389648438,27.174999237060547,27.719999313354492,20.05068016052246,11348000,FCX,Freeport-McMoRan,Materials
2007-03-07,27.844999313354492,28.5049991607666,27.635000228881836,28.094999313354492,20.32193374633789,10921200,FCX,Freeport-McMoRan,Materials
2007-03-08,28.68000030517578,29.475000381469727,28.5,28.825000762939453,20.849956512451172,21505200,FCX,Freeport-McMoRan,Materials
2007-03-09,29.149999618530273,29.149999618530273,28.125,28.3700008392334,20.520841598510742,17758400,FCX,Freeport-McMoRan,Materials
2007-03-12,28.3700008392334,29.364999771118164,28.149999618530273,28.969999313354492,20.954845428466797,18897400,FCX,Freeport-McMoRan,Materials
2007-03-13,28.760000228881836,29.450000762939453,28.0049991607666,28.010000228881836,20.26045036315918,13800200,FCX,Freeport-McMoRan,Materials
2007-03-14,28.030000686645508,28.434999465942383,27.05500030517578,28.190000534057617,20.390644073486328,27740800,FCX,Freeport-McMoRan,Materials
2007-03-15,28.719999313354492,30.34000015258789,28.559999465942383,30.079999923706055,21.757736206054688,36365600,FCX,Freeport-McMoRan,Materials
2007-03-16,30.184999465942383,30.94499969482422,29.90999984741211,30.354999542236328,21.95665740966797,24904800,FCX,Freeport-McMoRan,Materials
2007-03-19,30.920000076293945,31.575000762939453,30.010000228881836,31.219999313354492,22.582334518432617,40353200,FCX,Freeport-McMoRan,Materials
2007-03-20,31.135000228881836,31.645000457763672,30.899999618530273,31.18000030517578,22.55340576171875,25441000,FCX,Freeport-McMoRan,Materials
2007-03-21,31.329999923706055,31.3799991607666,30.43000030517578,31.28499984741211,22.62934684753418,25621200,FCX,Freeport-McMoRan,Materials
2007-03-22,31.5,31.834999084472656,30.93000030517578,30.954999923706055,22.39065170288086,32919400,FCX,Freeport-McMoRan,Materials
2007-03-23,30.725000381469727,31.219999313354492,30.649999618530273,31.149999618530273,22.531702041625977,93676200,FCX,Freeport-McMoRan,Materials
2007-03-26,31.600000381469727,32.54999923706055,31.295000076293945,32.349998474121094,23.39969253540039,57039400,FCX,Freeport-McMoRan,Materials
2007-03-27,32.375,32.459999084472656,31.7549991607666,32.36000061035156,23.40692901611328,43360400,FCX,Freeport-McMoRan,Materials
2007-03-28,32.5,32.5,31.875,32.10499954223633,23.22248077392578,22881600,FCX,Freeport-McMoRan,Materials
2007-03-29,32.7400016784668,33.17499923706055,32.244998931884766,32.67499923706055,23.634777069091797,33799000,FCX,Freeport-McMoRan,Materials
2007-03-30,32.994998931884766,33.595001220703125,32.959999084472656,33.095001220703125,23.938573837280273,27500000,FCX,Freeport-McMoRan,Materials
2007-04-02,33.2400016784668,33.470001220703125,32.810001373291016,33.3650016784668,24.13387107849121,23596600,FCX,Freeport-McMoRan,Materials
2007-04-03,33.650001525878906,34.04499816894531,33.5,33.70000076293945,24.376192092895508,22987600,FCX,Freeport-McMoRan,Materials
2007-04-04,33.75,33.93000030517578,33.27000045776367,33.79999923706055,24.44852066040039,25306600,FCX,Freeport-McMoRan,Materials
2007-04-05,33.79499816894531,34.25,33.665000915527344,33.78499984741211,24.43766975402832,20708200,FCX,Freeport-McMoRan,Materials
2007-04-09,34.040000915527344,34.625,34.005001068115234,34.4900016784668,24.94762420654297,17842600,FCX,Freeport-McMoRan,Materials
2007-04-10,34.869998931884766,35.48500061035156,34.78499984741211,35.22999954223633,25.48288345336914,39401400,FCX,Freeport-McMoRan,Materials
2007-04-11,35.54999923706055,35.66999816894531,34.755001068115234,34.96500015258789,25.29119873046875,38743200,FCX,Freeport-McMoRan,Materials
