Date,Open,High,Low,Close,Adj Close,Volume,ticker_symbol,security,sector
2007-01-03,53.72999954223633,54.33000183105469,53.619998931884766,54.0,27.94425392150879,689900,AEE,Ameren,Utilities
2007-01-04,53.869998931884766,54.18000030517578,53.599998474121094,53.84000015258789,27.861452102661133,529100,AEE,Ameren,Utilities
2007-01-05,53.720001220703125,53.72999954223633,52.88999938964844,53.11000061035156,27.48370361328125,833500,AEE,Ameren,Utilities
2007-01-08,53.06999969482422,53.33000183105469,53.0,53.15999984741211,27.50956916809082,681000,AEE,Ameren,Utilities
2007-01-09,53.25,53.540000915527344,53.02000045776367,53.34000015258789,27.60271453857422,1414700,AEE,Ameren,Utilities
2007-01-10,53.189998626708984,53.45000076293945,53.099998474121094,53.290000915527344,27.576833724975586,444100,AEE,Ameren,Utilities
2007-01-11,53.38999938964844,53.77000045776367,53.15999984741211,53.349998474121094,27.607891082763672,476100,AEE,Ameren,Utilities
2007-01-12,53.470001220703125,53.529998779296875,52.779998779296875,53.06999969482422,27.462997436523438,1015500,AEE,Ameren,Utilities
2007-01-16,53.15999984741211,53.5,52.9900016784668,53.0,27.426767349243164,515600,AEE,Ameren,Utilities
2007-01-17,53.029998779296875,53.119998931884766,52.72999954223633,53.0,27.426767349243164,511100,AEE,Ameren,Utilities
2007-01-18,53.02000045776367,53.02000045776367,52.52000045776367,52.72999954223633,27.287046432495117,711000,AEE,Ameren,Utilities
2007-01-19,52.91999816894531,53.04999923706055,52.56999969482422,53.0,27.426767349243164,537600,AEE,Ameren,Utilities
2007-01-22,52.84000015258789,53.06999969482422,52.68000030517578,52.95000076293945,27.400894165039062,662500,AEE,Ameren,Utilities
2007-01-23,52.95000076293945,52.9900016784668,52.54999923706055,52.939998626708984,27.39572525024414,670100,AEE,Ameren,Utilities
2007-01-24,52.95000076293945,53.27000045776367,52.900001525878906,53.2599983215332,27.561321258544922,492800,AEE,Ameren,Utilities
2007-01-25,53.2599983215332,53.36000061035156,52.779998779296875,52.86000061035156,27.354318618774414,751600,AEE,Ameren,Utilities
2007-01-26,52.849998474121094,53.279998779296875,52.58000183105469,53.220001220703125,27.540616989135742,774300,AEE,Ameren,Utilities
2007-01-29,53.13999938964844,53.150001525878906,52.75,52.79999923706055,27.323274612426758,866600,AEE,Ameren,Utilities
2007-01-30,52.91999816894531,53.029998779296875,52.599998474121094,52.849998474121094,27.349153518676758,742300,AEE,Ameren,Utilities
2007-01-31,52.72999954223633,53.20000076293945,52.40999984741211,53.11000061035156,27.48370361328125,814600,AEE,Ameren,Utilities
2007-02-01,53.2400016784668,53.63999938964844,53.09000015258789,53.540000915527344,27.70621109008789,589200,AEE,Ameren,Utilities
2007-02-02,53.45000076293945,53.75,53.29999923706055,53.689998626708984,27.783832550048828,379700,AEE,Ameren,Utilities
2007-02-05,53.7400016784668,54.02000045776367,53.540000915527344,53.93000030517578,27.908035278320312,425100,AEE,Ameren,Utilities
2007-02-06,53.93000030517578,54.150001525878906,53.81999969482422,54.040000915527344,27.96495246887207,384300,AEE,Ameren,Utilities
2007-02-07,53.91999816894531,54.060001373291016,53.75,53.849998474121094,27.86662483215332,549300,AEE,Ameren,Utilities
2007-02-08,53.880001068115234,54.31999969482422,53.880001068115234,54.130001068115234,28.01154327392578,405000,AEE,Ameren,Utilities
2007-02-09,54.06999969482422,54.40999984741211,53.709999084472656,53.9900016784668,27.939085006713867,792600,AEE,Ameren,Utilities
2007-02-12,54.09000015258789,54.31999969482422,53.7599983215332,54.150001525878906,28.021875381469727,497100,AEE,Ameren,Utilities
2007-02-13,54.15999984741211,54.560001373291016,54.099998474121094,54.54999923706055,28.2288761138916,461900,AEE,Ameren,Utilities
2007-02-14,54.54999923706055,55.0,54.40999984741211,54.88999938964844,28.40482521057129,850300,AEE,Ameren,Utilities
2007-02-15,53.5099983215332,54.099998474121094,53.0,53.5,27.685516357421875,1973200,AEE,Ameren,Utilities
2007-02-16,53.33000183105469,53.70000076293945,53.31999969482422,53.5099983215332,27.690689086914062,899300,AEE,Ameren,Utilities
2007-02-20,53.4900016784668,53.68000030517578,53.11000061035156,53.66999816894531,27.773483276367188,763600,AEE,Ameren,Utilities
2007-02-21,53.45000076293945,53.54999923706055,52.869998931884766,53.150001525878906,27.50439453125,683000,AEE,Ameren,Utilities
2007-02-22,53.15999984741211,53.349998474121094,52.75,52.959999084472656,27.406076431274414,569600,AEE,Ameren,Utilities
2007-02-23,52.959999084472656,53.130001068115234,52.66999816894531,52.959999084472656,27.406076431274414,651700,AEE,Ameren,Utilities
2007-02-26,53.70000076293945,54.4900016784668,53.40999984741211,53.630001068115234,27.752796173095703,1121600,AEE,Ameren,Utilities
2007-02-27,53.63999938964844,53.63999938964844,51.619998931884766,52.04999923706055,26.93515968322754,822400,AEE,Ameren,Utilities
2007-02-28,52.220001220703125,52.88999938964844,52.099998474121094,52.20000076293945,27.012798309326172,1058500,AEE,Ameren,Utilities
2007-03-01,52.20000076293945,52.61000061035156,51.34000015258789,52.33000183105469,27.080049514770508,1890200,AEE,Ameren,Utilities
2007-03-02,52.22999954223633,52.2599983215332,51.47999954223633,51.630001068115234,26.71782684326172,807700,AEE,Ameren,Utilities
2007-03-05,50.9900016784668,50.9900016784668,50.38999938964844,50.529998779296875,26.474197387695312,1108000,AEE,Ameren,Utilities
2007-03-06,50.709999084472656,50.93000030517578,50.25,50.849998474121094,26.641847610473633,1068100,AEE,Ameren,Utilities
2007-03-07,50.650001525878906,51.09000015258789,50.5099983215332,50.86000061035156,26.6470890045166,999700,AEE,Ameren,Utilities
2007-03-08,50.86000061035156,50.86000061035156,50.099998474121094,50.2599983215332,26.332721710205078,1599300,AEE,Ameren,Utilities
2007-03-09,50.29999923706055,50.63999938964844,49.88999938964844,50.119998931884766,26.259363174438477,1384300,AEE,Ameren,Utilities
2007-03-12,50.119998931884766,50.459999084472656,49.91999816894531,50.43000030517578,26.421789169311523,876000,AEE,Ameren,Utilities
2007-03-13,50.209999084472656,50.5,49.15999984741211,49.599998474121094,25.986928939819336,1949000,AEE,Ameren,Utilities
2007-03-14,49.5099983215332,50.0,49.119998931884766,49.59000015258789,25.9816951751709,1965600,AEE,Ameren,Utilities
2007-03-15,49.41999816894531,49.869998931884766,49.130001068115234,49.68000030517578,26.028854370117188,2071300,AEE,Ameren,Utilities
2007-03-16,49.7400016784668,49.790000915527344,48.68000030517578,48.7400016784668,25.536354064941406,3173800,AEE,Ameren,Utilities
2007-03-19,48.75,49.45000076293945,48.560001373291016,49.22999954223633,25.793075561523438,1558900,AEE,Ameren,Utilities
2007-03-20,49.150001525878906,50.40999984741211,49.06999969482422,50.310001373291016,26.358930587768555,1615600,AEE,Ameren,Utilities
2007-03-21,50.099998474121094,50.880001068115234,49.79999923706055,50.709999084472656,26.56848907470703,2341700,AEE,Ameren,Utilities
2007-03-22,50.70000076293945,50.70000076293945,48.95000076293945,50.029998779296875,26.212223052978516,4952700,AEE,Ameren,Utilities
2007-03-23,49.93000030517578,50.75,49.68000030517578,50.630001068115234,26.526575088500977,3003900,AEE,Ameren,Utilities
