,d,v,years,months,ticker_symbol,security,sector
0,985996800,211381773,2001,3,CHTR,Charter Communications,Communication Services
1,993859200,230595904,2001,6,CHTR,Charter Communications,Communication Services
2,1001808000,266061346,2001,9,CHTR,Charter Communications,Communication Services
3,1017532800,266191918,2002,3,CHTR,Charter Communications,Communication Services
4,1025395200,266244813,2002,6,CHTR,Charter Communications,Communication Services
5,1033344000,266245902,2002,9,CHTR,Charter Communications,Communication Services
6,1049068800,266256281,2003,3,CHTR,Charter Communications,Communication Services
7,1056931200,266263929,2003,6,CHTR,Charter Communications,Communication Services
8,1064880000,266347371,2003,9,CHTR,Charter Communications,Communication Services
9,1080691200,266834914,2004,3,CHTR,Charter Communications,Communication Services
10,1088553600,271732729,2004,6,CHTR,Charter Communications,Communication Services
11,1096502400,273615421,2004,9,CHTR,Charter Communications,Communication Services
12,1112227200,274251889,2005,3,CHTR,Charter Communications,Communication Services
13,1120089600,274533517,2005,6,CHTR,Charter Communications,Communication Services
14,1128038400,285921367,2005,9,CHTR,Charter Communications,Communication Services
15,1143763200,287005261,2006,3,CHTR,Charter Communications,Communication Services
16,1151625600,287216368,2006,6,CHTR,Charter Communications,Communication Services
17,1159574400,295592593,2006,9,CHTR,Charter Communications,Communication Services
18,1175299200,331045790,2007,3,CHTR,Charter Communications,Communication Services
19,1183161600,332368256,2007,6,CHTR,Charter Communications,Communication Services
20,1191110400,333866574,2007,9,CHTR,Charter Communications,Communication Services
21,1206921600,334631026,2008,3,CHTR,Charter Communications,Communication Services
22,1214784000,336047801,2008,6,CHTR,Charter Communications,Communication Services
23,1222732800,338302128,2008,9,CHTR,Charter Communications,Communication Services
24,1238457600,341873993,2009,3,CHTR,Charter Communications,Communication Services
25,1246320000,342675557,2009,6,CHTR,Charter Communications,Communication Services
26,1254268800,342751766,2009,9,CHTR,Charter Communications,Communication Services
27,1269993600,102193558,2010,3,CHTR,Charter Communications,Communication Services
28,1277856000,102274859,2010,6,CHTR,Charter Communications,Communication Services
29,1285804800,102274865,2010,9,CHTR,Charter Communications,Communication Services
30,1301529600,102377414,2011,3,CHTR,Charter Communications,Communication Services
31,1309392000,98798205,2011,6,CHTR,Charter Communications,Communication Services
32,1317340800,98033516,2011,9,CHTR,Charter Communications,Communication Services
33,1333152000,89907282,2012,3,CHTR,Charter Communications,Communication Services
34,1341014400,89964965,2012,6,CHTR,Charter Communications,Communication Services
35,1348963200,90143922,2012,9,CHTR,Charter Communications,Communication Services
36,1364688000,90716051,2013,3,CHTR,Charter Communications,Communication Services
37,1372550400,90963133,2013,6,CHTR,Charter Communications,Communication Services
38,1380499200,93064281,2013,9,CHTR,Charter Communications,Communication Services
39,1388448000,93888994,2013,12,CHTR,Charter Communications,Communication Services
40,1396224000,96242322,2014,3,CHTR,Charter Communications,Communication Services
41,1404086400,97631842,2014,6,CHTR,Charter Communications,Communication Services
42,1412035200,98370273,2014,9,CHTR,Charter Communications,Communication Services
43,1419984000,99681274,2014,12,CHTR,Charter Communications,Communication Services
44,1427760000,100959008,2015,3,CHTR,Charter Communications,Communication Services
45,1435622400,101074644,2015,6,CHTR,Charter Communications,Communication Services
46,1443571200,101205399,2015,9,CHTR,Charter Communications,Communication Services
47,1451520000,101366475,2015,12,CHTR,Charter Communications,Communication Services
48,1459382400,101552093,2016,3,CHTR,Charter Communications,Communication Services
49,1467244800,183362776,2016,6,CHTR,Charter Communications,Communication Services
50,1475193600,271263259,2016,9,CHTR,Charter Communications,Communication Services
51,1483142400,268584368,2016,12,CHTR,Charter Communications,Communication Services
52,1490918400,269004817,2017,3,CHTR,Charter Communications,Communication Services
53,1498780800,263460911,2017,6,CHTR,Charter Communications,Communication Services
54,1506729600,253923805,2017,9,CHTR,Charter Communications,Communication Services
55,1514678400,240833636,2017,12,CHTR,Charter Communications,Communication Services
56,1522454400,237762295,2018,3,CHTR,Charter Communications,Communication Services
57,1530316800,234241769,2018,6,CHTR,Charter Communications,Communication Services
58,1538265600,230554633,2018,9,CHTR,Charter Communications,Communication Services
59,1546214400,227005966,2018,12,CHTR,Charter Communications,Communication Services
60,1553990400,224630122,2019,3,CHTR,Charter Communications,Communication Services
61,1561852800,222392274,2019,6,CHTR,Charter Communications,Communication Services
62,1569801600,218499213,2019,9,CHTR,Charter Communications,Communication Services
63,1577750400,212648072,2019,12,CHTR,Charter Communications,Communication Services
64,1585612800,207831305,2020,3,CHTR,Charter Communications,Communication Services
65,1593475200,205777438,2020,6,CHTR,Charter Communications,Communication Services
66,1601424000,202826502,2020,9,CHTR,Charter Communications,Communication Services
67,1609372800,196906511,2020,12,CHTR,Charter Communications,Communication Services
68,1617148800,191404527,2021,3,CHTR,Charter Communications,Communication Services
69,1625011200,185916505,2021,6,CHTR,Charter Communications,Communication Services
70,1632960000,181925180,2021,9,CHTR,Charter Communications,Communication Services
71,1640908800,175623846,2021,12,CHTR,Charter Communications,Communication Services
72,1648684800,170688127,2022,3,CHTR,Charter Communications,Communication Services
73,1656547200,164049619,2022,6,CHTR,Charter Communications,Communication Services
74,1668714242,164049619,2022,11,CHTR,Charter Communications,Communication Services
