,d,v,years,months,ticker_symbol,security,sector
0,1056931200,2714198914,2003,6,GOOG,Alphabet Inc. (Class C),Communication Services
1,1080691200,3046332115,2004,3,GOOG,Alphabet Inc. (Class C),Communication Services
2,1088553600,3108818756,2004,6,GOOG,Alphabet Inc. (Class C),Communication Services
3,1096502400,4100138359,2004,9,GOOG,Alphabet Inc. (Class C),Communication Services
4,1112227200,5322117871,2005,3,GOOG,Alphabet Inc. (Class C),Communication Services
5,1120089600,5414577834,2005,6,GOOG,Alphabet Inc. (Class C),Communication Services
6,1128038400,5502597798,2005,9,GOOG,Alphabet Inc. (Class C),Communication Services
7,1143763200,5877917648,2006,3,GOOG,Alphabet Inc. (Class C),Communication Services
8,1151625600,6028197588,2006,6,GOOG,Alphabet Inc. (Class C),Communication Services
9,1159574400,6067997572,2006,9,GOOG,Alphabet Inc. (Class C),Communication Services
10,1175299200,6186297525,2007,3,GOOG,Alphabet Inc. (Class C),Communication Services
11,1183161600,6208717516,2007,6,GOOG,Alphabet Inc. (Class C),Communication Services
12,1191110400,6224417510,2007,9,GOOG,Alphabet Inc. (Class C),Communication Services
13,1206921600,6262577494,2008,3,GOOG,Alphabet Inc. (Class C),Communication Services
14,1214784000,6276337489,2008,6,GOOG,Alphabet Inc. (Class C),Communication Services
15,1222732800,6284817486,2008,9,GOOG,Alphabet Inc. (Class C),Communication Services
16,1238457600,6305037477,2009,3,GOOG,Alphabet Inc. (Class C),Communication Services
17,1246320000,6318017472,2009,6,GOOG,Alphabet Inc. (Class C),Communication Services
18,1254268800,6329937468,2009,9,GOOG,Alphabet Inc. (Class C),Communication Services
19,1269993600,6357897456,2010,3,GOOG,Alphabet Inc. (Class C),Communication Services
20,1277856000,6366997453,2010,6,GOOG,Alphabet Inc. (Class C),Communication Services
21,1285804800,6372337451,2010,9,GOOG,Alphabet Inc. (Class C),Communication Services
22,1293753600,6398917440,2010,12,GOOG,Alphabet Inc. (Class C),Communication Services
23,1301529600,6430537427,2011,3,GOOG,Alphabet Inc. (Class C),Communication Services
24,1309392000,6444557422,2011,6,GOOG,Alphabet Inc. (Class C),Communication Services
25,1317340800,6463097414,2011,9,GOOG,Alphabet Inc. (Class C),Communication Services
26,1333152000,6505977397,2012,3,GOOG,Alphabet Inc. (Class C),Communication Services
27,1341014400,6525437389,2012,6,GOOG,Alphabet Inc. (Class C),Communication Services
28,1348963200,6555697377,2012,9,GOOG,Alphabet Inc. (Class C),Communication Services
29,1356912000,6587257365,2012,12,GOOG,Alphabet Inc. (Class C),Communication Services
30,1364688000,6609077356,2013,3,GOOG,Alphabet Inc. (Class C),Communication Services
31,1372550400,6649597340,2013,6,GOOG,Alphabet Inc. (Class C),Communication Services
32,1380499200,6672317331,2013,9,GOOG,Alphabet Inc. (Class C),Communication Services
33,1388448000,6696717321,2013,12,GOOG,Alphabet Inc. (Class C),Communication Services
34,1396224000,6725867309,2014,3,GOOG,Alphabet Inc. (Class C),Communication Services
35,1404086400,13502294599,2014,6,GOOG,Alphabet Inc. (Class C),Communication Services
36,1412035200,13541934583,2014,9,GOOG,Alphabet Inc. (Class C),Communication Services
37,1419984000,13578854568,2014,12,GOOG,Alphabet Inc. (Class C),Communication Services
38,1427760000,13618294552,2015,3,GOOG,Alphabet Inc. (Class C),Communication Services
39,1435622400,13663321188,2015,6,GOOG,Alphabet Inc. (Class C),Communication Services
40,1443571200,13720684167,2015,9,GOOG,Alphabet Inc. (Class C),Communication Services
41,1451520000,13751391147,2015,12,GOOG,Alphabet Inc. (Class C),Communication Services
42,1459382400,13748360514,2016,3,GOOG,Alphabet Inc. (Class C),Communication Services
43,1467244800,13718700560,2016,6,GOOG,Alphabet Inc. (Class C),Communication Services
44,1475193600,13752711890,2016,9,GOOG,Alphabet Inc. (Class C),Communication Services
45,1483142400,13798183355,2016,12,GOOG,Alphabet Inc. (Class C),Communication Services
46,1490918400,13824198292,2017,3,GOOG,Alphabet Inc. (Class C),Communication Services
47,1498780800,13846752811,2017,6,GOOG,Alphabet Inc. (Class C),Communication Services
48,1506729600,13866111858,2017,9,GOOG,Alphabet Inc. (Class C),Communication Services
49,1514678400,13885051917,2017,12,GOOG,Alphabet Inc. (Class C),Communication Services
50,1522454400,13896520679,2018,3,GOOG,Alphabet Inc. (Class C),Communication Services
51,1530316800,13891298791,2018,6,GOOG,Alphabet Inc. (Class C),Communication Services
52,1538265600,13916724183,2018,9,GOOG,Alphabet Inc. (Class C),Communication Services
53,1546214400,13905200343,2018,12,GOOG,Alphabet Inc. (Class C),Communication Services
54,1553990400,13897697990,2019,3,GOOG,Alphabet Inc. (Class C),Communication Services
55,1561852800,13882757880,2019,6,GOOG,Alphabet Inc. (Class C),Communication Services
56,1569801600,13858817986,2019,9,GOOG,Alphabet Inc. (Class C),Communication Services
57,1577750400,13776114489,2019,12,GOOG,Alphabet Inc. (Class C),Communication Services
58,1585612800,13729294508,2020,3,GOOG,Alphabet Inc. (Class C),Communication Services
59,1593475200,13635354545,2020,6,GOOG,Alphabet Inc. (Class C),Communication Services
60,1601424000,13588974564,2020,9,GOOG,Alphabet Inc. (Class C),Communication Services
61,1609372800,13511633919,2020,12,GOOG,Alphabet Inc. (Class C),Communication Services
62,1617148800,13464393941,2021,3,GOOG,Alphabet Inc. (Class C),Communication Services
63,1625011200,13379153979,2021,6,GOOG,Alphabet Inc. (Class C),Communication Services
64,1632960000,13315154008,2021,9,GOOG,Alphabet Inc. (Class C),Communication Services
65,1640908800,13253254036,2021,12,GOOG,Alphabet Inc. (Class C),Communication Services
66,1648684800,13203414058,2022,3,GOOG,Alphabet Inc. (Class C),Communication Services
67,1656547200,13132994090,2022,6,GOOG,Alphabet Inc. (Class C),Communication Services
68,1668714211,13018000000,2022,11,GOOG,Alphabet Inc. (Class C),Communication Services
