,d,v,years,months,ticker_symbol,security,sector
0,985996800,140572000,2001,3,LUMN,Lumen Technologies,Communication Services
1,993859200,140720000,2001,6,LUMN,Lumen Technologies,Communication Services
2,1001808000,140772000,2001,9,LUMN,Lumen Technologies,Communication Services
3,1017532800,141051000,2002,3,LUMN,Lumen Technologies,Communication Services
4,1025395200,141243000,2002,6,LUMN,Lumen Technologies,Communication Services
5,1033344000,141692000,2002,9,LUMN,Lumen Technologies,Communication Services
6,1049068800,142901000,2003,3,LUMN,Lumen Technologies,Communication Services
7,1056931200,143329000,2003,6,LUMN,Lumen Technologies,Communication Services
8,1064880000,143897000,2003,9,LUMN,Lumen Technologies,Communication Services
9,1080691200,142585000,2004,3,LUMN,Lumen Technologies,Communication Services
10,1088553600,138066000,2004,6,LUMN,Lumen Technologies,Communication Services
11,1096502400,134885000,2004,9,LUMN,Lumen Technologies,Communication Services
12,1112227200,132183000,2005,3,LUMN,Lumen Technologies,Communication Services
13,1120089600,130299000,2005,6,LUMN,Lumen Technologies,Communication Services
14,1128038400,130150000,2005,9,LUMN,Lumen Technologies,Communication Services
15,1143763200,122394000,2006,3,LUMN,Lumen Technologies,Communication Services
16,1151625600,115441000,2006,6,LUMN,Lumen Technologies,Communication Services
17,1159574400,115221000,2006,9,LUMN,Lumen Technologies,Communication Services
18,1175299200,111031000,2007,3,LUMN,Lumen Technologies,Communication Services
19,1183161600,108405000,2007,6,LUMN,Lumen Technologies,Communication Services
20,1191110400,108996000,2007,9,LUMN,Lumen Technologies,Communication Services
21,1206921600,106142000,2008,3,LUMN,Lumen Technologies,Communication Services
22,1214784000,103644000,2008,6,LUMN,Lumen Technologies,Communication Services
23,1222732800,100402000,2008,9,LUMN,Lumen Technologies,Communication Services
24,1238457600,99126000,2009,3,LUMN,Lumen Technologies,Communication Services
25,1246320000,99414000,2009,6,LUMN,Lumen Technologies,Communication Services
26,1254268800,298133000,2009,9,LUMN,Lumen Technologies,Communication Services
27,1269993600,299413000,2010,3,LUMN,Lumen Technologies,Communication Services
28,1277856000,300058000,2010,6,LUMN,Lumen Technologies,Communication Services
29,1285804800,300702000,2010,9,LUMN,Lumen Technologies,Communication Services
30,1301529600,303832000,2011,3,LUMN,Lumen Technologies,Communication Services
31,1309392000,598884000,2011,6,LUMN,Lumen Technologies,Communication Services
32,1317340800,612277000,2011,9,LUMN,Lumen Technologies,Communication Services
33,1333152000,618208000,2012,3,LUMN,Lumen Technologies,Communication Services
34,1341014400,619887000,2012,6,LUMN,Lumen Technologies,Communication Services
35,1348963200,621148000,2012,9,LUMN,Lumen Technologies,Communication Services
36,1364688000,619423000,2013,3,LUMN,Lumen Technologies,Communication Services
37,1372550400,604302000,2013,6,LUMN,Lumen Technologies,Communication Services
38,1380499200,594587000,2013,9,LUMN,Lumen Technologies,Communication Services
39,1388448000,585259000,2013,12,LUMN,Lumen Technologies,Communication Services
40,1396224000,574535000,2014,3,LUMN,Lumen Technologies,Communication Services
41,1404086400,567915000,2014,6,LUMN,Lumen Technologies,Communication Services
42,1412035200,565965000,2014,9,LUMN,Lumen Technologies,Communication Services
43,1419984000,565327000,2014,12,LUMN,Lumen Technologies,Communication Services
44,1427760000,561969000,2015,3,LUMN,Lumen Technologies,Communication Services
45,1435622400,558640000,2015,6,LUMN,Lumen Technologies,Communication Services
46,1443571200,554897000,2015,9,LUMN,Lumen Technologies,Communication Services
47,1451520000,541605000,2015,12,LUMN,Lumen Technologies,Communication Services
48,1459382400,538799000,2016,3,LUMN,Lumen Technologies,Communication Services
49,1467244800,539627000,2016,6,LUMN,Lumen Technologies,Communication Services
50,1475193600,539806000,2016,9,LUMN,Lumen Technologies,Communication Services
51,1483142400,539965000,2016,12,LUMN,Lumen Technologies,Communication Services
52,1490918400,540458000,2017,3,LUMN,Lumen Technologies,Communication Services
53,1498780800,541361000,2017,6,LUMN,Lumen Technologies,Communication Services
54,1506729600,541521000,2017,9,LUMN,Lumen Technologies,Communication Services
55,1514678400,887890000,2017,12,LUMN,Lumen Technologies,Communication Services
56,1522454400,1065796000,2018,3,LUMN,Lumen Technologies,Communication Services
57,1530316800,1064711000,2018,6,LUMN,Lumen Technologies,Communication Services
58,1538265600,1066904000,2018,9,LUMN,Lumen Technologies,Communication Services
59,1546214400,1067234000,2018,12,LUMN,Lumen Technologies,Communication Services
60,1553990400,1068878000,2019,3,LUMN,Lumen Technologies,Communication Services
61,1561852800,1071341000,2019,6,LUMN,Lumen Technologies,Communication Services
62,1569801600,1072543000,2019,9,LUMN,Lumen Technologies,Communication Services
63,1577750400,1073000000,2019,12,LUMN,Lumen Technologies,Communication Services
64,1585612800,1075459000,2020,3,LUMN,Lumen Technologies,Communication Services
65,1593475200,1079475000,2020,6,LUMN,Lumen Technologies,Communication Services
66,1601424000,1080505000,2020,9,LUMN,Lumen Technologies,Communication Services
67,1609372800,1080507000,2020,12,LUMN,Lumen Technologies,Communication Services
68,1617148800,1082474000,2021,3,LUMN,Lumen Technologies,Communication Services
69,1625011200,1086453000,2021,6,LUMN,Lumen Technologies,Communication Services
70,1632960000,1062084000,2021,9,LUMN,Lumen Technologies,Communication Services
71,1640908800,1006846000,2021,12,LUMN,Lumen Technologies,Communication Services
72,1648684800,1008430000,2022,3,LUMN,Lumen Technologies,Communication Services
73,1656547200,1012943000,2022,6,LUMN,Lumen Technologies,Communication Services
74,1668714374,1012943000,2022,11,LUMN,Lumen Technologies,Communication Services
