,d,v,years,months,ticker_symbol,security,sector
0,1301529600,2456000019,2011,3,META,Meta Platforms,Communication Services
1,1309392000,2456000019,2011,6,META,Meta Platforms,Communication Services
2,1317340800,2456000019,2011,9,META,Meta Platforms,Communication Services
3,1333152000,2126000017,2012,3,META,Meta Platforms,Communication Services
4,1341014400,1879000015,2012,6,META,Meta Platforms,Communication Services
5,1348963200,2420000019,2012,9,META,Meta Platforms,Communication Services
6,1356912000,2368000018,2012,12,META,Meta Platforms,Communication Services
7,1364688000,2386000019,2013,3,META,Meta Platforms,Communication Services
8,1372550400,2407000019,2013,6,META,Meta Platforms,Communication Services
9,1380499200,2430000019,2013,9,META,Meta Platforms,Communication Services
10,1388448000,2458000019,2013,12,META,Meta Platforms,Communication Services
11,1396224000,2545000020,2014,3,META,Meta Platforms,Communication Services
12,1404086400,2560000020,2014,6,META,Meta Platforms,Communication Services
13,1412035200,2587000020,2014,9,META,Meta Platforms,Communication Services
14,1419984000,2761000022,2014,12,META,Meta Platforms,Communication Services
15,1427760000,2784000022,2015,3,META,Meta Platforms,Communication Services
16,1435622400,2796000022,2015,6,META,Meta Platforms,Communication Services
17,1443571200,2808000022,2015,9,META,Meta Platforms,Communication Services
18,1451520000,2825000022,2015,12,META,Meta Platforms,Communication Services
19,1459382400,2843000022,2016,3,META,Meta Platforms,Communication Services
20,1467244800,2856000022,2016,6,META,Meta Platforms,Communication Services
21,1475193600,2871000022,2016,9,META,Meta Platforms,Communication Services
22,1483142400,2882000023,2016,12,META,Meta Platforms,Communication Services
23,1490918400,2891000023,2017,3,META,Meta Platforms,Communication Services
24,1498780800,2900000023,2017,6,META,Meta Platforms,Communication Services
25,1506729600,2904000023,2017,9,META,Meta Platforms,Communication Services
26,1514678400,2907000023,2017,12,META,Meta Platforms,Communication Services
27,1522454400,2906000023,2018,3,META,Meta Platforms,Communication Services
28,1530316800,2895000023,2018,6,META,Meta Platforms,Communication Services
29,1538265600,2885000023,2018,9,META,Meta Platforms,Communication Services
30,1546214400,2872000022,2018,12,META,Meta Platforms,Communication Services
31,1553990400,2856000022,2019,3,META,Meta Platforms,Communication Services
32,1561852800,2855000022,2019,6,META,Meta Platforms,Communication Services
33,1569801600,2854000022,2019,9,META,Meta Platforms,Communication Services
34,1577750400,2853000022,2019,12,META,Meta Platforms,Communication Services
35,1585612800,2851000022,2020,3,META,Meta Platforms,Communication Services
36,1593475200,2850000022,2020,6,META,Meta Platforms,Communication Services
37,1601424000,2850000022,2020,9,META,Meta Platforms,Communication Services
38,1609372800,2850000000,2020,12,META,Meta Platforms,Communication Services
39,1617148800,2847000000,2021,3,META,Meta Platforms,Communication Services
40,1625011200,2834000000,2021,6,META,Meta Platforms,Communication Services
41,1632960000,2814000000,2021,9,META,Meta Platforms,Communication Services
42,1640908800,2765000000,2021,12,META,Meta Platforms,Communication Services
43,1648684800,2725000000,2022,3,META,Meta Platforms,Communication Services
44,1656547200,2704000000,2022,6,META,Meta Platforms,Communication Services
45,1668714408,2682000000,2022,11,META,Meta Platforms,Communication Services
