,d,v,years,months,ticker_symbol,security,sector
0,985996800,366461538,2001,3,OMC,Omnicom Group,Communication Services
1,993859200,364737349,2001,6,OMC,Omnicom Group,Communication Services
2,1001808000,369420000,2001,9,OMC,Omnicom Group,Communication Services
3,1017532800,372655072,2002,3,OMC,Omnicom Group,Communication Services
4,1025395200,370920792,2002,6,OMC,Omnicom Group,Communication Services
5,1033344000,370894118,2002,9,OMC,Omnicom Group,Communication Services
6,1049068800,372707246,2003,3,OMC,Omnicom Group,Communication Services
7,1056931200,374013725,2003,6,OMC,Omnicom Group,Communication Services
8,1064880000,375747222,2003,9,OMC,Omnicom Group,Communication Services
9,1080691200,376666667,2004,3,OMC,Omnicom Group,Communication Services
10,1088553600,374727273,2004,6,OMC,Omnicom Group,Communication Services
11,1096502400,367848101,2004,9,OMC,Omnicom Group,Communication Services
12,1112227200,367073171,2005,3,OMC,Omnicom Group,Communication Services
13,1120089600,364193548,2005,6,OMC,Omnicom Group,Communication Services
14,1128038400,359333333,2005,9,OMC,Omnicom Group,Communication Services
15,1143763200,352553191,2006,3,OMC,Omnicom Group,Communication Services
16,1151625600,341398601,2006,6,OMC,Omnicom Group,Communication Services
17,1159574400,337333333,2006,9,OMC,Omnicom Group,Communication Services
18,1175299200,329729730,2007,3,OMC,Omnicom Group,Communication Services
19,1183161600,325529412,2007,6,OMC,Omnicom Group,Communication Services
20,1191110400,326129032,2007,9,OMC,Omnicom Group,Communication Services
21,1206921600,321076923,2008,3,OMC,Omnicom Group,Communication Services
22,1214784000,317500000,2008,6,OMC,Omnicom Group,Communication Services
23,1222732800,309100000,2008,9,OMC,Omnicom Group,Communication Services
24,1238457600,307500000,2009,3,OMC,Omnicom Group,Communication Services
25,1246320000,308100000,2009,6,OMC,Omnicom Group,Communication Services
26,1254268800,308600000,2009,9,OMC,Omnicom Group,Communication Services
27,1269993600,306400000,2010,3,OMC,Omnicom Group,Communication Services
28,1277856000,302300000,2010,6,OMC,Omnicom Group,Communication Services
29,1285804800,299300000,2010,9,OMC,Omnicom Group,Communication Services
30,1301529600,283600000,2011,3,OMC,Omnicom Group,Communication Services
31,1309392000,278700000,2011,6,OMC,Omnicom Group,Communication Services
32,1317340800,277100000,2011,9,OMC,Omnicom Group,Communication Services
33,1333152000,273300000,2012,3,OMC,Omnicom Group,Communication Services
34,1341014400,269000000,2012,6,OMC,Omnicom Group,Communication Services
35,1348963200,266600000,2012,9,OMC,Omnicom Group,Communication Services
36,1364688000,261000000,2013,3,OMC,Omnicom Group,Communication Services
37,1372550400,257700000,2013,6,OMC,Omnicom Group,Communication Services
38,1380499200,258200000,2013,9,OMC,Omnicom Group,Communication Services
39,1396224000,259100000,2014,3,OMC,Omnicom Group,Communication Services
40,1404086400,256200000,2014,6,OMC,Omnicom Group,Communication Services
41,1412035200,251400000,2014,9,OMC,Omnicom Group,Communication Services
42,1419984000,249000000,2014,12,OMC,Omnicom Group,Communication Services
43,1427760000,246400000,2015,3,OMC,Omnicom Group,Communication Services
44,1435622400,244500000,2015,6,OMC,Omnicom Group,Communication Services
45,1443571200,243200000,2015,9,OMC,Omnicom Group,Communication Services
46,1459382400,240000000,2016,3,OMC,Omnicom Group,Communication Services
47,1467244800,237700000,2016,6,OMC,Omnicom Group,Communication Services
48,1475193600,237400000,2016,9,OMC,Omnicom Group,Communication Services
49,1483142400,236500000,2016,12,OMC,Omnicom Group,Communication Services
50,1490918400,234600000,2017,3,OMC,Omnicom Group,Communication Services
51,1498780800,232100000,2017,6,OMC,Omnicom Group,Communication Services
52,1506729600,231200000,2017,9,OMC,Omnicom Group,Communication Services
53,1514678400,231200000,2017,12,OMC,Omnicom Group,Communication Services
54,1522454400,230200000,2018,3,OMC,Omnicom Group,Communication Services
55,1530316800,226800000,2018,6,OMC,Omnicom Group,Communication Services
56,1538265600,224800000,2018,9,OMC,Omnicom Group,Communication Services
57,1546214400,224600000,2018,12,OMC,Omnicom Group,Communication Services
58,1553990400,223200000,2019,3,OMC,Omnicom Group,Communication Services
59,1561852800,219600000,2019,6,OMC,Omnicom Group,Communication Services
60,1569801600,218200000,2019,9,OMC,Omnicom Group,Communication Services
61,1577750400,218200000,2019,12,OMC,Omnicom Group,Communication Services
62,1585612800,216600000,2020,3,OMC,Omnicom Group,Communication Services
63,1593475200,214900000,2020,6,OMC,Omnicom Group,Communication Services
64,1601424000,215400000,2020,9,OMC,Omnicom Group,Communication Services
65,1609372800,215500000,2020,12,OMC,Omnicom Group,Communication Services
66,1617148800,215600000,2021,3,OMC,Omnicom Group,Communication Services
67,1625011200,215400000,2021,6,OMC,Omnicom Group,Communication Services
68,1632960000,214000000,2021,9,OMC,Omnicom Group,Communication Services
69,1640908800,212200000,2021,12,OMC,Omnicom Group,Communication Services
70,1648684800,208300000,2022,3,OMC,Omnicom Group,Communication Services
71,1656547200,205300000,2022,6,OMC,Omnicom Group,Communication Services
72,1668714463,205000000,2022,11,OMC,Omnicom Group,Communication Services
