,d,v,years,months,ticker_symbol,security,sector
0,1112227200,195509244,2005,3,TMUS,T-Mobile US,Communication Services
1,1120089600,195509244,2005,6,TMUS,T-Mobile US,Communication Services
2,1128038400,196473306,2005,9,TMUS,T-Mobile US,Communication Services
3,1143763200,233744509,2006,3,TMUS,T-Mobile US,Communication Services
4,1151625600,233744509,2006,6,TMUS,T-Mobile US,Communication Services
5,1159574400,234004632,2006,9,TMUS,T-Mobile US,Communication Services
6,1175299200,78517559,2007,3,TMUS,T-Mobile US,Communication Services
7,1183161600,148335440,2007,6,TMUS,T-Mobile US,Communication Services
8,1191110400,173422196,2007,9,TMUS,T-Mobile US,Communication Services
9,1206921600,174082045,2008,3,TMUS,T-Mobile US,Communication Services
10,1214784000,174525991,2008,6,TMUS,T-Mobile US,Communication Services
11,1222732800,174991846,2008,9,TMUS,T-Mobile US,Communication Services
12,1238457600,175545431,2009,3,TMUS,T-Mobile US,Communication Services
13,1246320000,175956232,2009,6,TMUS,T-Mobile US,Communication Services
14,1254268800,176091328,2009,9,TMUS,T-Mobile US,Communication Services
15,1269993600,176391449,2010,3,TMUS,T-Mobile US,Communication Services
16,1277856000,176639211,2010,6,TMUS,T-Mobile US,Communication Services
17,1285804800,176977266,2010,9,TMUS,T-Mobile US,Communication Services
18,1301529600,178494135,2011,3,TMUS,T-Mobile US,Communication Services
19,1309392000,180113243,2011,6,TMUS,T-Mobile US,Communication Services
20,1317340800,181009602,2011,9,TMUS,T-Mobile US,Communication Services
21,1333152000,181359306,2012,3,TMUS,T-Mobile US,Communication Services
22,1341014400,181631902,2012,6,TMUS,T-Mobile US,Communication Services
23,1348963200,181792276,2012,9,TMUS,T-Mobile US,Communication Services
24,1356912000,182109659,2012,12,TMUS,T-Mobile US,Communication Services
25,1364688000,182499568,2013,3,TMUS,T-Mobile US,Communication Services
26,1372550400,332301841,2013,6,TMUS,T-Mobile US,Communication Services
27,1380499200,728144401,2013,9,TMUS,T-Mobile US,Communication Services
28,1388448000,761964720,2013,12,TMUS,T-Mobile US,Communication Services
29,1396224000,802520723,2014,3,TMUS,T-Mobile US,Communication Services
30,1404086400,803923913,2014,6,TMUS,T-Mobile US,Communication Services
31,1412035200,807221761,2014,9,TMUS,T-Mobile US,Communication Services
32,1427760000,808605526,2015,3,TMUS,T-Mobile US,Communication Services
33,1435622400,811605031,2015,6,TMUS,T-Mobile US,Communication Services
34,1443571200,815069272,2015,9,TMUS,T-Mobile US,Communication Services
35,1451520000,816585782,2015,12,TMUS,T-Mobile US,Communication Services
36,1459382400,819431761,2016,3,TMUS,T-Mobile US,Communication Services
37,1467244800,822434490,2016,6,TMUS,T-Mobile US,Communication Services
38,1475193600,822998697,2016,9,TMUS,T-Mobile US,Communication Services
39,1483142400,824982734,2016,12,TMUS,T-Mobile US,Communication Services
40,1490918400,827723034,2017,3,TMUS,T-Mobile US,Communication Services
41,1498780800,830971528,2017,6,TMUS,T-Mobile US,Communication Services
42,1506729600,831189779,2017,9,TMUS,T-Mobile US,Communication Services
43,1514678400,837416683,2017,12,TMUS,T-Mobile US,Communication Services
44,1522454400,855222664,2018,3,TMUS,T-Mobile US,Communication Services
45,1530316800,847660488,2018,6,TMUS,T-Mobile US,Communication Services
46,1538265600,847087120,2018,9,TMUS,T-Mobile US,Communication Services
47,1546214400,849102785,2018,12,TMUS,T-Mobile US,Communication Services
48,1553990400,851223498,2019,3,TMUS,T-Mobile US,Communication Services
49,1561852800,854368443,2019,6,TMUS,T-Mobile US,Communication Services
50,1569801600,854578241,2019,9,TMUS,T-Mobile US,Communication Services
51,1577750400,856294467,2019,12,TMUS,T-Mobile US,Communication Services
52,1585612800,858148284,2020,3,TMUS,T-Mobile US,Communication Services
53,1593475200,1236528444,2020,6,TMUS,T-Mobile US,Communication Services
54,1601424000,1238450665,2020,9,TMUS,T-Mobile US,Communication Services
55,1609372800,1241578615,2020,12,TMUS,T-Mobile US,Communication Services
56,1617148800,1243520026,2021,3,TMUS,T-Mobile US,Communication Services
57,1625011200,1247563331,2021,6,TMUS,T-Mobile US,Communication Services
58,1632960000,1248189719,2021,9,TMUS,T-Mobile US,Communication Services
59,1640908800,1249272296,2021,12,TMUS,T-Mobile US,Communication Services
60,1648684800,1250505999,2022,3,TMUS,T-Mobile US,Communication Services
61,1656547200,1253932986,2022,6,TMUS,T-Mobile US,Communication Services
62,1668714496,1253932986,2022,11,TMUS,T-Mobile US,Communication Services
