,d,v,years,months,ticker_symbol,security,sector
0,1120089600,560480790,2005,6,WBD,Warner Bros. Discovery,Communication Services
1,1128038400,560439880,2005,9,WBD,Warner Bros. Discovery,Communication Services
2,1143763200,560404497,2006,3,WBD,Warner Bros. Discovery,Communication Services
3,1151625600,560401924,2006,6,WBD,Warner Bros. Discovery,Communication Services
4,1159574400,560401395,2006,9,WBD,Warner Bros. Discovery,Communication Services
5,1175299200,560491000,2007,3,WBD,Warner Bros. Discovery,Communication Services
6,1183161600,560732419,2007,6,WBD,Warner Bros. Discovery,Communication Services
7,1191110400,561490507,2007,9,WBD,Warner Bros. Discovery,Communication Services
8,1206921600,562258942,2008,3,WBD,Warner Bros. Discovery,Communication Services
9,1214784000,562490791,2008,6,WBD,Warner Bros. Discovery,Communication Services
10,1222732800,562521276,2008,9,WBD,Warner Bros. Discovery,Communication Services
11,1238457600,562521952,2009,3,WBD,Warner Bros. Discovery,Communication Services
12,1246320000,563260975,2009,6,WBD,Warner Bros. Discovery,Communication Services
13,1254268800,566000000,2009,9,WBD,Warner Bros. Discovery,Communication Services
14,1269993600,569000000,2010,3,WBD,Warner Bros. Discovery,Communication Services
15,1277856000,570000000,2010,6,WBD,Warner Bros. Discovery,Communication Services
16,1285804800,569880000,2010,9,WBD,Warner Bros. Discovery,Communication Services
17,1301529600,564000000,2011,3,WBD,Warner Bros. Discovery,Communication Services
18,1309392000,556000000,2011,6,WBD,Warner Bros. Discovery,Communication Services
19,1317340800,543000000,2011,9,WBD,Warner Bros. Discovery,Communication Services
20,1333152000,368000000,2012,3,WBD,Warner Bros. Discovery,Communication Services
21,1341014400,354650000,2012,6,WBD,Warner Bros. Discovery,Communication Services
22,1348963200,338450000,2012,9,WBD,Warner Bros. Discovery,Communication Services
23,1364688000,339100000,2013,3,WBD,Warner Bros. Discovery,Communication Services
24,1372550400,336300000,2013,6,WBD,Warner Bros. Discovery,Communication Services
25,1380499200,328400000,2013,9,WBD,Warner Bros. Discovery,Communication Services
26,1388448000,320000000,2013,12,WBD,Warner Bros. Discovery,Communication Services
27,1396224000,312500000,2014,3,WBD,Warner Bros. Discovery,Communication Services
28,1404086400,302900000,2014,6,WBD,Warner Bros. Discovery,Communication Services
29,1412035200,449000000,2014,9,WBD,Warner Bros. Discovery,Communication Services
30,1419984000,442000000,2014,12,WBD,Warner Bros. Discovery,Communication Services
31,1427760000,439000000,2015,3,WBD,Warner Bros. Discovery,Communication Services
32,1435622400,432000000,2015,6,WBD,Warner Bros. Discovery,Communication Services
33,1443571200,432000000,2015,9,WBD,Warner Bros. Discovery,Communication Services
34,1451520000,428000000,2015,12,WBD,Warner Bros. Discovery,Communication Services
35,1459382400,413000000,2016,3,WBD,Warner Bros. Discovery,Communication Services
36,1467244800,404000000,2016,6,WBD,Warner Bros. Discovery,Communication Services
37,1475193600,395000000,2016,9,WBD,Warner Bros. Discovery,Communication Services
38,1483142400,393000000,2016,12,WBD,Warner Bros. Discovery,Communication Services
39,1490918400,389000000,2017,3,WBD,Warner Bros. Discovery,Communication Services
40,1498780800,384000000,2017,6,WBD,Warner Bros. Discovery,Communication Services
41,1506729600,381000000,2017,9,WBD,Warner Bros. Discovery,Communication Services
42,1514678400,381000000,2017,12,WBD,Warner Bros. Discovery,Communication Services
43,1522454400,422000000,2018,3,WBD,Warner Bros. Discovery,Communication Services
44,1530316800,523000000,2018,6,WBD,Warner Bros. Discovery,Communication Services
45,1538265600,523000000,2018,9,WBD,Warner Bros. Discovery,Communication Services
46,1546214400,524000000,2018,12,WBD,Warner Bros. Discovery,Communication Services
47,1553990400,524000000,2019,3,WBD,Warner Bros. Discovery,Communication Services
48,1561852800,528000000,2019,6,WBD,Warner Bros. Discovery,Communication Services
49,1569801600,535000000,2019,9,WBD,Warner Bros. Discovery,Communication Services
50,1577750400,527000000,2019,12,WBD,Warner Bros. Discovery,Communication Services
51,1585612800,517000000,2020,3,WBD,Warner Bros. Discovery,Communication Services
52,1593475200,508000000,2020,6,WBD,Warner Bros. Discovery,Communication Services
53,1601424000,505000000,2020,9,WBD,Warner Bros. Discovery,Communication Services
54,1609372800,489000000,2020,12,WBD,Warner Bros. Discovery,Communication Services
55,1617148800,495000000,2021,3,WBD,Warner Bros. Discovery,Communication Services
56,1625011200,506000000,2021,6,WBD,Warner Bros. Discovery,Communication Services
57,1632960000,506000000,2021,9,WBD,Warner Bros. Discovery,Communication Services
58,1640908800,507000000,2021,12,WBD,Warner Bros. Discovery,Communication Services
59,1648684800,591000000,2022,3,WBD,Warner Bros. Discovery,Communication Services
60,1656547200,2286000000,2022,6,WBD,Warner Bros. Discovery,Communication Services
61,1668714544,864400000,2022,11,WBD,Warner Bros. Discovery,Communication Services
