,d,v,years,months,ticker_symbol,security,sector
0,991267200,469330552,2001,5,BBY,Best Buy,Consumer Discretionary
1,999216000,473151730,2001,8,BBY,Best Buy,Consumer Discretionary
2,1007078400,474500381,2001,11,BBY,Best Buy,Consumer Discretionary
3,1022803200,479760120,2002,5,BBY,Best Buy,Consumer Discretionary
4,1030752000,481950000,2002,8,BBY,Best Buy,Consumer Discretionary
5,1038614400,482250000,2002,11,BBY,Best Buy,Consumer Discretionary
6,1054339200,483000000,2003,5,BBY,Best Buy,Consumer Discretionary
7,1062288000,484107946,2003,8,BBY,Best Buy,Consumer Discretionary
8,1070150400,486056972,2003,11,BBY,Best Buy,Consumer Discretionary
9,1085961600,486806597,2004,5,BBY,Best Buy,Consumer Discretionary
10,1093910400,486956522,2004,8,BBY,Best Buy,Consumer Discretionary
11,1101772800,488755622,2004,11,BBY,Best Buy,Consumer Discretionary
12,1117497600,491004498,2005,5,BBY,Best Buy,Consumer Discretionary
13,1125446400,491200000,2005,8,BBY,Best Buy,Consumer Discretionary
14,1133308800,491100000,2005,11,BBY,Best Buy,Consumer Discretionary
15,1149033600,484600000,2006,5,BBY,Best Buy,Consumer Discretionary
16,1156982400,482000000,2006,8,BBY,Best Buy,Consumer Discretionary
17,1164844800,481000000,2006,11,BBY,Best Buy,Consumer Discretionary
18,1180569600,478800000,2007,5,BBY,Best Buy,Consumer Discretionary
19,1188518400,444100000,2007,8,BBY,Best Buy,Consumer Discretionary
20,1196380800,418700000,2007,11,BBY,Best Buy,Consumer Discretionary
21,1212192000,411400000,2008,5,BBY,Best Buy,Consumer Discretionary
22,1220140800,412100000,2008,8,BBY,Best Buy,Consumer Discretionary
23,1228003200,412900000,2008,11,BBY,Best Buy,Consumer Discretionary
24,1243728000,415200000,2009,5,BBY,Best Buy,Consumer Discretionary
25,1251676800,416500000,2009,8,BBY,Best Buy,Consumer Discretionary
26,1259539200,417100000,2009,11,BBY,Best Buy,Consumer Discretionary
27,1275264000,420300000,2010,5,BBY,Best Buy,Consumer Discretionary
28,1283212800,413500000,2010,8,BBY,Best Buy,Consumer Discretionary
29,1291075200,397100000,2010,11,BBY,Best Buy,Consumer Discretionary
30,1306800000,387700000,2011,5,BBY,Best Buy,Consumer Discretionary
31,1314748800,371900000,2011,8,BBY,Best Buy,Consumer Discretionary
32,1322611200,359700000,2011,11,BBY,Best Buy,Consumer Discretionary
33,1335744000,342200000,2012,4,BBY,Best Buy,Consumer Discretionary
34,1343692800,338200000,2012,7,BBY,Best Buy,Consumer Discretionary
35,1351641600,337200000,2012,10,BBY,Best Buy,Consumer Discretionary
36,1367280000,339000000,2013,4,BBY,Best Buy,Consumer Discretionary
37,1375228800,340400000,2013,7,BBY,Best Buy,Consumer Discretionary
38,1383177600,342800000,2013,10,BBY,Best Buy,Consumer Discretionary
39,1391126400,346300000,2014,1,BBY,Best Buy,Consumer Discretionary
40,1398816000,347400000,2014,4,BBY,Best Buy,Consumer Discretionary
41,1406764800,349300000,2014,7,BBY,Best Buy,Consumer Discretionary
42,1414713600,350100000,2014,10,BBY,Best Buy,Consumer Discretionary
43,1422662400,351200000,2015,1,BBY,Best Buy,Consumer Discretionary
44,1430352000,352400000,2015,4,BBY,Best Buy,Consumer Discretionary
45,1438300800,349600000,2015,7,BBY,Best Buy,Consumer Discretionary
46,1446249600,344700000,2015,10,BBY,Best Buy,Consumer Discretionary
47,1454198400,339300000,2016,1,BBY,Best Buy,Consumer Discretionary
48,1461974400,323600000,2016,4,BBY,Best Buy,Consumer Discretionary
49,1469923200,320800000,2016,7,BBY,Best Buy,Consumer Discretionary
50,1477872000,316200000,2016,10,BBY,Best Buy,Consumer Discretionary
51,1485820800,313300000,2017,1,BBY,Best Buy,Consumer Discretionary
52,1493510400,309200000,2017,4,BBY,Best Buy,Consumer Discretionary
53,1501459200,304100000,2017,7,BBY,Best Buy,Consumer Discretionary
54,1509408000,299100000,2017,10,BBY,Best Buy,Consumer Discretionary
55,1517356800,289900000,2018,1,BBY,Best Buy,Consumer Discretionary
56,1525046400,282600000,2018,4,BBY,Best Buy,Consumer Discretionary
57,1532995200,279000000,2018,7,BBY,Best Buy,Consumer Discretionary
58,1540944000,274300000,2018,10,BBY,Best Buy,Consumer Discretionary
59,1548892800,269000000,2019,1,BBY,Best Buy,Consumer Discretionary
60,1556582400,267600000,2019,4,BBY,Best Buy,Consumer Discretionary
61,1564531200,267100000,2019,7,BBY,Best Buy,Consumer Discretionary
62,1572480000,263200000,2019,10,BBY,Best Buy,Consumer Discretionary
63,1580428800,259700000,2020,1,BBY,Best Buy,Consumer Discretionary
64,1588204800,258300000,2020,4,BBY,Best Buy,Consumer Discretionary
65,1596153600,259500000,2020,7,BBY,Best Buy,Consumer Discretionary
66,1604102400,259800000,2020,10,BBY,Best Buy,Consumer Discretionary
67,1612051200,259400000,2021,1,BBY,Best Buy,Consumer Discretionary
68,1619740800,253100000,2021,4,BBY,Best Buy,Consumer Discretionary
69,1627689600,250200000,2021,7,BBY,Best Buy,Consumer Discretionary
70,1635638400,246400000,2021,10,BBY,Best Buy,Consumer Discretionary
71,1651276800,226800000,2022,4,BBY,Best Buy,Consumer Discretionary
72,1659225600,225400000,2022,7,BBY,Best Buy,Consumer Discretionary
73,1668715156,225400000,2022,11,BBY,Best Buy,Consumer Discretionary
