,d,v,years,months,ticker_symbol,security,sector
0,985996800,31437786,2001,3,BKNG,Booking Holdings,Consumer Discretionary
1,993859200,32770052,2001,6,BKNG,Booking Holdings,Consumer Discretionary
2,1001808000,36029204,2001,9,BKNG,Booking Holdings,Consumer Discretionary
3,1017532800,37924750,2002,3,BKNG,Booking Holdings,Consumer Discretionary
4,1025395200,38287489,2002,6,BKNG,Booking Holdings,Consumer Discretionary
5,1033344000,37886409,2002,9,BKNG,Booking Holdings,Consumer Discretionary
6,1049068800,37484162,2003,3,BKNG,Booking Holdings,Consumer Discretionary
7,1056931200,37635000,2003,6,BKNG,Booking Holdings,Consumer Discretionary
8,1064880000,38044000,2003,9,BKNG,Booking Holdings,Consumer Discretionary
9,1080691200,37588000,2004,3,BKNG,Booking Holdings,Consumer Discretionary
10,1088553600,38076000,2004,6,BKNG,Booking Holdings,Consumer Discretionary
11,1096502400,38684000,2004,9,BKNG,Booking Holdings,Consumer Discretionary
12,1112227200,38863000,2005,3,BKNG,Booking Holdings,Consumer Discretionary
13,1120089600,39022000,2005,6,BKNG,Booking Holdings,Consumer Discretionary
14,1128038400,39156000,2005,9,BKNG,Booking Holdings,Consumer Discretionary
15,1143763200,39380000,2006,3,BKNG,Booking Holdings,Consumer Discretionary
16,1151625600,39481000,2006,6,BKNG,Booking Holdings,Consumer Discretionary
17,1159574400,39596000,2006,9,BKNG,Booking Holdings,Consumer Discretionary
18,1175299200,37191000,2007,3,BKNG,Booking Holdings,Consumer Discretionary
19,1183161600,37597000,2007,6,BKNG,Booking Holdings,Consumer Discretionary
20,1191110400,37803000,2007,9,BKNG,Booking Holdings,Consumer Discretionary
21,1206921600,38224000,2008,3,BKNG,Booking Holdings,Consumer Discretionary
22,1214784000,38768000,2008,6,BKNG,Booking Holdings,Consumer Discretionary
23,1222732800,39715000,2008,9,BKNG,Booking Holdings,Consumer Discretionary
24,1238457600,41004000,2009,3,BKNG,Booking Holdings,Consumer Discretionary
25,1246320000,41661000,2009,6,BKNG,Booking Holdings,Consumer Discretionary
26,1254268800,42569000,2009,9,BKNG,Booking Holdings,Consumer Discretionary
27,1269993600,46309000,2010,3,BKNG,Booking Holdings,Consumer Discretionary
28,1277856000,47791000,2010,6,BKNG,Booking Holdings,Consumer Discretionary
29,1285804800,48570000,2010,9,BKNG,Booking Holdings,Consumer Discretionary
30,1301529600,49319000,2011,3,BKNG,Booking Holdings,Consumer Discretionary
31,1309392000,49718000,2011,6,BKNG,Booking Holdings,Consumer Discretionary
32,1317340800,49779000,2011,9,BKNG,Booking Holdings,Consumer Discretionary
33,1333152000,49827000,2012,3,BKNG,Booking Holdings,Consumer Discretionary
34,1341014400,49812000,2012,6,BKNG,Booking Holdings,Consumer Discretionary
35,1348963200,49851000,2012,9,BKNG,Booking Holdings,Consumer Discretionary
36,1356912000,49870000,2012,12,BKNG,Booking Holdings,Consumer Discretionary
37,1364688000,49939000,2013,3,BKNG,Booking Holdings,Consumer Discretionary
38,1372550400,50760000,2013,6,BKNG,Booking Holdings,Consumer Discretionary
39,1380499200,51363000,2013,9,BKNG,Booking Holdings,Consumer Discretionary
40,1388448000,51632000,2013,12,BKNG,Booking Holdings,Consumer Discretionary
41,1396224000,52153000,2014,3,BKNG,Booking Holdings,Consumer Discretionary
42,1404086400,52397000,2014,6,BKNG,Booking Holdings,Consumer Discretionary
43,1412035200,52405000,2014,9,BKNG,Booking Holdings,Consumer Discretionary
44,1427760000,51909000,2015,3,BKNG,Booking Holdings,Consumer Discretionary
45,1435622400,51589000,2015,6,BKNG,Booking Holdings,Consumer Discretionary
46,1443571200,50550000,2015,9,BKNG,Booking Holdings,Consumer Discretionary
47,1451520000,49741000,2015,12,BKNG,Booking Holdings,Consumer Discretionary
48,1459382400,49630000,2016,3,BKNG,Booking Holdings,Consumer Discretionary
49,1467244800,49604000,2016,6,BKNG,Booking Holdings,Consumer Discretionary
50,1475193600,49420000,2016,9,BKNG,Booking Holdings,Consumer Discretionary
51,1483142400,49320000,2016,12,BKNG,Booking Holdings,Consumer Discretionary
52,1490918400,49192000,2017,3,BKNG,Booking Holdings,Consumer Discretionary
53,1498780800,49131000,2017,6,BKNG,Booking Holdings,Consumer Discretionary
54,1506729600,48981000,2017,9,BKNG,Booking Holdings,Consumer Discretionary
55,1514678400,48679000,2017,12,BKNG,Booking Holdings,Consumer Discretionary
56,1522454400,48349000,2018,3,BKNG,Booking Holdings,Consumer Discretionary
57,1530316800,48055000,2018,6,BKNG,Booking Holdings,Consumer Discretionary
58,1538265600,47268000,2018,9,BKNG,Booking Holdings,Consumer Discretionary
59,1546214400,46136000,2018,12,BKNG,Booking Holdings,Consumer Discretionary
60,1553990400,45007000,2019,3,BKNG,Booking Holdings,Consumer Discretionary
61,1561852800,43251000,2019,6,BKNG,Booking Holdings,Consumer Discretionary
62,1569801600,42389000,2019,9,BKNG,Booking Holdings,Consumer Discretionary
63,1577750400,41724000,2019,12,BKNG,Booking Holdings,Consumer Discretionary
64,1585612800,41093000,2020,3,BKNG,Booking Holdings,Consumer Discretionary
65,1593475200,40922000,2020,6,BKNG,Booking Holdings,Consumer Discretionary
66,1601424000,40935000,2020,9,BKNG,Booking Holdings,Consumer Discretionary
67,1609372800,40944000,2020,12,BKNG,Booking Holdings,Consumer Discretionary
68,1617148800,40973000,2021,3,BKNG,Booking Holdings,Consumer Discretionary
69,1625011200,41054000,2021,6,BKNG,Booking Holdings,Consumer Discretionary
70,1632960000,41068000,2021,9,BKNG,Booking Holdings,Consumer Discretionary
71,1640908800,41072000,2021,12,BKNG,Booking Holdings,Consumer Discretionary
72,1648684800,40921000,2022,3,BKNG,Booking Holdings,Consumer Discretionary
73,1656547200,40512000,2022,6,BKNG,Booking Holdings,Consumer Discretionary
74,1668715172,40512000,2022,11,BKNG,Booking Holdings,Consumer Discretionary
