,d,v,years,months,ticker_symbol,security,sector
0,985996800,210048000,2001,3,BWA,BorgWarner,Consumer Discretionary
1,993859200,210472000,2001,6,BWA,BorgWarner,Consumer Discretionary
2,1001808000,210720000,2001,9,BWA,BorgWarner,Consumer Discretionary
3,1017532800,211888000,2002,3,BWA,BorgWarner,Consumer Discretionary
4,1025395200,212944000,2002,6,BWA,BorgWarner,Consumer Discretionary
5,1033344000,214048000,2002,9,BWA,BorgWarner,Consumer Discretionary
6,1049068800,213176000,2003,3,BWA,BorgWarner,Consumer Discretionary
7,1056931200,214680000,2003,6,BWA,BorgWarner,Consumer Discretionary
8,1064880000,217976000,2003,9,BWA,BorgWarner,Consumer Discretionary
9,1080691200,221776000,2004,3,BWA,BorgWarner,Consumer Discretionary
10,1088553600,223064000,2004,6,BWA,BorgWarner,Consumer Discretionary
11,1096502400,224100000,2004,9,BWA,BorgWarner,Consumer Discretionary
12,1112227200,225704000,2005,3,BWA,BorgWarner,Consumer Discretionary
13,1120089600,226024000,2005,6,BWA,BorgWarner,Consumer Discretionary
14,1128038400,227244000,2005,9,BWA,BorgWarner,Consumer Discretionary
15,1143763200,228724000,2006,3,BWA,BorgWarner,Consumer Discretionary
16,1151625600,229312000,2006,6,BWA,BorgWarner,Consumer Discretionary
17,1159574400,229836000,2006,9,BWA,BorgWarner,Consumer Discretionary
18,1175299200,231664000,2007,3,BWA,BorgWarner,Consumer Discretionary
19,1183161600,232200000,2007,6,BWA,BorgWarner,Consumer Discretionary
20,1191110400,231996000,2007,9,BWA,BorgWarner,Consumer Discretionary
21,1206921600,232494000,2008,3,BWA,BorgWarner,Consumer Discretionary
22,1214784000,232500000,2008,6,BWA,BorgWarner,Consumer Discretionary
23,1222732800,231998000,2008,9,BWA,BorgWarner,Consumer Discretionary
24,1238457600,232058000,2009,3,BWA,BorgWarner,Consumer Discretionary
25,1246320000,232058000,2009,6,BWA,BorgWarner,Consumer Discretionary
26,1254268800,233458000,2009,9,BWA,BorgWarner,Consumer Discretionary
27,1269993600,232750000,2010,3,BWA,BorgWarner,Consumer Discretionary
28,1277856000,258200000,2010,6,BWA,BorgWarner,Consumer Discretionary
29,1285804800,227512406,2010,9,BWA,BorgWarner,Consumer Discretionary
30,1301529600,221268000,2011,3,BWA,BorgWarner,Consumer Discretionary
31,1309392000,217522000,2011,6,BWA,BorgWarner,Consumer Discretionary
32,1317340800,217558000,2011,9,BWA,BorgWarner,Consumer Discretionary
33,1333152000,229227070,2012,3,BWA,BorgWarner,Consumer Discretionary
34,1341014400,224278000,2012,6,BWA,BorgWarner,Consumer Discretionary
35,1348963200,228598000,2012,9,BWA,BorgWarner,Consumer Discretionary
36,1364688000,230372000,2013,3,BWA,BorgWarner,Consumer Discretionary
37,1372550400,229496000,2013,6,BWA,BorgWarner,Consumer Discretionary
38,1380499200,227556540,2013,9,BWA,BorgWarner,Consumer Discretionary
39,1388448000,227932856,2013,12,BWA,BorgWarner,Consumer Discretionary
40,1396224000,227430000,2014,3,BWA,BorgWarner,Consumer Discretionary
41,1404086400,227678000,2014,6,BWA,BorgWarner,Consumer Discretionary
42,1412035200,227077000,2014,9,BWA,BorgWarner,Consumer Discretionary
43,1419984000,226430083,2014,12,BWA,BorgWarner,Consumer Discretionary
44,1427760000,225796000,2015,3,BWA,BorgWarner,Consumer Discretionary
45,1435622400,225353000,2015,6,BWA,BorgWarner,Consumer Discretionary
46,1443571200,224837000,2015,9,BWA,BorgWarner,Consumer Discretionary
47,1451520000,219324821,2015,12,BWA,BorgWarner,Consumer Discretionary
48,1459382400,217619230,2016,3,BWA,BorgWarner,Consumer Discretionary
49,1467244800,214265791,2016,6,BWA,BorgWarner,Consumer Discretionary
50,1475193600,212872000,2016,9,BWA,BorgWarner,Consumer Discretionary
51,1483142400,212262965,2016,12,BWA,BorgWarner,Consumer Discretionary
52,1490918400,211596000,2017,3,BWA,BorgWarner,Consumer Discretionary
53,1498780800,210572000,2017,6,BWA,BorgWarner,Consumer Discretionary
54,1506729600,209803000,2017,9,BWA,BorgWarner,Consumer Discretionary
55,1514678400,209700000,2017,12,BWA,BorgWarner,Consumer Discretionary
56,1522454400,210101808,2018,3,BWA,BorgWarner,Consumer Discretionary
57,1530316800,208570000,2018,6,BWA,BorgWarner,Consumer Discretionary
58,1538265600,207471000,2018,9,BWA,BorgWarner,Consumer Discretionary
59,1546214400,207300000,2018,12,BWA,BorgWarner,Consumer Discretionary
60,1553990400,207266453,2019,3,BWA,BorgWarner,Consumer Discretionary
61,1561852800,205700000,2019,6,BWA,BorgWarner,Consumer Discretionary
62,1569801600,205300000,2019,9,BWA,BorgWarner,Consumer Discretionary
63,1577750400,206407543,2019,12,BWA,BorgWarner,Consumer Discretionary
64,1585612800,205700000,2020,3,BWA,BorgWarner,Consumer Discretionary
65,1593475200,206000000,2020,6,BWA,BorgWarner,Consumer Discretionary
66,1601424000,206000000,2020,9,BWA,BorgWarner,Consumer Discretionary
67,1609372800,238930703,2020,12,BWA,BorgWarner,Consumer Discretionary
68,1617148800,237700000,2021,3,BWA,BorgWarner,Consumer Discretionary
69,1625011200,238200000,2021,6,BWA,BorgWarner,Consumer Discretionary
70,1632960000,239771275,2021,9,BWA,BorgWarner,Consumer Discretionary
71,1640908800,239776892,2021,12,BWA,BorgWarner,Consumer Discretionary
72,1648684800,238200000,2022,3,BWA,BorgWarner,Consumer Discretionary
73,1656547200,236900000,2022,6,BWA,BorgWarner,Consumer Discretionary
74,1668715187,236900000,2022,11,BWA,BorgWarner,Consumer Discretionary
