,d,v,years,months,ticker_symbol,security,sector
0,983318400,581590909,2001,2,CCL,Carnival,Consumer Discretionary
1,991267200,584259375,2001,5,CCL,Carnival,Consumer Discretionary
2,999216000,589255952,2001,8,CCL,Carnival,Consumer Discretionary
3,1014854400,589272727,2002,2,CCL,Carnival,Consumer Discretionary
4,1022803200,588487879,2002,5,CCL,Carnival,Consumer Discretionary
5,1030752000,589134118,2002,8,CCL,Carnival,Consumer Discretionary
6,1054339200,672605263,2003,5,CCL,Carnival,Consumer Discretionary
7,1062288000,798109783,2003,8,CCL,Carnival,Consumer Discretionary
8,1078012800,812000000,2004,2,CCL,Carnival,Consumer Discretionary
9,1085961600,809756098,2004,5,CCL,Carnival,Consumer Discretionary
10,1093910400,800781250,2004,8,CCL,Carnival,Consumer Discretionary
11,1109548800,802325581,2005,2,CCL,Carnival,Consumer Discretionary
12,1117497600,801960784,2005,5,CCL,Carnival,Consumer Discretionary
13,1125446400,804895105,2005,8,CCL,Carnival,Consumer Discretionary
14,1141084800,800000000,2006,2,CCL,Carnival,Consumer Discretionary
15,1149033600,808510638,2006,5,CCL,Carnival,Consumer Discretionary
16,1156982400,794838710,2006,8,CCL,Carnival,Consumer Discretionary
17,1172620800,786111111,2007,2,CCL,Carnival,Consumer Discretionary
18,1188518400,795953757,2007,8,CCL,Carnival,Consumer Discretionary
19,1204243200,786666667,2008,2,CCL,Carnival,Consumer Discretionary
20,1212192000,780000000,2008,5,CCL,Carnival,Consumer Discretionary
21,1220140800,786000000,2008,8,CCL,Carnival,Consumer Discretionary
22,1235779200,787000000,2009,2,CCL,Carnival,Consumer Discretionary
23,1243728000,787000000,2009,5,CCL,Carnival,Consumer Discretionary
24,1251676800,787000000,2009,8,CCL,Carnival,Consumer Discretionary
25,1267315200,787000000,2010,2,CCL,Carnival,Consumer Discretionary
26,1283212800,789000000,2010,8,CCL,Carnival,Consumer Discretionary
27,1298851200,790000000,2011,2,CCL,Carnival,Consumer Discretionary
28,1322611200,778000000,2011,11,CCL,Carnival,Consumer Discretionary
29,1346371200,778000000,2012,8,CCL,Carnival,Consumer Discretionary
30,1354233600,777000000,2012,11,CCL,Carnival,Consumer Discretionary
31,1362009600,776000000,2013,2,CCL,Carnival,Consumer Discretionary
32,1369958400,775000000,2013,5,CCL,Carnival,Consumer Discretionary
33,1377907200,775000000,2013,8,CCL,Carnival,Consumer Discretionary
34,1385769600,775000000,2013,11,CCL,Carnival,Consumer Discretionary
35,1393545600,776000000,2014,2,CCL,Carnival,Consumer Discretionary
36,1401494400,776000000,2014,5,CCL,Carnival,Consumer Discretionary
37,1417305600,776000000,2014,11,CCL,Carnival,Consumer Discretionary
38,1425081600,777000000,2015,2,CCL,Carnival,Consumer Discretionary
39,1433030400,778000000,2015,5,CCL,Carnival,Consumer Discretionary
40,1448841600,774000000,2015,11,CCL,Carnival,Consumer Discretionary
41,1456704000,766000000,2016,2,CCL,Carnival,Consumer Discretionary
42,1464652800,751000000,2016,5,CCL,Carnival,Consumer Discretionary
43,1472601600,737000000,2016,8,CCL,Carnival,Consumer Discretionary
44,1488240000,725000000,2017,2,CCL,Carnival,Consumer Discretionary
45,1504137600,723000000,2017,8,CCL,Carnival,Consumer Discretionary
46,1519776000,717000000,2018,2,CCL,Carnival,Consumer Discretionary
47,1527724800,714000000,2018,5,CCL,Carnival,Consumer Discretionary
48,1535673600,706000000,2018,8,CCL,Carnival,Consumer Discretionary
49,1543536000,698000000,2018,11,CCL,Carnival,Consumer Discretionary
50,1551312000,693000000,2019,2,CCL,Carnival,Consumer Discretionary
51,1559260800,691000000,2019,5,CCL,Carnival,Consumer Discretionary
52,1567209600,689000000,2019,8,CCL,Carnival,Consumer Discretionary
53,1575072000,686000000,2019,11,CCL,Carnival,Consumer Discretionary
54,1582934400,684000000,2020,2,CCL,Carnival,Consumer Discretionary
55,1590883200,721000000,2020,5,CCL,Carnival,Consumer Discretionary
56,1598832000,775000000,2020,8,CCL,Carnival,Consumer Discretionary
57,1614470400,1095000000,2021,2,CCL,Carnival,Consumer Discretionary
58,1622419200,1132000000,2021,5,CCL,Carnival,Consumer Discretionary
59,1630368000,1133000000,2021,8,CCL,Carnival,Consumer Discretionary
60,1646006400,1137000000,2022,2,CCL,Carnival,Consumer Discretionary
61,1653955200,1140000000,2022,5,CCL,Carnival,Consumer Discretionary
62,1668715235,1185000000,2022,11,CCL,Carnival,Consumer Discretionary
