,d,v,years,months,ticker_symbol,security,sector
0,985996800,227557546,2001,3,DHI,D.R. Horton,Consumer Discretionary
1,993859200,226817406,2001,6,DHI,D.R. Horton,Consumer Discretionary
2,1009756800,231872098,2001,12,DHI,D.R. Horton,Consumer Discretionary
3,1017532800,231872098,2002,3,DHI,D.R. Horton,Consumer Discretionary
4,1025395200,294270421,2002,6,DHI,D.R. Horton,Consumer Discretionary
5,1041292800,293038673,2002,12,DHI,D.R. Horton,Consumer Discretionary
6,1049068800,292646683,2003,3,DHI,D.R. Horton,Consumer Discretionary
7,1056931200,291984700,2003,6,DHI,D.R. Horton,Consumer Discretionary
8,1072828800,464558385,2003,12,DHI,D.R. Horton,Consumer Discretionary
9,1080691200,310409572,2004,3,DHI,D.R. Horton,Consumer Discretionary
10,1088553600,310734898,2004,6,DHI,D.R. Horton,Consumer Discretionary
11,1104451200,311325550,2004,12,DHI,D.R. Horton,Consumer Discretionary
12,1112227200,312765957,2005,3,DHI,D.R. Horton,Consumer Discretionary
13,1120089600,312352941,2005,6,DHI,D.R. Horton,Consumer Discretionary
14,1135987200,312900000,2005,12,DHI,D.R. Horton,Consumer Discretionary
15,1143763200,312212389,2006,3,DHI,D.R. Horton,Consumer Discretionary
16,1151625600,311489362,2006,6,DHI,D.R. Horton,Consumer Discretionary
17,1167523200,313428571,2006,12,DHI,D.R. Horton,Consumer Discretionary
18,1175299200,323125000,2007,3,DHI,D.R. Horton,Consumer Discretionary
19,1183161600,314427481,2007,6,DHI,D.R. Horton,Consumer Discretionary
20,1199059200,314146341,2007,12,DHI,D.R. Horton,Consumer Discretionary
21,1206921600,315362319,2008,3,DHI,D.R. Horton,Consumer Discretionary
22,1214784000,316904762,2008,6,DHI,D.R. Horton,Consumer Discretionary
23,1230681600,313000000,2008,12,DHI,D.R. Horton,Consumer Discretionary
24,1238457600,316800000,2009,3,DHI,D.R. Horton,Consumer Discretionary
25,1246320000,316900000,2009,6,DHI,D.R. Horton,Consumer Discretionary
26,1262217600,317700000,2009,12,DHI,D.R. Horton,Consumer Discretionary
27,1269993600,318100000,2010,3,DHI,D.R. Horton,Consumer Discretionary
28,1277856000,318200000,2010,6,DHI,D.R. Horton,Consumer Discretionary
29,1293753600,319100000,2010,12,DHI,D.R. Horton,Consumer Discretionary
30,1301529600,319300000,2011,3,DHI,D.R. Horton,Consumer Discretionary
31,1309392000,318700000,2011,6,DHI,D.R. Horton,Consumer Discretionary
32,1317340800,316000000,2011,9,DHI,D.R. Horton,Consumer Discretionary
33,1325289600,316300000,2011,12,DHI,D.R. Horton,Consumer Discretionary
34,1333152000,317000000,2012,3,DHI,D.R. Horton,Consumer Discretionary
35,1341014400,318800000,2012,6,DHI,D.R. Horton,Consumer Discretionary
36,1348963200,319600000,2012,9,DHI,D.R. Horton,Consumer Discretionary
37,1356912000,321100000,2012,12,DHI,D.R. Horton,Consumer Discretionary
38,1364688000,321700000,2013,3,DHI,D.R. Horton,Consumer Discretionary
39,1372550400,322600000,2013,6,DHI,D.R. Horton,Consumer Discretionary
40,1380499200,322900000,2013,9,DHI,D.R. Horton,Consumer Discretionary
41,1388448000,323100000,2013,12,DHI,D.R. Horton,Consumer Discretionary
42,1396224000,324300000,2014,3,DHI,D.R. Horton,Consumer Discretionary
43,1404086400,349700000,2014,6,DHI,D.R. Horton,Consumer Discretionary
44,1412035200,364500000,2014,9,DHI,D.R. Horton,Consumer Discretionary
45,1419984000,364900000,2014,12,DHI,D.R. Horton,Consumer Discretionary
46,1427760000,365800000,2015,3,DHI,D.R. Horton,Consumer Discretionary
47,1435622400,366800000,2015,6,DHI,D.R. Horton,Consumer Discretionary
48,1443571200,367700000,2015,9,DHI,D.R. Horton,Consumer Discretionary
49,1451520000,369300000,2015,12,DHI,D.R. Horton,Consumer Discretionary
50,1459382400,370200000,2016,3,DHI,D.R. Horton,Consumer Discretionary
51,1467244800,371800000,2016,6,DHI,D.R. Horton,Consumer Discretionary
52,1475193600,372800000,2016,9,DHI,D.R. Horton,Consumer Discretionary
53,1483142400,373300000,2016,12,DHI,D.R. Horton,Consumer Discretionary
54,1490918400,374400000,2017,3,DHI,D.R. Horton,Consumer Discretionary
55,1498780800,374800000,2017,6,DHI,D.R. Horton,Consumer Discretionary
56,1506729600,374700000,2017,9,DHI,D.R. Horton,Consumer Discretionary
57,1514678400,375800000,2017,12,DHI,D.R. Horton,Consumer Discretionary
58,1522454400,376800000,2018,3,DHI,D.R. Horton,Consumer Discretionary
59,1530316800,377400000,2018,6,DHI,D.R. Horton,Consumer Discretionary
60,1538265600,376700000,2018,9,DHI,D.R. Horton,Consumer Discretionary
61,1546214400,375100000,2018,12,DHI,D.R. Horton,Consumer Discretionary
62,1553990400,373300000,2019,3,DHI,D.R. Horton,Consumer Discretionary
63,1561852800,372300000,2019,6,DHI,D.R. Horton,Consumer Discretionary
64,1569801600,369700000,2019,9,DHI,D.R. Horton,Consumer Discretionary
65,1577750400,368300000,2019,12,DHI,D.R. Horton,Consumer Discretionary
66,1585612800,365800000,2020,3,DHI,D.R. Horton,Consumer Discretionary
67,1593475200,363800000,2020,6,DHI,D.R. Horton,Consumer Discretionary
68,1601424000,364100000,2020,9,DHI,D.R. Horton,Consumer Discretionary
69,1609372800,364400000,2020,12,DHI,D.R. Horton,Consumer Discretionary
70,1617148800,362300000,2021,3,DHI,D.R. Horton,Consumer Discretionary
71,1625011200,359700000,2021,6,DHI,D.R. Horton,Consumer Discretionary
72,1632960000,357900000,2021,9,DHI,D.R. Horton,Consumer Discretionary
73,1640908800,356100000,2021,12,DHI,D.R. Horton,Consumer Discretionary
74,1648684800,353100000,2022,3,DHI,D.R. Horton,Consumer Discretionary
75,1656547200,350800000,2022,6,DHI,D.R. Horton,Consumer Discretionary
76,1668715273,350800000,2022,11,DHI,D.R. Horton,Consumer Discretionary
