,d,v,years,months,ticker_symbol,security,sector
0,983318400,179700000,2001,2,DRI,Darden Restaurants,Consumer Discretionary
1,999216000,176011994,2001,8,DRI,Darden Restaurants,Consumer Discretionary
2,1007078400,175200000,2001,11,DRI,Darden Restaurants,Consumer Discretionary
3,1014854400,175050000,2002,2,DRI,Darden Restaurants,Consumer Discretionary
4,1030752000,171600000,2002,8,DRI,Darden Restaurants,Consumer Discretionary
5,1038614400,170900000,2002,11,DRI,Darden Restaurants,Consumer Discretionary
6,1046390400,170700000,2003,2,DRI,Darden Restaurants,Consumer Discretionary
7,1062288000,164700000,2003,8,DRI,Darden Restaurants,Consumer Discretionary
8,1070150400,164900000,2003,11,DRI,Darden Restaurants,Consumer Discretionary
9,1078012800,164200000,2004,2,DRI,Darden Restaurants,Consumer Discretionary
10,1093910400,157600000,2004,8,DRI,Darden Restaurants,Consumer Discretionary
11,1101772800,156800000,2004,11,DRI,Darden Restaurants,Consumer Discretionary
12,1109548800,157300000,2005,2,DRI,Darden Restaurants,Consumer Discretionary
13,1125446400,153300000,2005,8,DRI,Darden Restaurants,Consumer Discretionary
14,1133308800,149600000,2005,11,DRI,Darden Restaurants,Consumer Discretionary
15,1141084800,149400000,2006,2,DRI,Darden Restaurants,Consumer Discretionary
16,1156982400,144900000,2006,8,DRI,Darden Restaurants,Consumer Discretionary
17,1164844800,145300000,2006,11,DRI,Darden Restaurants,Consumer Discretionary
18,1172620800,142900000,2007,2,DRI,Darden Restaurants,Consumer Discretionary
19,1188518400,140800000,2007,8,DRI,Darden Restaurants,Consumer Discretionary
20,1196380800,142000000,2007,11,DRI,Darden Restaurants,Consumer Discretionary
21,1204243200,140400000,2008,2,DRI,Darden Restaurants,Consumer Discretionary
22,1220140800,139000000,2008,8,DRI,Darden Restaurants,Consumer Discretionary
23,1228003200,137000000,2008,11,DRI,Darden Restaurants,Consumer Discretionary
24,1235779200,136100000,2009,2,DRI,Darden Restaurants,Consumer Discretionary
25,1251676800,138700000,2009,8,DRI,Darden Restaurants,Consumer Discretionary
26,1259539200,139000000,2009,11,DRI,Darden Restaurants,Consumer Discretionary
27,1267315200,139300000,2010,2,DRI,Darden Restaurants,Consumer Discretionary
28,1283212800,138600000,2010,8,DRI,Darden Restaurants,Consumer Discretionary
29,1291075200,137600000,2010,11,DRI,Darden Restaurants,Consumer Discretionary
30,1298851200,136400000,2011,2,DRI,Darden Restaurants,Consumer Discretionary
31,1314748800,133800000,2011,8,DRI,Darden Restaurants,Consumer Discretionary
32,1322611200,130300000,2011,11,DRI,Darden Restaurants,Consumer Discretionary
33,1330473600,128000000,2012,2,DRI,Darden Restaurants,Consumer Discretionary
34,1338422400,128500000,2012,5,DRI,Darden Restaurants,Consumer Discretionary
35,1346371200,128100000,2012,8,DRI,Darden Restaurants,Consumer Discretionary
36,1354233600,128800000,2012,11,DRI,Darden Restaurants,Consumer Discretionary
37,1362009600,129300000,2013,2,DRI,Darden Restaurants,Consumer Discretionary
38,1369958400,129800000,2013,5,DRI,Darden Restaurants,Consumer Discretionary
39,1377907200,130200000,2013,8,DRI,Darden Restaurants,Consumer Discretionary
40,1385769600,130600000,2013,11,DRI,Darden Restaurants,Consumer Discretionary
41,1393545600,131300000,2014,2,DRI,Darden Restaurants,Consumer Discretionary
42,1401494400,131900000,2014,5,DRI,Darden Restaurants,Consumer Discretionary
43,1409443200,132200000,2014,8,DRI,Darden Restaurants,Consumer Discretionary
44,1417305600,127700000,2014,11,DRI,Darden Restaurants,Consumer Discretionary
45,1425081600,124600000,2015,2,DRI,Darden Restaurants,Consumer Discretionary
46,1433030400,126300000,2015,5,DRI,Darden Restaurants,Consumer Discretionary
47,1440979200,127400000,2015,8,DRI,Darden Restaurants,Consumer Discretionary
48,1448841600,128100000,2015,11,DRI,Darden Restaurants,Consumer Discretionary
49,1456704000,127600000,2016,2,DRI,Darden Restaurants,Consumer Discretionary
50,1464652800,126400000,2016,5,DRI,Darden Restaurants,Consumer Discretionary
51,1472601600,124900000,2016,8,DRI,Darden Restaurants,Consumer Discretionary
52,1480464000,123100000,2016,11,DRI,Darden Restaurants,Consumer Discretionary
53,1488240000,124100000,2017,2,DRI,Darden Restaurants,Consumer Discretionary
54,1496188800,125000000,2017,5,DRI,Darden Restaurants,Consumer Discretionary
55,1504137600,125200000,2017,8,DRI,Darden Restaurants,Consumer Discretionary
56,1512000000,123600000,2017,11,DRI,Darden Restaurants,Consumer Discretionary
57,1519776000,123600000,2018,2,DRI,Darden Restaurants,Consumer Discretionary
58,1527724800,123600000,2018,5,DRI,Darden Restaurants,Consumer Discretionary
59,1535673600,123800000,2018,8,DRI,Darden Restaurants,Consumer Discretionary
60,1543536000,123900000,2018,11,DRI,Darden Restaurants,Consumer Discretionary
61,1551312000,123300000,2019,2,DRI,Darden Restaurants,Consumer Discretionary
62,1559260800,123100000,2019,5,DRI,Darden Restaurants,Consumer Discretionary
63,1567209600,122900000,2019,8,DRI,Darden Restaurants,Consumer Discretionary
64,1575072000,122200000,2019,11,DRI,Darden Restaurants,Consumer Discretionary
65,1582934400,121300000,2020,2,DRI,Darden Restaurants,Consumer Discretionary
66,1590883200,124500000,2020,5,DRI,Darden Restaurants,Consumer Discretionary
67,1598832000,130000000,2020,8,DRI,Darden Restaurants,Consumer Discretionary
68,1606694400,130300000,2020,11,DRI,Darden Restaurants,Consumer Discretionary
69,1614470400,130500000,2021,2,DRI,Darden Restaurants,Consumer Discretionary
70,1622419200,130900000,2021,5,DRI,Darden Restaurants,Consumer Discretionary
71,1630368000,130300000,2021,8,DRI,Darden Restaurants,Consumer Discretionary
72,1638230400,129200000,2021,11,DRI,Darden Restaurants,Consumer Discretionary
73,1646006400,127000000,2022,2,DRI,Darden Restaurants,Consumer Discretionary
74,1653955200,124400000,2022,5,DRI,Darden Restaurants,Consumer Discretionary
75,1668715287,122900000,2022,11,DRI,Darden Restaurants,Consumer Discretionary
