,d,v,years,months,ticker_symbol,security,sector
0,985996800,1057116000,2001,3,EBAY,eBay,Consumer Discretionary
1,993859200,1068300000,2001,6,EBAY,eBay,Consumer Discretionary
2,1001808000,1084944000,2001,9,EBAY,eBay,Consumer Discretionary
3,1017532800,1113328000,2002,3,EBAY,eBay,Consumer Discretionary
4,1025395200,1122828000,2002,6,EBAY,eBay,Consumer Discretionary
5,1033344000,1129068000,2002,9,EBAY,eBay,Consumer Discretionary
6,1049068800,1254632000,2003,3,EBAY,eBay,Consumer Discretionary
7,1056931200,2546720000,2003,6,EBAY,eBay,Consumer Discretionary
8,1064880000,1285458000,2003,9,EBAY,eBay,Consumer Discretionary
9,1080691200,1305002000,2004,3,EBAY,eBay,Consumer Discretionary
10,1088553600,1316138000,2004,6,EBAY,eBay,Consumer Discretionary
11,1096502400,1323144000,2004,9,EBAY,eBay,Consumer Discretionary
12,1112227200,1343442000,2005,3,EBAY,eBay,Consumer Discretionary
13,1120089600,1351375000,2005,6,EBAY,eBay,Consumer Discretionary
14,1128038400,1357239000,2005,9,EBAY,eBay,Consumer Discretionary
15,1143763200,1406309000,2006,3,EBAY,eBay,Consumer Discretionary
16,1151625600,1411925000,2006,6,EBAY,eBay,Consumer Discretionary
17,1159574400,1406382000,2006,9,EBAY,eBay,Consumer Discretionary
18,1175299200,1366915000,2007,3,EBAY,eBay,Consumer Discretionary
19,1183161600,1361046000,2007,6,EBAY,eBay,Consumer Discretionary
20,1191110400,1354786000,2007,9,EBAY,eBay,Consumer Discretionary
21,1206921600,1333791000,2008,3,EBAY,eBay,Consumer Discretionary
22,1214784000,1312007000,2008,6,EBAY,eBay,Consumer Discretionary
23,1222732800,1288937000,2008,9,EBAY,eBay,Consumer Discretionary
24,1238457600,1283810000,2009,3,EBAY,eBay,Consumer Discretionary
25,1246320000,1288815000,2009,6,EBAY,eBay,Consumer Discretionary
26,1254268800,1293511000,2009,9,EBAY,eBay,Consumer Discretionary
27,1269993600,1301248000,2010,3,EBAY,eBay,Consumer Discretionary
28,1277856000,1310042000,2010,6,EBAY,eBay,Consumer Discretionary
29,1285804800,1308888000,2010,9,EBAY,eBay,Consumer Discretionary
30,1301529600,1297278000,2011,3,EBAY,eBay,Consumer Discretionary
31,1309392000,1296537000,2011,6,EBAY,eBay,Consumer Discretionary
32,1317340800,1289631000,2011,9,EBAY,eBay,Consumer Discretionary
33,1325289600,1288525000,2011,12,EBAY,eBay,Consumer Discretionary
34,1333152000,1288000000,2012,3,EBAY,eBay,Consumer Discretionary
35,1341014400,1291000000,2012,6,EBAY,eBay,Consumer Discretionary
36,1348963200,1292000000,2012,9,EBAY,eBay,Consumer Discretionary
37,1356912000,1294000000,2012,12,EBAY,eBay,Consumer Discretionary
38,1364688000,1295000000,2013,3,EBAY,eBay,Consumer Discretionary
39,1372550400,1297000000,2013,6,EBAY,eBay,Consumer Discretionary
40,1380499200,1295000000,2013,9,EBAY,eBay,Consumer Discretionary
41,1388448000,1295000000,2013,12,EBAY,eBay,Consumer Discretionary
42,1396224000,1276000000,2014,3,EBAY,eBay,Consumer Discretionary
43,1404086400,1258000000,2014,6,EBAY,eBay,Consumer Discretionary
44,1412035200,1242000000,2014,9,EBAY,eBay,Consumer Discretionary
45,1419984000,1230000000,2014,12,EBAY,eBay,Consumer Discretionary
46,1427760000,1216000000,2015,3,EBAY,eBay,Consumer Discretionary
47,1435622400,1217000000,2015,6,EBAY,eBay,Consumer Discretionary
48,1443571200,1210000000,2015,9,EBAY,eBay,Consumer Discretionary
49,1451520000,1191000000,2015,12,EBAY,eBay,Consumer Discretionary
50,1459382400,1159000000,2016,3,EBAY,eBay,Consumer Discretionary
51,1467244800,1144000000,2016,6,EBAY,eBay,Consumer Discretionary
52,1475193600,1126000000,2016,9,EBAY,eBay,Consumer Discretionary
53,1483142400,1106000000,2016,12,EBAY,eBay,Consumer Discretionary
54,1490918400,1083000000,2017,3,EBAY,eBay,Consumer Discretionary
55,1498780800,1076000000,2017,6,EBAY,eBay,Consumer Discretionary
56,1506729600,1062000000,2017,9,EBAY,eBay,Consumer Discretionary
57,1514678400,1035000000,2017,12,EBAY,eBay,Consumer Discretionary
58,1522454400,1010000000,2018,3,EBAY,eBay,Consumer Discretionary
59,1530316800,992000000,2018,6,EBAY,eBay,Consumer Discretionary
60,1538265600,974000000,2018,9,EBAY,eBay,Consumer Discretionary
61,1546214400,945000000,2018,12,EBAY,eBay,Consumer Discretionary
62,1553990400,900000000,2019,3,EBAY,eBay,Consumer Discretionary
63,1561852800,860000000,2019,6,EBAY,eBay,Consumer Discretionary
64,1569801600,830000000,2019,9,EBAY,eBay,Consumer Discretionary
65,1577750400,807000000,2019,12,EBAY,eBay,Consumer Discretionary
66,1585612800,753000000,2020,3,EBAY,eBay,Consumer Discretionary
67,1593475200,703000000,2020,6,EBAY,eBay,Consumer Discretionary
68,1601424000,696000000,2020,9,EBAY,eBay,Consumer Discretionary
69,1609372800,688000000,2020,12,EBAY,eBay,Consumer Discretionary
70,1617148800,681000000,2021,3,EBAY,eBay,Consumer Discretionary
71,1625011200,674000000,2021,6,EBAY,eBay,Consumer Discretionary
72,1632960000,647000000,2021,9,EBAY,eBay,Consumer Discretionary
73,1640908800,606000000,2021,12,EBAY,eBay,Consumer Discretionary
74,1648684800,587000000,2022,3,EBAY,eBay,Consumer Discretionary
75,1656547200,556000000,2022,6,EBAY,eBay,Consumer Discretionary
76,1668715355,556000000,2022,11,EBAY,eBay,Consumer Discretionary
