,d,v,years,months,ticker_symbol,security,sector
0,985996800,1840000000,2001,3,F,Ford Motor Company,Consumer Discretionary
1,993859200,1819000000,2001,6,F,Ford Motor Company,Consumer Discretionary
2,1001808000,1812000000,2001,9,F,Ford Motor Company,Consumer Discretionary
3,1017532800,1807000000,2002,3,F,Ford Motor Company,Consumer Discretionary
4,1025395200,1813000000,2002,6,F,Ford Motor Company,Consumer Discretionary
5,1033344000,1822000000,2002,9,F,Ford Motor Company,Consumer Discretionary
6,1049068800,1832000000,2003,3,F,Ford Motor Company,Consumer Discretionary
7,1056931200,1832000000,2003,6,F,Ford Motor Company,Consumer Discretionary
8,1064880000,1831000000,2003,9,F,Ford Motor Company,Consumer Discretionary
9,1080691200,1832000000,2004,3,F,Ford Motor Company,Consumer Discretionary
10,1088553600,1831000000,2004,6,F,Ford Motor Company,Consumer Discretionary
11,1096502400,1829000000,2004,9,F,Ford Motor Company,Consumer Discretionary
12,1112227200,1836363636,2005,3,F,Ford Motor Company,Consumer Discretionary
13,1120089600,1854901961,2005,6,F,Ford Motor Company,Consumer Discretionary
14,1128038400,1853000000,2005,9,F,Ford Motor Company,Consumer Discretionary
15,1143763200,1854687500,2006,3,F,Ford Motor Company,Consumer Discretionary
16,1151625600,1814285714,2006,6,F,Ford Motor Company,Consumer Discretionary
17,1159574400,1881003584,2006,9,F,Ford Motor Company,Consumer Discretionary
18,1175299200,1880000000,2007,3,F,Ford Motor Company,Consumer Discretionary
19,1183161600,1875000000,2007,6,F,Ford Motor Company,Consumer Discretionary
20,1191110400,1882000000,2007,9,F,Ford Motor Company,Consumer Discretionary
21,1206921600,2000000000,2008,3,F,Ford Motor Company,Consumer Discretionary
22,1214784000,2237000000,2008,6,F,Ford Motor Company,Consumer Discretionary
23,1222732800,2279000000,2008,9,F,Ford Motor Company,Consumer Discretionary
24,1238457600,2397000000,2009,3,F,Ford Motor Company,Consumer Discretionary
25,1246320000,3001000000,2009,6,F,Ford Motor Company,Consumer Discretionary
26,1254268800,3259000000,2009,9,F,Ford Motor Company,Consumer Discretionary
27,1269993600,3365000000,2010,3,F,Ford Motor Company,Consumer Discretionary
28,1277856000,3412000000,2010,6,F,Ford Motor Company,Consumer Discretionary
29,1285804800,3446000000,2010,9,F,Ford Motor Company,Consumer Discretionary
30,1301529600,3771000000,2011,3,F,Ford Motor Company,Consumer Discretionary
31,1309392000,3799000000,2011,6,F,Ford Motor Company,Consumer Discretionary
32,1317340800,3800000000,2011,9,F,Ford Motor Company,Consumer Discretionary
33,1333152000,3803000000,2012,3,F,Ford Motor Company,Consumer Discretionary
34,1341014400,3815000000,2012,6,F,Ford Motor Company,Consumer Discretionary
35,1348963200,3814000000,2012,9,F,Ford Motor Company,Consumer Discretionary
36,1364688000,3923000000,2013,3,F,Ford Motor Company,Consumer Discretionary
37,1372550400,3933000000,2013,6,F,Ford Motor Company,Consumer Discretionary
38,1380499200,3942000000,2013,9,F,Ford Motor Company,Consumer Discretionary
39,1396224000,3946000000,2014,3,F,Ford Motor Company,Consumer Discretionary
40,1404086400,3940000000,2014,6,F,Ford Motor Company,Consumer Discretionary
41,1412035200,3861000000,2014,9,F,Ford Motor Company,Consumer Discretionary
42,1427760000,3963000000,2015,3,F,Ford Motor Company,Consumer Discretionary
43,1435622400,3974000000,2015,6,F,Ford Motor Company,Consumer Discretionary
44,1443571200,3969000000,2015,9,F,Ford Motor Company,Consumer Discretionary
45,1459382400,3970000000,2016,3,F,Ford Motor Company,Consumer Discretionary
46,1467244800,3973000000,2016,6,F,Ford Motor Company,Consumer Discretionary
47,1475193600,3974000000,2016,9,F,Ford Motor Company,Consumer Discretionary
48,1490918400,3976000000,2017,3,F,Ford Motor Company,Consumer Discretionary
49,1498780800,3977000000,2017,6,F,Ford Motor Company,Consumer Discretionary
50,1506729600,3972000000,2017,9,F,Ford Motor Company,Consumer Discretionary
51,1522454400,3974000000,2018,3,F,Ford Motor Company,Consumer Discretionary
52,1530316800,3977000000,2018,6,F,Ford Motor Company,Consumer Discretionary
53,1538265600,3976000000,2018,9,F,Ford Motor Company,Consumer Discretionary
54,1553990400,3973000000,2019,3,F,Ford Motor Company,Consumer Discretionary
55,1561852800,3984000000,2019,6,F,Ford Motor Company,Consumer Discretionary
56,1569801600,3970000000,2019,9,F,Ford Motor Company,Consumer Discretionary
57,1585612800,3963000000,2020,3,F,Ford Motor Company,Consumer Discretionary
58,1593475200,3975000000,2020,6,F,Ford Motor Company,Consumer Discretionary
59,1601424000,3976000000,2020,9,F,Ford Motor Company,Consumer Discretionary
60,1617148800,3980000000,2021,3,F,Ford Motor Company,Consumer Discretionary
61,1625011200,3992000000,2021,6,F,Ford Motor Company,Consumer Discretionary
62,1632960000,3995000000,2021,9,F,Ford Motor Company,Consumer Discretionary
63,1648684800,4008000000,2022,3,F,Ford Motor Company,Consumer Discretionary
64,1656547200,4021000000,2022,6,F,Ford Motor Company,Consumer Discretionary
65,1668715402,4021000000,2022,11,F,Ford Motor Company,Consumer Discretionary
