,d,v,years,months,ticker_symbol,security,sector
0,983318400,138603499,2001,2,LEN,Lennar,Consumer Discretionary
1,991267200,140439654,2001,5,LEN,Lennar,Consumer Discretionary
2,999216000,141670757,2001,8,LEN,Lennar,Consumer Discretionary
3,1014854400,141511758,2002,2,LEN,Lennar,Consumer Discretionary
4,1022803200,143301029,2002,5,LEN,Lennar,Consumer Discretionary
5,1030752000,143756503,2002,8,LEN,Lennar,Consumer Discretionary
6,1046390400,143634914,2003,2,LEN,Lennar,Consumer Discretionary
7,1054339200,144709115,2003,5,LEN,Lennar,Consumer Discretionary
8,1062288000,152868803,2003,8,LEN,Lennar,Consumer Discretionary
9,1078012800,157818933,2004,2,LEN,Lennar,Consumer Discretionary
10,1085961600,158030169,2004,5,LEN,Lennar,Consumer Discretionary
11,1093910400,158432028,2004,8,LEN,Lennar,Consumer Discretionary
12,1109548800,157656096,2005,2,LEN,Lennar,Consumer Discretionary
13,1117497600,157220089,2005,5,LEN,Lennar,Consumer Discretionary
14,1125446400,157797275,2005,8,LEN,Lennar,Consumer Discretionary
15,1141084800,160495756,2006,2,LEN,Lennar,Consumer Discretionary
16,1149033600,162373500,2006,5,LEN,Lennar,Consumer Discretionary
17,1156982400,160922519,2006,8,LEN,Lennar,Consumer Discretionary
18,1172620800,159080591,2007,2,LEN,Lennar,Consumer Discretionary
19,1180569600,160702645,2007,5,LEN,Lennar,Consumer Discretionary
20,1188518400,161270474,2007,8,LEN,Lennar,Consumer Discretionary
21,1204243200,160679143,2008,2,LEN,Lennar,Consumer Discretionary
22,1212192000,161513940,2008,5,LEN,Lennar,Consumer Discretionary
23,1220140800,161668980,2008,8,LEN,Lennar,Consumer Discretionary
24,1235779200,161793420,2009,2,LEN,Lennar,Consumer Discretionary
25,1243728000,167873640,2009,5,LEN,Lennar,Consumer Discretionary
26,1251676800,180305400,2009,8,LEN,Lennar,Consumer Discretionary
27,1267315200,186313200,2010,2,LEN,Lennar,Consumer Discretionary
28,1275264000,186672240,2010,5,LEN,Lennar,Consumer Discretionary
29,1283212800,186726300,2010,8,LEN,Lennar,Consumer Discretionary
30,1298851200,187838100,2011,2,LEN,Lennar,Consumer Discretionary
31,1306800000,188313420,2011,5,LEN,Lennar,Consumer Discretionary
32,1314748800,188358300,2011,8,LEN,Lennar,Consumer Discretionary
33,1330473600,189716940,2012,2,LEN,Lennar,Consumer Discretionary
34,1338422400,190160640,2012,5,LEN,Lennar,Consumer Discretionary
35,1346371200,190496220,2012,8,LEN,Lennar,Consumer Discretionary
36,1354233600,191208180,2012,11,LEN,Lennar,Consumer Discretionary
37,1362009600,193338960,2013,2,LEN,Lennar,Consumer Discretionary
38,1369958400,193810200,2013,5,LEN,Lennar,Consumer Discretionary
39,1377907200,194614980,2013,8,LEN,Lennar,Consumer Discretionary
40,1385769600,195368760,2013,11,LEN,Lennar,Consumer Discretionary
41,1393545600,205994100,2014,2,LEN,Lennar,Consumer Discretionary
42,1401494400,206040000,2014,5,LEN,Lennar,Consumer Discretionary
43,1409443200,206401080,2014,8,LEN,Lennar,Consumer Discretionary
44,1417305600,206576520,2014,11,LEN,Lennar,Consumer Discretionary
45,1425081600,206988600,2015,2,LEN,Lennar,Consumer Discretionary
46,1433030400,207050820,2015,5,LEN,Lennar,Consumer Discretionary
47,1440979200,210567780,2015,8,LEN,Lennar,Consumer Discretionary
48,1448841600,212564940,2015,11,LEN,Lennar,Consumer Discretionary
49,1456704000,214497840,2016,2,LEN,Lennar,Consumer Discretionary
50,1464652800,217873020,2016,5,LEN,Lennar,Consumer Discretionary
51,1472601600,228019980,2016,8,LEN,Lennar,Consumer Discretionary
52,1480464000,230764800,2016,11,LEN,Lennar,Consumer Discretionary
53,1488240000,236837880,2017,2,LEN,Lennar,Consumer Discretionary
54,1496188800,236861340,2017,5,LEN,Lennar,Consumer Discretionary
55,1504137600,237326460,2017,8,LEN,Lennar,Consumer Discretionary
56,1512000000,237562000,2017,11,LEN,Lennar,Consumer Discretionary
57,1519776000,253665000,2018,2,LEN,Lennar,Consumer Discretionary
58,1527724800,325259000,2018,5,LEN,Lennar,Consumer Discretionary
59,1535673600,327214000,2018,8,LEN,Lennar,Consumer Discretionary
60,1543536000,325735000,2018,11,LEN,Lennar,Consumer Discretionary
61,1551312000,321339000,2019,2,LEN,Lennar,Consumer Discretionary
62,1559260800,320329000,2019,5,LEN,Lennar,Consumer Discretionary
63,1567209600,318103000,2019,8,LEN,Lennar,Consumer Discretionary
64,1575072000,313904000,2019,11,LEN,Lennar,Consumer Discretionary
65,1582934400,311213000,2020,2,LEN,Lennar,Consumer Discretionary
66,1590883200,308373000,2020,5,LEN,Lennar,Consumer Discretionary
67,1598832000,308889000,2020,8,LEN,Lennar,Consumer Discretionary
68,1606694400,309151000,2020,11,LEN,Lennar,Consumer Discretionary
69,1614470400,309020000,2021,2,LEN,Lennar,Consumer Discretionary
70,1622419200,308893000,2021,5,LEN,Lennar,Consumer Discretionary
71,1630368000,307296000,2021,8,LEN,Lennar,Consumer Discretionary
72,1638230400,301238000,2021,11,LEN,Lennar,Consumer Discretionary
73,1646006400,293930000,2022,2,LEN,Lennar,Consumer Discretionary
74,1653955200,289895000,2022,5,LEN,Lennar,Consumer Discretionary
75,1668715532,288109000,2022,11,LEN,Lennar,Consumer Discretionary
