,d,v,years,months,ticker_symbol,security,sector
0,985996800,1300700000,2001,3,MCD,McDonald's,Consumer Discretionary
1,993859200,1289700000,2001,6,MCD,McDonald's,Consumer Discretionary
2,1001808000,1286100000,2001,9,MCD,McDonald's,Consumer Discretionary
3,1017532800,1277200000,2002,3,MCD,McDonald's,Consumer Discretionary
4,1025395200,1273200000,2002,6,MCD,McDonald's,Consumer Discretionary
5,1033344000,1273100000,2002,9,MCD,McDonald's,Consumer Discretionary
6,1049068800,1269600000,2003,3,MCD,McDonald's,Consumer Discretionary
7,1056931200,1272500000,2003,6,MCD,McDonald's,Consumer Discretionary
8,1064880000,1271500000,2003,9,MCD,McDonald's,Consumer Discretionary
9,1080691200,1261700000,2004,3,MCD,McDonald's,Consumer Discretionary
10,1088553600,1256000000,2004,6,MCD,McDonald's,Consumer Discretionary
11,1096502400,1256700000,2004,9,MCD,McDonald's,Consumer Discretionary
12,1112227200,1268500000,2005,3,MCD,McDonald's,Consumer Discretionary
13,1120089600,1259500000,2005,6,MCD,McDonald's,Consumer Discretionary
14,1128038400,1253900000,2005,9,MCD,McDonald's,Consumer Discretionary
15,1143763200,1254100000,2006,3,MCD,McDonald's,Consumer Discretionary
16,1151625600,1235100000,2006,6,MCD,McDonald's,Consumer Discretionary
17,1159574400,1230400000,2006,9,MCD,McDonald's,Consumer Discretionary
18,1175299200,1201200000,2007,3,MCD,McDonald's,Consumer Discretionary
19,1183161600,1193700000,2007,6,MCD,McDonald's,Consumer Discretionary
20,1191110400,1185000000,2007,9,MCD,McDonald's,Consumer Discretionary
21,1206921600,1145600000,2008,3,MCD,McDonald's,Consumer Discretionary
22,1214784000,1128900000,2008,6,MCD,McDonald's,Consumer Discretionary
23,1222732800,1116600000,2008,9,MCD,McDonald's,Consumer Discretionary
24,1238457600,1103243371,2009,3,MCD,McDonald's,Consumer Discretionary
25,1246320000,1116020408,2009,6,MCD,McDonald's,Consumer Discretionary
26,1254268800,1103400000,2009,9,MCD,McDonald's,Consumer Discretionary
27,1269993600,1075797083,2010,3,MCD,McDonald's,Consumer Discretionary
28,1277856000,1076000000,2010,6,MCD,McDonald's,Consumer Discretionary
29,1285804800,1056506714,2010,9,MCD,McDonald's,Consumer Discretionary
30,1301529600,1037576718,2011,3,MCD,McDonald's,Consumer Discretionary
31,1309392000,1047700000,2011,6,MCD,McDonald's,Consumer Discretionary
32,1317340800,1023218317,2011,9,MCD,McDonald's,Consumer Discretionary
33,1333152000,1016244880,2012,3,MCD,McDonald's,Consumer Discretionary
34,1341014400,1008431316,2012,6,MCD,McDonald's,Consumer Discretionary
35,1348963200,1003976633,2012,9,MCD,McDonald's,Consumer Discretionary
36,1356912000,1002700000,2012,12,MCD,McDonald's,Consumer Discretionary
37,1364688000,1002548921,2013,3,MCD,McDonald's,Consumer Discretionary
38,1372550400,999645751,2013,6,MCD,McDonald's,Consumer Discretionary
39,1380499200,995030164,2013,9,MCD,McDonald's,Consumer Discretionary
40,1388448000,990400000,2013,12,MCD,McDonald's,Consumer Discretionary
41,1396224000,988417241,2014,3,MCD,McDonald's,Consumer Discretionary
42,1404086400,981929291,2014,6,MCD,McDonald's,Consumer Discretionary
43,1412035200,973203623,2014,9,MCD,McDonald's,Consumer Discretionary
44,1419984000,962900000,2014,12,MCD,McDonald's,Consumer Discretionary
45,1427760000,958514890,2015,3,MCD,McDonald's,Consumer Discretionary
46,1435622400,941810237,2015,6,MCD,McDonald's,Consumer Discretionary
47,1443571200,918229823,2015,9,MCD,McDonald's,Consumer Discretionary
48,1451520000,906800000,2015,12,MCD,McDonald's,Consumer Discretionary
49,1459382400,877857531,2016,3,MCD,McDonald's,Consumer Discretionary
50,1467244800,853361988,2016,6,MCD,McDonald's,Consumer Discretionary
51,1475193600,830443627,2016,9,MCD,McDonald's,Consumer Discretionary
52,1483142400,818543627,2016,12,MCD,McDonald's,Consumer Discretionary
53,1490918400,815070168,2017,3,MCD,McDonald's,Consumer Discretionary
54,1498780800,809996613,2017,6,MCD,McDonald's,Consumer Discretionary
55,1506729600,797185588,2017,9,MCD,McDonald's,Consumer Discretionary
56,1514678400,794100000,2017,12,MCD,McDonald's,Consumer Discretionary
57,1522454400,785177398,2018,3,MCD,McDonald's,Consumer Discretionary
58,1530316800,775800409,2018,6,MCD,McDonald's,Consumer Discretionary
59,1538265600,770910250,2018,9,MCD,McDonald's,Consumer Discretionary
60,1546214400,767100000,2018,12,MCD,McDonald's,Consumer Discretionary
61,1553990400,763556377,2019,3,MCD,McDonald's,Consumer Discretionary
62,1561852800,759444174,2019,6,MCD,McDonald's,Consumer Discretionary
63,1569801600,753093326,2019,9,MCD,McDonald's,Consumer Discretionary
64,1577750400,746300000,2019,12,MCD,McDonald's,Consumer Discretionary
65,1585612800,743556182,2020,3,MCD,McDonald's,Consumer Discretionary
66,1593475200,744102514,2020,6,MCD,McDonald's,Consumer Discretionary
67,1601424000,745110988,2020,9,MCD,McDonald's,Consumer Discretionary
68,1609372800,745400000,2020,12,MCD,McDonald's,Consumer Discretionary
69,1617148800,746174284,2021,3,MCD,McDonald's,Consumer Discretionary
70,1625011200,746798875,2021,6,MCD,McDonald's,Consumer Discretionary
71,1632960000,747245427,2021,9,MCD,McDonald's,Consumer Discretionary
72,1640908800,744800000,2021,12,MCD,McDonald's,Consumer Discretionary
73,1648684800,739546930,2022,3,MCD,McDonald's,Consumer Discretionary
74,1656547200,735717271,2022,6,MCD,McDonald's,Consumer Discretionary
75,1668715596,735717271,2022,11,MCD,McDonald's,Consumer Discretionary
