,d,v,years,months,ticker_symbol,security,sector
0,1238457600,200468080,2009,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
1,1246320000,200468080,2009,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
2,1254268800,200468080,2009,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
3,1269993600,200468080,2010,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
4,1277856000,200468080,2010,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
5,1285804800,200468080,2010,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
6,1301529600,200468080,2011,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
7,1309392000,200468080,2011,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
8,1317340800,200468080,2011,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
9,1333152000,200468080,2012,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
10,1341014400,200468080,2012,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
11,1348963200,200468080,2012,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
12,1356912000,200468080,2012,12,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
13,1364688000,198350433,2013,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
14,1372550400,203997492,2013,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
15,1380499200,204425308,2013,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
16,1388448000,205112064,2013,12,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
17,1396224000,205163256,2014,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
18,1404086400,204965718,2014,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
19,1412035200,203220218,2014,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
20,1419984000,212698622,2014,12,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
21,1427760000,224301117,2015,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
22,1435622400,225698078,2015,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
23,1443571200,227384616,2015,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
24,1451520000,228922432,2015,12,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
25,1459382400,227239533,2016,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
26,1467244800,226972076,2016,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
27,1475193600,227096142,2016,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
28,1483142400,227179400,2016,12,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
29,1490918400,227468526,2017,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
30,1498780800,227931135,2017,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
31,1506729600,228267307,2017,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
32,1514678400,228482697,2017,12,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
33,1522454400,227343577,2018,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
34,1530316800,223308350,2018,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
35,1538265600,221511630,2018,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
36,1546214400,219941120,2018,12,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
37,1553990400,217241473,2019,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
38,1561852800,215426441,2019,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
39,1569801600,214207716,2019,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
40,1577750400,212899925,2019,12,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
41,1585612800,213630798,2020,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
42,1593475200,239342745,2020,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
43,1601424000,271435350,2020,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
44,1609372800,293892873,2020,12,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
45,1617148800,329377207,2021,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
46,1625011200,369933159,2021,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
47,1632960000,370016479,2021,9,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
48,1640908800,391737562,2021,12,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
49,1648684800,417734591,2022,3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
50,1656547200,419107330,2022,6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
51,1668715674,419107330,2022,11,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
