,d,v,years,months,ticker_symbol,security,sector
0,985996800,8348432,2001,3,NVR,"NVR, Inc.",Consumer Discretionary
1,993859200,8131781,2001,6,NVR,"NVR, Inc.",Consumer Discretionary
2,1001808000,7792020,2001,9,NVR,"NVR, Inc.",Consumer Discretionary
3,1017532800,7397589,2002,3,NVR,"NVR, Inc.",Consumer Discretionary
4,1025395200,7340630,2002,6,NVR,"NVR, Inc.",Consumer Discretionary
5,1033344000,7311606,2002,9,NVR,"NVR, Inc.",Consumer Discretionary
6,1049068800,7078000,2003,3,NVR,"NVR, Inc.",Consumer Discretionary
7,1056931200,7124000,2003,6,NVR,"NVR, Inc.",Consumer Discretionary
8,1064880000,7151000,2003,9,NVR,"NVR, Inc.",Consumer Discretionary
9,1080691200,6591000,2004,3,NVR,"NVR, Inc.",Consumer Discretionary
10,1088553600,6475000,2004,6,NVR,"NVR, Inc.",Consumer Discretionary
11,1096502400,6377000,2004,9,NVR,"NVR, Inc.",Consumer Discretionary
12,1112227200,6659000,2005,3,NVR,"NVR, Inc.",Consumer Discretionary
13,1120089600,6372000,2005,6,NVR,"NVR, Inc.",Consumer Discretionary
14,1128038400,6298000,2005,9,NVR,"NVR, Inc.",Consumer Discretionary
15,1143763200,5596000,2006,3,NVR,"NVR, Inc.",Consumer Discretionary
16,1151625600,5722000,2006,6,NVR,"NVR, Inc.",Consumer Discretionary
17,1159574400,5725000,2006,9,NVR,"NVR, Inc.",Consumer Discretionary
18,1175299200,5663000,2007,3,NVR,"NVR, Inc.",Consumer Discretionary
19,1183161600,5606000,2007,6,NVR,"NVR, Inc.",Consumer Discretionary
20,1191110400,5283000,2007,9,NVR,"NVR, Inc.",Consumer Discretionary
21,1206921600,5224000,2008,3,NVR,"NVR, Inc.",Consumer Discretionary
22,1214784000,5357000,2008,6,NVR,"NVR, Inc.",Consumer Discretionary
23,1222732800,5438000,2008,9,NVR,"NVR, Inc.",Consumer Discretionary
24,1238457600,5642000,2009,3,NVR,"NVR, Inc.",Consumer Discretionary
25,1246320000,5777000,2009,6,NVR,"NVR, Inc.",Consumer Discretionary
26,1254268800,5866000,2009,9,NVR,"NVR, Inc.",Consumer Discretionary
27,1269993600,6066000,2010,3,NVR,"NVR, Inc.",Consumer Discretionary
28,1277856000,6123000,2010,6,NVR,"NVR, Inc.",Consumer Discretionary
29,1285804800,5748000,2010,9,NVR,"NVR, Inc.",Consumer Discretionary
30,1301529600,5823000,2011,3,NVR,"NVR, Inc.",Consumer Discretionary
31,1309392000,5785000,2011,6,NVR,"NVR, Inc.",Consumer Discretionary
32,1317340800,5301000,2011,9,NVR,"NVR, Inc.",Consumer Discretionary
33,1325289600,4979000,2011,12,NVR,"NVR, Inc.",Consumer Discretionary
34,1333152000,5044000,2012,3,NVR,"NVR, Inc.",Consumer Discretionary
35,1341014400,5106000,2012,6,NVR,"NVR, Inc.",Consumer Discretionary
36,1348963200,4999000,2012,9,NVR,"NVR, Inc.",Consumer Discretionary
37,1356912000,4897000,2012,12,NVR,"NVR, Inc.",Consumer Discretionary
38,1364688000,4979000,2013,3,NVR,"NVR, Inc.",Consumer Discretionary
39,1372550400,4889000,2013,6,NVR,"NVR, Inc.",Consumer Discretionary
40,1380499200,4588000,2013,9,NVR,"NVR, Inc.",Consumer Discretionary
41,1388448000,4500000,2013,12,NVR,"NVR, Inc.",Consumer Discretionary
42,1396224000,4467000,2014,3,NVR,"NVR, Inc.",Consumer Discretionary
43,1404086400,4349000,2014,6,NVR,"NVR, Inc.",Consumer Discretionary
44,1412035200,4196000,2014,9,NVR,"NVR, Inc.",Consumer Discretionary
45,1419984000,4106000,2014,12,NVR,"NVR, Inc.",Consumer Discretionary
46,1427760000,4057000,2015,3,NVR,"NVR, Inc.",Consumer Discretionary
47,1435622400,4066000,2015,6,NVR,"NVR, Inc.",Consumer Discretionary
48,1443571200,4050000,2015,9,NVR,"NVR, Inc.",Consumer Discretionary
49,1451520000,3915000,2015,12,NVR,"NVR, Inc.",Consumer Discretionary
50,1459382400,3884000,2016,3,NVR,"NVR, Inc.",Consumer Discretionary
51,1467244800,3900000,2016,6,NVR,"NVR, Inc.",Consumer Discretionary
52,1475193600,3858000,2016,9,NVR,"NVR, Inc.",Consumer Discretionary
53,1483142400,3749000,2016,12,NVR,"NVR, Inc.",Consumer Discretionary
54,1490918400,3705000,2017,3,NVR,"NVR, Inc.",Consumer Discretionary
55,1498780800,3748000,2017,6,NVR,"NVR, Inc.",Consumer Discretionary
56,1506729600,3747000,2017,9,NVR,"NVR, Inc.",Consumer Discretionary
57,1514678400,3732000,2017,12,NVR,"NVR, Inc.",Consumer Discretionary
58,1522454400,3675000,2018,3,NVR,"NVR, Inc.",Consumer Discretionary
59,1530316800,3635000,2018,6,NVR,"NVR, Inc.",Consumer Discretionary
60,1538265600,3612000,2018,9,NVR,"NVR, Inc.",Consumer Discretionary
61,1546214400,3601000,2018,12,NVR,"NVR, Inc.",Consumer Discretionary
62,1553990400,3607000,2019,3,NVR,"NVR, Inc.",Consumer Discretionary
63,1561852800,3612000,2019,6,NVR,"NVR, Inc.",Consumer Discretionary
64,1569801600,3672000,2019,9,NVR,"NVR, Inc.",Consumer Discretionary
65,1577750400,3671000,2019,12,NVR,"NVR, Inc.",Consumer Discretionary
66,1585612800,3663000,2020,3,NVR,"NVR, Inc.",Consumer Discretionary
67,1593475200,3682000,2020,6,NVR,"NVR, Inc.",Consumer Discretionary
68,1601424000,3706000,2020,9,NVR,"NVR, Inc.",Consumer Discretionary
69,1609372800,3716000,2020,12,NVR,"NVR, Inc.",Consumer Discretionary
70,1617148800,3673000,2021,3,NVR,"NVR, Inc.",Consumer Discretionary
71,1625011200,3623000,2021,6,NVR,"NVR, Inc.",Consumer Discretionary
72,1632960000,3561000,2021,9,NVR,"NVR, Inc.",Consumer Discretionary
73,1640908800,3468000,2021,12,NVR,"NVR, Inc.",Consumer Discretionary
74,1648684800,3385000,2022,3,NVR,"NVR, Inc.",Consumer Discretionary
75,1656547200,3287000,2022,6,NVR,"NVR, Inc.",Consumer Discretionary
76,1668715689,3266000,2022,11,NVR,"NVR, Inc.",Consumer Discretionary
