,d,v,years,months,ticker_symbol,security,sector
0,985996800,266618000,2001,3,NWL,Newell Brands,Consumer Discretionary
1,993859200,266648000,2001,6,NWL,Newell Brands,Consumer Discretionary
2,1001808000,266662000,2001,9,NWL,Newell Brands,Consumer Discretionary
3,1017532800,266826000,2002,3,NWL,Newell Brands,Consumer Discretionary
4,1025395200,267032000,2002,6,NWL,Newell Brands,Consumer Discretionary
5,1033344000,267200000,2002,9,NWL,Newell Brands,Consumer Discretionary
6,1049068800,273600000,2003,3,NWL,Newell Brands,Consumer Discretionary
7,1056931200,274200000,2003,6,NWL,Newell Brands,Consumer Discretionary
8,1064880000,274400000,2003,9,NWL,Newell Brands,Consumer Discretionary
9,1080691200,274400000,2004,3,NWL,Newell Brands,Consumer Discretionary
10,1088553600,274400000,2004,6,NWL,Newell Brands,Consumer Discretionary
11,1096502400,274400000,2004,9,NWL,Newell Brands,Consumer Discretionary
12,1112227200,274400000,2005,3,NWL,Newell Brands,Consumer Discretionary
13,1120089600,274400000,2005,6,NWL,Newell Brands,Consumer Discretionary
14,1128038400,274400000,2005,9,NWL,Newell Brands,Consumer Discretionary
15,1143763200,274500000,2006,3,NWL,Newell Brands,Consumer Discretionary
16,1151625600,274600000,2006,6,NWL,Newell Brands,Consumer Discretionary
17,1159574400,274600000,2006,9,NWL,Newell Brands,Consumer Discretionary
18,1175299200,275900000,2007,3,NWL,Newell Brands,Consumer Discretionary
19,1183161600,276000000,2007,6,NWL,Newell Brands,Consumer Discretionary
20,1191110400,276000000,2007,9,NWL,Newell Brands,Consumer Discretionary
21,1206921600,276900000,2008,3,NWL,Newell Brands,Consumer Discretionary
22,1214784000,277100000,2008,6,NWL,Newell Brands,Consumer Discretionary
23,1222732800,277100000,2008,9,NWL,Newell Brands,Consumer Discretionary
24,1238457600,280700000,2009,3,NWL,Newell Brands,Consumer Discretionary
25,1246320000,280800000,2009,6,NWL,Newell Brands,Consumer Discretionary
26,1254268800,280800000,2009,9,NWL,Newell Brands,Consumer Discretionary
27,1269993600,281100000,2010,3,NWL,Newell Brands,Consumer Discretionary
28,1277856000,281500000,2010,6,NWL,Newell Brands,Consumer Discretionary
29,1285804800,273300000,2010,9,NWL,Newell Brands,Consumer Discretionary
30,1301529600,294200000,2011,3,NWL,Newell Brands,Consumer Discretionary
31,1309392000,294300000,2011,6,NWL,Newell Brands,Consumer Discretionary
32,1317340800,290800000,2011,9,NWL,Newell Brands,Consumer Discretionary
33,1333152000,292100000,2012,3,NWL,Newell Brands,Consumer Discretionary
34,1341014400,292100000,2012,6,NWL,Newell Brands,Consumer Discretionary
35,1348963200,290700000,2012,9,NWL,Newell Brands,Consumer Discretionary
36,1356912000,290000000,2012,12,NWL,Newell Brands,Consumer Discretionary
37,1364688000,290000000,2013,3,NWL,Newell Brands,Consumer Discretionary
38,1372550400,290900000,2013,6,NWL,Newell Brands,Consumer Discretionary
39,1380499200,290100000,2013,9,NWL,Newell Brands,Consumer Discretionary
40,1388448000,283400000,2013,12,NWL,Newell Brands,Consumer Discretionary
41,1396224000,280900000,2014,3,NWL,Newell Brands,Consumer Discretionary
42,1404086400,277400000,2014,6,NWL,Newell Brands,Consumer Discretionary
43,1412035200,273500000,2014,9,NWL,Newell Brands,Consumer Discretionary
44,1419984000,272700000,2014,12,NWL,Newell Brands,Consumer Discretionary
45,1427760000,270500000,2015,3,NWL,Newell Brands,Consumer Discretionary
46,1435622400,269700000,2015,6,NWL,Newell Brands,Consumer Discretionary
47,1443571200,268800000,2015,9,NWL,Newell Brands,Consumer Discretionary
48,1459382400,213200000,2016,3,NWL,Newell Brands,Consumer Discretionary
49,1467244800,448300000,2016,6,NWL,Newell Brands,Consumer Discretionary
50,1475193600,484000000,2016,9,NWL,Newell Brands,Consumer Discretionary
51,1483142400,484100000,2016,12,NWL,Newell Brands,Consumer Discretionary
52,1490918400,484200000,2017,3,NWL,Newell Brands,Consumer Discretionary
53,1498780800,484300000,2017,6,NWL,Newell Brands,Consumer Discretionary
54,1506729600,490400000,2017,9,NWL,Newell Brands,Consumer Discretionary
55,1514678400,488100000,2017,12,NWL,Newell Brands,Consumer Discretionary
56,1522454400,486000000,2018,3,NWL,Newell Brands,Consumer Discretionary
57,1530316800,486200000,2018,6,NWL,Newell Brands,Consumer Discretionary
58,1538265600,471000000,2018,9,NWL,Newell Brands,Consumer Discretionary
59,1546214400,451500000,2018,12,NWL,Newell Brands,Consumer Discretionary
60,1553990400,423000000,2019,3,NWL,Newell Brands,Consumer Discretionary
61,1561852800,423300000,2019,6,NWL,Newell Brands,Consumer Discretionary
62,1569801600,423400000,2019,9,NWL,Newell Brands,Consumer Discretionary
63,1577750400,423400000,2019,12,NWL,Newell Brands,Consumer Discretionary
64,1585612800,423800000,2020,3,NWL,Newell Brands,Consumer Discretionary
65,1593475200,424200000,2020,6,NWL,Newell Brands,Consumer Discretionary
66,1601424000,424300000,2020,9,NWL,Newell Brands,Consumer Discretionary
67,1609372800,424300000,2020,12,NWL,Newell Brands,Consumer Discretionary
68,1617148800,424900000,2021,3,NWL,Newell Brands,Consumer Discretionary
69,1625011200,425400000,2021,6,NWL,Newell Brands,Consumer Discretionary
70,1632960000,425400000,2021,9,NWL,Newell Brands,Consumer Discretionary
71,1640908800,425500000,2021,12,NWL,Newell Brands,Consumer Discretionary
72,1648684800,421900000,2022,3,NWL,Newell Brands,Consumer Discretionary
73,1656547200,413800000,2022,6,NWL,Newell Brands,Consumer Discretionary
74,1668715642,413800000,2022,11,NWL,Newell Brands,Consumer Discretionary
