,d,v,years,months,ticker_symbol,security,sector
0,985996800,57489750,2001,3,POOL,Pool Corporation,Consumer Discretionary
1,993859200,57682125,2001,6,POOL,Pool Corporation,Consumer Discretionary
2,1001808000,57523500,2001,9,POOL,Pool Corporation,Consumer Discretionary
3,1017532800,56261250,2002,3,POOL,Pool Corporation,Consumer Discretionary
4,1025395200,56124000,2002,6,POOL,Pool Corporation,Consumer Discretionary
5,1033344000,53275500,2002,9,POOL,Pool Corporation,Consumer Discretionary
6,1049068800,53016750,2003,3,POOL,Pool Corporation,Consumer Discretionary
7,1056931200,52962750,2003,6,POOL,Pool Corporation,Consumer Discretionary
8,1064880000,53074500,2003,9,POOL,Pool Corporation,Consumer Discretionary
9,1080691200,53263500,2004,3,POOL,Pool Corporation,Consumer Discretionary
10,1088553600,53062500,2004,6,POOL,Pool Corporation,Consumer Discretionary
11,1096502400,52847000,2004,9,POOL,Pool Corporation,Consumer Discretionary
12,1112227200,52273000,2005,3,POOL,Pool Corporation,Consumer Discretionary
13,1120089600,52491000,2005,6,POOL,Pool Corporation,Consumer Discretionary
14,1128038400,52699000,2005,9,POOL,Pool Corporation,Consumer Discretionary
15,1143763200,52593000,2006,3,POOL,Pool Corporation,Consumer Discretionary
16,1151625600,52608000,2006,6,POOL,Pool Corporation,Consumer Discretionary
17,1159574400,51532000,2006,9,POOL,Pool Corporation,Consumer Discretionary
18,1175299200,50201000,2007,3,POOL,Pool Corporation,Consumer Discretionary
19,1183161600,49326000,2007,6,POOL,Pool Corporation,Consumer Discretionary
20,1191110400,48623000,2007,9,POOL,Pool Corporation,Consumer Discretionary
21,1206921600,47538000,2008,3,POOL,Pool Corporation,Consumer Discretionary
22,1214784000,47718000,2008,6,POOL,Pool Corporation,Consumer Discretionary
23,1222732800,47824000,2008,9,POOL,Pool Corporation,Consumer Discretionary
24,1238457600,48287000,2009,3,POOL,Pool Corporation,Consumer Discretionary
25,1246320000,48536000,2009,6,POOL,Pool Corporation,Consumer Discretionary
26,1254268800,48799000,2009,9,POOL,Pool Corporation,Consumer Discretionary
27,1269993600,49194000,2010,3,POOL,Pool Corporation,Consumer Discretionary
28,1277856000,49513000,2010,6,POOL,Pool Corporation,Consumer Discretionary
29,1285804800,49615000,2010,9,POOL,Pool Corporation,Consumer Discretionary
30,1301529600,48864000,2011,3,POOL,Pool Corporation,Consumer Discretionary
31,1309392000,48231000,2011,6,POOL,Pool Corporation,Consumer Discretionary
32,1317340800,47987000,2011,9,POOL,Pool Corporation,Consumer Discretionary
33,1333152000,47519000,2012,3,POOL,Pool Corporation,Consumer Discretionary
34,1341014400,47142000,2012,6,POOL,Pool Corporation,Consumer Discretionary
35,1348963200,46574000,2012,9,POOL,Pool Corporation,Consumer Discretionary
36,1356912000,46522000,2012,12,POOL,Pool Corporation,Consumer Discretionary
37,1364688000,46385000,2013,3,POOL,Pool Corporation,Consumer Discretionary
38,1372550400,46659000,2013,6,POOL,Pool Corporation,Consumer Discretionary
39,1380499200,46380000,2013,9,POOL,Pool Corporation,Consumer Discretionary
40,1388448000,45708000,2013,12,POOL,Pool Corporation,Consumer Discretionary
41,1396224000,45178000,2014,3,POOL,Pool Corporation,Consumer Discretionary
42,1404086400,44769000,2014,6,POOL,Pool Corporation,Consumer Discretionary
43,1412035200,43756000,2014,9,POOL,Pool Corporation,Consumer Discretionary
44,1419984000,43444000,2014,12,POOL,Pool Corporation,Consumer Discretionary
45,1427760000,43601000,2015,3,POOL,Pool Corporation,Consumer Discretionary
46,1435622400,43322000,2015,6,POOL,Pool Corporation,Consumer Discretionary
47,1443571200,42826000,2015,9,POOL,Pool Corporation,Consumer Discretionary
48,1451520000,42696000,2015,12,POOL,Pool Corporation,Consumer Discretionary
49,1459382400,42226000,2016,3,POOL,Pool Corporation,Consumer Discretionary
50,1467244800,42030000,2016,6,POOL,Pool Corporation,Consumer Discretionary
51,1475193600,42020000,2016,9,POOL,Pool Corporation,Consumer Discretionary
52,1483142400,41218000,2016,12,POOL,Pool Corporation,Consumer Discretionary
53,1490918400,41192000,2017,3,POOL,Pool Corporation,Consumer Discretionary
54,1498780800,41349000,2017,6,POOL,Pool Corporation,Consumer Discretionary
55,1506729600,40659000,2017,9,POOL,Pool Corporation,Consumer Discretionary
56,1514678400,40164000,2017,12,POOL,Pool Corporation,Consumer Discretionary
57,1522454400,40370000,2018,3,POOL,Pool Corporation,Consumer Discretionary
58,1530316800,40453000,2018,6,POOL,Pool Corporation,Consumer Discretionary
59,1538265600,40422000,2018,9,POOL,Pool Corporation,Consumer Discretionary
60,1546214400,40002000,2018,12,POOL,Pool Corporation,Consumer Discretionary
61,1553990400,39479000,2019,3,POOL,Pool Corporation,Consumer Discretionary
62,1561852800,39827000,2019,6,POOL,Pool Corporation,Consumer Discretionary
63,1569801600,39933000,2019,9,POOL,Pool Corporation,Consumer Discretionary
64,1577750400,40047000,2019,12,POOL,Pool Corporation,Consumer Discretionary
65,1585612800,40125000,2020,3,POOL,Pool Corporation,Consumer Discretionary
66,1593475200,39973000,2020,6,POOL,Pool Corporation,Consumer Discretionary
67,1601424000,40123000,2020,9,POOL,Pool Corporation,Consumer Discretionary
68,1609372800,40202000,2020,12,POOL,Pool Corporation,Consumer Discretionary
69,1617148800,40215000,2021,3,POOL,Pool Corporation,Consumer Discretionary
70,1625011200,40125000,2021,6,POOL,Pool Corporation,Consumer Discretionary
71,1632960000,40101000,2021,9,POOL,Pool Corporation,Consumer Discretionary
72,1640908800,39877000,2021,12,POOL,Pool Corporation,Consumer Discretionary
73,1648684800,39932000,2022,3,POOL,Pool Corporation,Consumer Discretionary
74,1656547200,39660000,2022,6,POOL,Pool Corporation,Consumer Discretionary
75,1668715721,39214000,2022,11,POOL,Pool Corporation,Consumer Discretionary
