,d,v,years,months,ticker_symbol,security,sector
0,988588800,642208000,2001,4,ROST,Ross Stores,Consumer Discretionary
1,996537600,639736000,2001,7,ROST,Ross Stores,Consumer Discretionary
2,1004486400,639400000,2001,10,ROST,Ross Stores,Consumer Discretionary
3,1020124800,630920000,2002,4,ROST,Ross Stores,Consumer Discretionary
4,1028073600,627472000,2002,7,ROST,Ross Stores,Consumer Discretionary
5,1036022400,621712000,2002,10,ROST,Ross Stores,Consumer Discretionary
6,1051660800,616416000,2003,4,ROST,Ross Stores,Consumer Discretionary
7,1059609600,610160000,2003,7,ROST,Ross Stores,Consumer Discretionary
8,1067558400,605160000,2003,10,ROST,Ross Stores,Consumer Discretionary
9,1083283200,599560000,2004,4,ROST,Ross Stores,Consumer Discretionary
10,1091232000,592424000,2004,7,ROST,Ross Stores,Consumer Discretionary
11,1099180800,584796000,2004,10,ROST,Ross Stores,Consumer Discretionary
12,1114819200,584028000,2005,4,ROST,Ross Stores,Consumer Discretionary
13,1122768000,580408000,2005,7,ROST,Ross Stores,Consumer Discretionary
14,1130716800,575012000,2005,10,ROST,Ross Stores,Consumer Discretionary
15,1146355200,566840000,2006,4,ROST,Ross Stores,Consumer Discretionary
16,1154304000,561392000,2006,7,ROST,Ross Stores,Consumer Discretionary
17,1162252800,554280000,2006,10,ROST,Ross Stores,Consumer Discretionary
18,1177891200,548348000,2007,4,ROST,Ross Stores,Consumer Discretionary
19,1185840000,544208000,2007,7,ROST,Ross Stores,Consumer Discretionary
20,1193788800,537716000,2007,10,ROST,Ross Stores,Consumer Discretionary
21,1209513600,525276000,2008,4,ROST,Ross Stores,Consumer Discretionary
22,1217462400,520440000,2008,7,ROST,Ross Stores,Consumer Discretionary
23,1225411200,515720000,2008,10,ROST,Ross Stores,Consumer Discretionary
24,1241049600,498768000,2009,4,ROST,Ross Stores,Consumer Discretionary
25,1248998400,493868000,2009,7,ROST,Ross Stores,Consumer Discretionary
26,1256947200,489508000,2009,10,ROST,Ross Stores,Consumer Discretionary
27,1272585600,479316000,2010,4,ROST,Ross Stores,Consumer Discretionary
28,1280534400,474460000,2010,7,ROST,Ross Stores,Consumer Discretionary
29,1288483200,468156000,2010,10,ROST,Ross Stores,Consumer Discretionary
30,1304121600,459056000,2011,4,ROST,Ross Stores,Consumer Discretionary
31,1312070400,454608000,2011,7,ROST,Ross Stores,Consumer Discretionary
32,1320019200,449080000,2011,10,ROST,Ross Stores,Consumer Discretionary
33,1335744000,442208000,2012,4,ROST,Ross Stores,Consumer Discretionary
34,1343692800,440130000,2012,7,ROST,Ross Stores,Consumer Discretionary
35,1351641600,437166000,2012,10,ROST,Ross Stores,Consumer Discretionary
36,1359590400,433872000,2013,1,ROST,Ross Stores,Consumer Discretionary
37,1367280000,430816000,2013,4,ROST,Ross Stores,Consumer Discretionary
38,1375228800,427672000,2013,7,ROST,Ross Stores,Consumer Discretionary
39,1383177600,423972000,2013,10,ROST,Ross Stores,Consumer Discretionary
40,1391126400,420586000,2014,1,ROST,Ross Stores,Consumer Discretionary
41,1398816000,417898000,2014,4,ROST,Ross Stores,Consumer Discretionary
42,1406764800,415130000,2014,7,ROST,Ross Stores,Consumer Discretionary
43,1414713600,411732000,2014,10,ROST,Ross Stores,Consumer Discretionary
44,1422662400,409114000,2015,1,ROST,Ross Stores,Consumer Discretionary
45,1430352000,407654000,2015,4,ROST,Ross Stores,Consumer Discretionary
46,1438300800,404760000,2015,7,ROST,Ross Stores,Consumer Discretionary
47,1446249600,401494000,2015,10,ROST,Ross Stores,Consumer Discretionary
48,1454198400,398229000,2016,1,ROST,Ross Stores,Consumer Discretionary
49,1461974400,395799000,2016,4,ROST,Ross Stores,Consumer Discretionary
50,1469923200,393568000,2016,7,ROST,Ross Stores,Consumer Discretionary
51,1477872000,390870000,2016,10,ROST,Ross Stores,Consumer Discretionary
52,1485820800,388258000,2017,1,ROST,Ross Stores,Consumer Discretionary
53,1493510400,386433000,2017,4,ROST,Ross Stores,Consumer Discretionary
54,1501459200,383011000,2017,7,ROST,Ross Stores,Consumer Discretionary
55,1509408000,379432000,2017,10,ROST,Ross Stores,Consumer Discretionary
56,1517356800,376204000,2018,1,ROST,Ross Stores,Consumer Discretionary
57,1525046400,373797000,2018,4,ROST,Ross Stores,Consumer Discretionary
58,1532995200,371031000,2018,7,ROST,Ross Stores,Consumer Discretionary
59,1540944000,368102000,2018,10,ROST,Ross Stores,Consumer Discretionary
60,1548892800,365202000,2019,1,ROST,Ross Stores,Consumer Discretionary
61,1556582400,363085000,2019,4,ROST,Ross Stores,Consumer Discretionary
62,1564531200,359794000,2019,7,ROST,Ross Stores,Consumer Discretionary
63,1572480000,356879000,2019,10,ROST,Ross Stores,Consumer Discretionary
64,1580428800,354090000,2020,1,ROST,Ross Stores,Consumer Discretionary
65,1588204800,352202000,2020,4,ROST,Ross Stores,Consumer Discretionary
66,1596153600,352276000,2020,7,ROST,Ross Stores,Consumer Discretionary
67,1604102400,352481000,2020,10,ROST,Ross Stores,Consumer Discretionary
68,1612051200,352609000,2021,1,ROST,Ross Stores,Consumer Discretionary
69,1619740800,352988000,2021,4,ROST,Ross Stores,Consumer Discretionary
70,1627689600,352865000,2021,7,ROST,Ross Stores,Consumer Discretionary
71,1635638400,351071000,2021,10,ROST,Ross Stores,Consumer Discretionary
72,1651276800,347053000,2022,4,ROST,Ross Stores,Consumer Discretionary
73,1659225600,344884000,2022,7,ROST,Ross Stores,Consumer Discretionary
74,1668715767,344884000,2022,11,ROST,Ross Stores,Consumer Discretionary
