,d,v,years,months,ticker_symbol,security,sector
0,988588800,2248563636,2001,4,TJX,TJX Companies,Consumer Discretionary
1,996537600,2183570732,2001,7,TJX,TJX Companies,Consumer Discretionary
2,1004486400,2187075880,2001,10,TJX,TJX Companies,Consumer Discretionary
3,1020124800,2179303704,2002,4,TJX,TJX Companies,Consumer Discretionary
4,1028073600,2160450000,2002,7,TJX,TJX Companies,Consumer Discretionary
5,1036022400,2109143096,2002,10,TJX,TJX Companies,Consumer Discretionary
6,1051660800,2064200000,2003,4,TJX,TJX Companies,Consumer Discretionary
7,1059609600,2054366667,2003,7,TJX,TJX Companies,Consumer Discretionary
8,1067558400,2023616000,2003,10,TJX,TJX Companies,Consumer Discretionary
9,1083283200,1988180000,2004,4,TJX,TJX Companies,Consumer Discretionary
10,1091232000,1967948000,2004,7,TJX,TJX Companies,Consumer Discretionary
11,1099180800,1938052000,2004,10,TJX,TJX Companies,Consumer Discretionary
12,1114819200,1907916000,2005,4,TJX,TJX Companies,Consumer Discretionary
13,1122768000,1868824000,2005,7,TJX,TJX Companies,Consumer Discretionary
14,1130716800,1847744000,2005,10,TJX,TJX Companies,Consumer Discretionary
15,1146355200,1835680000,2006,4,TJX,TJX Companies,Consumer Discretionary
16,1154304000,1808528000,2006,7,TJX,TJX Companies,Consumer Discretionary
17,1162252800,1810176000,2006,10,TJX,TJX Companies,Consumer Discretionary
18,1177891200,1814260000,2007,4,TJX,TJX Companies,Consumer Discretionary
19,1185840000,1791936000,2007,7,TJX,TJX Companies,Consumer Discretionary
20,1193788800,1757024000,2007,10,TJX,TJX Companies,Consumer Discretionary
21,1209513600,1702480000,2008,4,TJX,TJX Companies,Consumer Discretionary
22,1217462400,1685156000,2008,7,TJX,TJX Companies,Consumer Discretionary
23,1225411200,1668428000,2008,10,TJX,TJX Companies,Consumer Discretionary
24,1241049600,1650176000,2009,4,TJX,TJX Companies,Consumer Discretionary
25,1248998400,1650176000,2009,7,TJX,TJX Companies,Consumer Discretionary
26,1256947200,1672848000,2009,10,TJX,TJX Companies,Consumer Discretionary
27,1272585600,1631916752,2010,4,TJX,TJX Companies,Consumer Discretionary
28,1280534400,1632212000,2010,7,TJX,TJX Companies,Consumer Discretionary
29,1288483200,1583208176,2010,10,TJX,TJX Companies,Consumer Discretionary
30,1304121600,1544428812,2011,4,TJX,TJX Companies,Consumer Discretionary
31,1312070400,1523921580,2011,7,TJX,TJX Companies,Consumer Discretionary
32,1320019200,1508560480,2011,10,TJX,TJX Companies,Consumer Discretionary
33,1327968000,1493404056,2012,1,TJX,TJX Companies,Consumer Discretionary
34,1335744000,1481904206,2012,4,TJX,TJX Companies,Consumer Discretionary
35,1343692800,1472200986,2012,7,TJX,TJX Companies,Consumer Discretionary
36,1351641600,1458505410,2012,10,TJX,TJX Companies,Consumer Discretionary
