,d,v,years,months,ticker_symbol,security,sector
0,1033344000,40000000,2002,9,WYNN,Wynn Resorts,Consumer Discretionary
1,1049068800,77834000,2003,3,WYNN,Wynn Resorts,Consumer Discretionary
2,1056931200,78164000,2003,6,WYNN,Wynn Resorts,Consumer Discretionary
3,1064880000,80834000,2003,9,WYNN,Wynn Resorts,Consumer Discretionary
4,1080691200,80840000,2004,3,WYNN,Wynn Resorts,Consumer Discretionary
5,1088553600,84687000,2004,6,WYNN,Wynn Resorts,Consumer Discretionary
6,1096502400,88063000,2004,9,WYNN,Wynn Resorts,Consumer Discretionary
7,1112227200,98229000,2005,3,WYNN,Wynn Resorts,Consumer Discretionary
8,1120089600,98203000,2005,6,WYNN,Wynn Resorts,Consumer Discretionary
9,1128038400,98472000,2005,9,WYNN,Wynn Resorts,Consumer Discretionary
10,1143763200,98736000,2006,3,WYNN,Wynn Resorts,Consumer Discretionary
11,1151625600,99830000,2006,6,WYNN,Wynn Resorts,Consumer Discretionary
12,1159574400,100480000,2006,9,WYNN,Wynn Resorts,Consumer Discretionary
13,1175299200,101402000,2007,3,WYNN,Wynn Resorts,Consumer Discretionary
14,1183161600,101214000,2007,6,WYNN,Wynn Resorts,Consumer Discretionary
15,1191110400,107632000,2007,9,WYNN,Wynn Resorts,Consumer Discretionary
16,1206921600,112413000,2008,3,WYNN,Wynn Resorts,Consumer Discretionary
17,1214784000,111128000,2008,6,WYNN,Wynn Resorts,Consumer Discretionary
18,1222732800,103266000,2008,9,WYNN,Wynn Resorts,Consumer Discretionary
19,1238457600,112568000,2009,3,WYNN,Wynn Resorts,Consumer Discretionary
20,1246320000,122161000,2009,6,WYNN,Wynn Resorts,Consumer Discretionary
21,1254268800,122200000,2009,9,WYNN,Wynn Resorts,Consumer Discretionary
22,1269993600,122411000,2010,3,WYNN,Wynn Resorts,Consumer Discretionary
23,1277856000,122521000,2010,6,WYNN,Wynn Resorts,Consumer Discretionary
24,1285804800,122771000,2010,9,WYNN,Wynn Resorts,Consumer Discretionary
25,1301529600,123757000,2011,3,WYNN,Wynn Resorts,Consumer Discretionary
26,1309392000,123970000,2011,6,WYNN,Wynn Resorts,Consumer Discretionary
27,1317340800,124176000,2011,9,WYNN,Wynn Resorts,Consumer Discretionary
28,1333152000,112704000,2012,3,WYNN,Wynn Resorts,Consumer Discretionary
29,1341014400,99782000,2012,6,WYNN,Wynn Resorts,Consumer Discretionary
30,1348963200,99871000,2012,9,WYNN,Wynn Resorts,Consumer Discretionary
31,1356912000,100080000,2012,12,WYNN,Wynn Resorts,Consumer Discretionary
32,1364688000,100237000,2013,3,WYNN,Wynn Resorts,Consumer Discretionary
33,1372550400,100484000,2013,6,WYNN,Wynn Resorts,Consumer Discretionary
34,1380499200,100685000,2013,9,WYNN,Wynn Resorts,Consumer Discretionary
35,1388448000,100748000,2013,12,WYNN,Wynn Resorts,Consumer Discretionary
36,1396224000,100822000,2014,3,WYNN,Wynn Resorts,Consumer Discretionary
37,1404086400,100915000,2014,6,WYNN,Wynn Resorts,Consumer Discretionary
38,1412035200,100959000,2014,9,WYNN,Wynn Resorts,Consumer Discretionary
39,1419984000,101010000,2014,12,WYNN,Wynn Resorts,Consumer Discretionary
40,1427760000,101135000,2015,3,WYNN,Wynn Resorts,Consumer Discretionary
41,1435622400,101157000,2015,6,WYNN,Wynn Resorts,Consumer Discretionary
42,1443571200,101161000,2015,9,WYNN,Wynn Resorts,Consumer Discretionary
43,1451520000,101200000,2015,12,WYNN,Wynn Resorts,Consumer Discretionary
44,1459382400,101392000,2016,3,WYNN,Wynn Resorts,Consumer Discretionary
45,1467244800,101438000,2016,6,WYNN,Wynn Resorts,Consumer Discretionary
46,1475193600,101439000,2016,9,WYNN,Wynn Resorts,Consumer Discretionary
47,1483142400,101509000,2016,12,WYNN,Wynn Resorts,Consumer Discretionary
48,1490918400,101753000,2017,3,WYNN,Wynn Resorts,Consumer Discretionary
49,1498780800,101944000,2017,6,WYNN,Wynn Resorts,Consumer Discretionary
50,1506729600,102173000,2017,9,WYNN,Wynn Resorts,Consumer Discretionary
51,1514678400,102402000,2017,12,WYNN,Wynn Resorts,Consumer Discretionary
52,1522454400,102570000,2018,3,WYNN,Wynn Resorts,Consumer Discretionary
53,1530316800,107792000,2018,6,WYNN,Wynn Resorts,Consumer Discretionary
