,d,v,years,months,ticker_symbol,security,sector
0,983318400,518421053,2001,2,CAG,Conagra Brands,Consumer Staples
1,999216000,524600000,2001,8,CAG,Conagra Brands,Consumer Staples
2,1007078400,526363636,2001,11,CAG,Conagra Brands,Consumer Staples
3,1014854400,550967742,2002,2,CAG,Conagra Brands,Consumer Staples
4,1030752000,527700000,2002,8,CAG,Conagra Brands,Consumer Staples
5,1038614400,524000000,2002,11,CAG,Conagra Brands,Consumer Staples
6,1046390400,536666667,2003,2,CAG,Conagra Brands,Consumer Staples
7,1062288000,530000000,2003,8,CAG,Conagra Brands,Consumer Staples
8,1070150400,529607843,2003,11,CAG,Conagra Brands,Consumer Staples
9,1078012800,535000000,2004,2,CAG,Conagra Brands,Consumer Staples
10,1093910400,517000000,2004,8,CAG,Conagra Brands,Consumer Staples
11,1101772800,515531915,2004,11,CAG,Conagra Brands,Consumer Staples
12,1109548800,516562500,2005,2,CAG,Conagra Brands,Consumer Staples
13,1125446400,518100000,2005,8,CAG,Conagra Brands,Consumer Staples
14,1133308800,526129032,2005,11,CAG,Conagra Brands,Consumer Staples
15,1141084800,528333333,2006,2,CAG,Conagra Brands,Consumer Staples
16,1156982400,510200000,2006,8,CAG,Conagra Brands,Consumer Staples
17,1164844800,507857143,2006,11,CAG,Conagra Brands,Consumer Staples
18,1172620800,506842105,2007,2,CAG,Conagra Brands,Consumer Staples
19,1188518400,489200000,2007,8,CAG,Conagra Brands,Consumer Staples
20,1196380800,489600000,2007,11,CAG,Conagra Brands,Consumer Staples
21,1204243200,490634921,2008,2,CAG,Conagra Brands,Consumer Staples
22,1220140800,467100000,2008,8,CAG,Conagra Brands,Consumer Staples
23,1228003200,447100000,2008,11,CAG,Conagra Brands,Consumer Staples
24,1235779200,447100000,2009,2,CAG,Conagra Brands,Consumer Staples
25,1251676800,443200000,2009,8,CAG,Conagra Brands,Consumer Staples
26,1259539200,443200000,2009,11,CAG,Conagra Brands,Consumer Staples
27,1267315200,444000000,2010,2,CAG,Conagra Brands,Consumer Staples
28,1283212800,441500000,2010,8,CAG,Conagra Brands,Consumer Staples
29,1291075200,437800000,2010,11,CAG,Conagra Brands,Consumer Staples
30,1298851200,428400000,2011,2,CAG,Conagra Brands,Consumer Staples
31,1314748800,412700000,2011,8,CAG,Conagra Brands,Consumer Staples
32,1322611200,413600000,2011,11,CAG,Conagra Brands,Consumer Staples
33,1330473600,414300000,2012,2,CAG,Conagra Brands,Consumer Staples
34,1346371200,407100000,2012,8,CAG,Conagra Brands,Consumer Staples
35,1354233600,405900000,2012,11,CAG,Conagra Brands,Consumer Staples
36,1362009600,410700000,2013,2,CAG,Conagra Brands,Consumer Staples
37,1369958400,418400000,2013,5,CAG,Conagra Brands,Consumer Staples
38,1377907200,421100000,2013,8,CAG,Conagra Brands,Consumer Staples
39,1385769600,421100000,2013,11,CAG,Conagra Brands,Consumer Staples
40,1393545600,421200000,2014,2,CAG,Conagra Brands,Consumer Staples
41,1401494400,422000000,2014,5,CAG,Conagra Brands,Consumer Staples
42,1409443200,423900000,2014,8,CAG,Conagra Brands,Consumer Staples
43,1417305600,425700000,2014,11,CAG,Conagra Brands,Consumer Staples
44,1425081600,427100000,2015,2,CAG,Conagra Brands,Consumer Staples
45,1433030400,427800000,2015,5,CAG,Conagra Brands,Consumer Staples
46,1440979200,430700000,2015,8,CAG,Conagra Brands,Consumer Staples
47,1448841600,433800000,2015,11,CAG,Conagra Brands,Consumer Staples
48,1456704000,435700000,2016,2,CAG,Conagra Brands,Consumer Staples
49,1464652800,437800000,2016,5,CAG,Conagra Brands,Consumer Staples
50,1472601600,439000000,2016,8,CAG,Conagra Brands,Consumer Staples
51,1480464000,437700000,2016,11,CAG,Conagra Brands,Consumer Staples
52,1488240000,431700000,2017,2,CAG,Conagra Brands,Consumer Staples
53,1496188800,420300000,2017,5,CAG,Conagra Brands,Consumer Staples
54,1504137600,415100000,2017,8,CAG,Conagra Brands,Consumer Staples
55,1512000000,406500000,2017,11,CAG,Conagra Brands,Consumer Staples
56,1519776000,399100000,2018,2,CAG,Conagra Brands,Consumer Staples
57,1527724800,392900000,2018,5,CAG,Conagra Brands,Consumer Staples
58,1535673600,391700000,2018,8,CAG,Conagra Brands,Consumer Staples
59,1543536000,419900000,2018,11,CAG,Conagra Brands,Consumer Staples
60,1551312000,486200000,2019,2,CAG,Conagra Brands,Consumer Staples
61,1559260800,486400000,2019,5,CAG,Conagra Brands,Consumer Staples
62,1567209600,486800000,2019,8,CAG,Conagra Brands,Consumer Staples
63,1575072000,487300000,2019,11,CAG,Conagra Brands,Consumer Staples
64,1582934400,487400000,2020,2,CAG,Conagra Brands,Consumer Staples
65,1590883200,487600000,2020,5,CAG,Conagra Brands,Consumer Staples
66,1598832000,488200000,2020,8,CAG,Conagra Brands,Consumer Staples
67,1606694400,489100000,2020,11,CAG,Conagra Brands,Consumer Staples
68,1614470400,485700000,2021,2,CAG,Conagra Brands,Consumer Staples
69,1622419200,480600000,2021,5,CAG,Conagra Brands,Consumer Staples
70,1630368000,480400000,2021,8,CAG,Conagra Brands,Consumer Staples
71,1638230400,480200000,2021,11,CAG,Conagra Brands,Consumer Staples
72,1646006400,480300000,2022,2,CAG,Conagra Brands,Consumer Staples
73,1653955200,480400000,2022,5,CAG,Conagra Brands,Consumer Staples
74,1668714678,480600000,2022,11,CAG,Conagra Brands,Consumer Staples
