,d,v,years,months,ticker_symbol,security,sector
0,985996800,231112444,2001,3,CHD,Church & Dwight,Consumer Staples
1,993859200,233049476,2001,6,CHD,Church & Dwight,Consumer Staples
2,1001808000,233949024,2001,9,CHD,Church & Dwight,Consumer Staples
3,1017532800,235484256,2002,3,CHD,Church & Dwight,Consumer Staples
4,1025395200,237385308,2002,6,CHD,Church & Dwight,Consumer Staples
5,1033344000,238644676,2002,9,CHD,Church & Dwight,Consumer Staples
6,1049068800,239550224,2003,3,CHD,Church & Dwight,Consumer Staples
7,1056931200,240671664,2003,6,CHD,Church & Dwight,Consumer Staples
8,1064880000,241787108,2003,9,CHD,Church & Dwight,Consumer Staples
9,1080691200,245169416,2004,3,CHD,Church & Dwight,Consumer Staples
10,1088553600,246260868,2004,6,CHD,Church & Dwight,Consumer Staples
11,1096502400,248020000,2004,9,CHD,Church & Dwight,Consumer Staples
12,1112227200,253284000,2005,3,CHD,Church & Dwight,Consumer Staples
13,1120089600,254684000,2005,6,CHD,Church & Dwight,Consumer Staples
14,1128038400,256408000,2005,9,CHD,Church & Dwight,Consumer Staples
15,1143763200,257912000,2006,3,CHD,Church & Dwight,Consumer Staples
16,1151625600,258808000,2006,6,CHD,Church & Dwight,Consumer Staples
17,1159574400,259864000,2006,9,CHD,Church & Dwight,Consumer Staples
18,1175299200,262280000,2007,3,CHD,Church & Dwight,Consumer Staples
19,1183161600,263216000,2007,6,CHD,Church & Dwight,Consumer Staples
20,1191110400,263652000,2007,9,CHD,Church & Dwight,Consumer Staples
21,1206921600,265372000,2008,3,CHD,Church & Dwight,Consumer Staples
22,1214784000,266296000,2008,6,CHD,Church & Dwight,Consumer Staples
23,1222732800,273600000,2008,9,CHD,Church & Dwight,Consumer Staples
24,1238457600,280936000,2009,3,CHD,Church & Dwight,Consumer Staples
25,1246320000,281368000,2009,6,CHD,Church & Dwight,Consumer Staples
26,1254268800,281676000,2009,9,CHD,Church & Dwight,Consumer Staples
27,1269993600,283092000,2010,3,CHD,Church & Dwight,Consumer Staples
28,1277856000,284024000,2010,6,CHD,Church & Dwight,Consumer Staples
29,1285804800,284436000,2010,9,CHD,Church & Dwight,Consumer Staples
30,1301529600,285600000,2011,3,CHD,Church & Dwight,Consumer Staples
31,1309392000,286600000,2011,6,CHD,Church & Dwight,Consumer Staples
32,1317340800,287400000,2011,9,CHD,Church & Dwight,Consumer Staples
33,1333152000,284600000,2012,3,CHD,Church & Dwight,Consumer Staples
34,1341014400,279000000,2012,6,CHD,Church & Dwight,Consumer Staples
35,1348963200,279000000,2012,9,CHD,Church & Dwight,Consumer Staples
36,1356912000,278400000,2012,12,CHD,Church & Dwight,Consumer Staples
37,1364688000,276600000,2013,3,CHD,Church & Dwight,Consumer Staples
38,1372550400,277000000,2013,6,CHD,Church & Dwight,Consumer Staples
39,1380499200,277600000,2013,9,CHD,Church & Dwight,Consumer Staples
40,1388448000,278000000,2013,12,CHD,Church & Dwight,Consumer Staples
41,1396224000,276000000,2014,3,CHD,Church & Dwight,Consumer Staples
42,1404086400,269600000,2014,6,CHD,Church & Dwight,Consumer Staples
43,1412035200,267400000,2014,9,CHD,Church & Dwight,Consumer Staples
44,1419984000,267800000,2014,12,CHD,Church & Dwight,Consumer Staples
45,1427760000,264000000,2015,3,CHD,Church & Dwight,Consumer Staples
46,1435622400,261800000,2015,6,CHD,Church & Dwight,Consumer Staples
47,1443571200,262200000,2015,9,CHD,Church & Dwight,Consumer Staples
48,1451520000,261200000,2015,12,CHD,Church & Dwight,Consumer Staples
49,1459382400,258800000,2016,3,CHD,Church & Dwight,Consumer Staples
50,1467244800,257000000,2016,6,CHD,Church & Dwight,Consumer Staples
51,1475193600,258000000,2016,9,CHD,Church & Dwight,Consumer Staples
52,1483142400,256400000,2016,12,CHD,Church & Dwight,Consumer Staples
53,1490918400,254100000,2017,3,CHD,Church & Dwight,Consumer Staples
54,1498780800,249800000,2017,6,CHD,Church & Dwight,Consumer Staples
55,1506729600,249700000,2017,9,CHD,Church & Dwight,Consumer Staples
56,1514678400,248900000,2017,12,CHD,Church & Dwight,Consumer Staples
57,1522454400,244900000,2018,3,CHD,Church & Dwight,Consumer Staples
58,1530316800,244800000,2018,6,CHD,Church & Dwight,Consumer Staples
59,1538265600,245700000,2018,9,CHD,Church & Dwight,Consumer Staples
60,1546214400,246600000,2018,12,CHD,Church & Dwight,Consumer Staples
61,1553990400,246100000,2019,3,CHD,Church & Dwight,Consumer Staples
62,1561852800,246400000,2019,6,CHD,Church & Dwight,Consumer Staples
63,1569801600,246800000,2019,9,CHD,Church & Dwight,Consumer Staples
64,1577750400,245300000,2019,12,CHD,Church & Dwight,Consumer Staples
65,1585612800,245600000,2020,3,CHD,Church & Dwight,Consumer Staples
66,1593475200,246200000,2020,6,CHD,Church & Dwight,Consumer Staples
67,1601424000,247700000,2020,9,CHD,Church & Dwight,Consumer Staples
68,1609372800,247900000,2020,12,CHD,Church & Dwight,Consumer Staples
69,1617148800,245200000,2021,3,CHD,Church & Dwight,Consumer Staples
70,1625011200,245200000,2021,6,CHD,Church & Dwight,Consumer Staples
71,1632960000,245300000,2021,9,CHD,Church & Dwight,Consumer Staples
72,1640908800,244100000,2021,12,CHD,Church & Dwight,Consumer Staples
73,1648684800,242600000,2022,3,CHD,Church & Dwight,Consumer Staples
74,1656547200,242600000,2022,6,CHD,Church & Dwight,Consumer Staples
75,1668714616,242600000,2022,11,CHD,Church & Dwight,Consumer Staples
