,d,v,years,months,ticker_symbol,security,sector
0,985996800,236406000,2001,3,CLX,Clorox,Consumer Staples
1,1001808000,234980000,2001,9,CLX,Clorox,Consumer Staples
2,1009756800,232763000,2001,12,CLX,Clorox,Consumer Staples
3,1017532800,231508000,2002,3,CLX,Clorox,Consumer Staples
4,1033344000,221883000,2002,9,CLX,Clorox,Consumer Staples
5,1041292800,218334000,2002,12,CLX,Clorox,Consumer Staples
6,1049068800,216414000,2003,3,CLX,Clorox,Consumer Staples
7,1064880000,212654000,2003,9,CLX,Clorox,Consumer Staples
8,1072828800,210500000,2003,12,CLX,Clorox,Consumer Staples
9,1080691200,211213000,2004,3,CLX,Clorox,Consumer Staples
10,1096502400,212905000,2004,9,CLX,Clorox,Consumer Staples
11,1104451200,187310000,2004,12,CLX,Clorox,Consumer Staples
12,1112227200,153502000,2005,3,CLX,Clorox,Consumer Staples
13,1128038400,150835000,2005,9,CLX,Clorox,Consumer Staples
14,1135987200,150080000,2005,12,CLX,Clorox,Consumer Staples
15,1143763200,150364000,2006,3,CLX,Clorox,Consumer Staples
16,1159574400,151143000,2006,9,CLX,Clorox,Consumer Staples
17,1167523200,151413000,2006,12,CLX,Clorox,Consumer Staples
18,1175299200,151469000,2007,3,CLX,Clorox,Consumer Staples
19,1191110400,143778000,2007,9,CLX,Clorox,Consumer Staples
20,1199059200,138750000,2007,12,CLX,Clorox,Consumer Staples
21,1206921600,138008000,2008,3,CLX,Clorox,Consumer Staples
22,1222732800,138457000,2008,9,CLX,Clorox,Consumer Staples
23,1230681600,139086000,2008,12,CLX,Clorox,Consumer Staples
24,1238457600,139213000,2009,3,CLX,Clorox,Consumer Staples
25,1254268800,139743000,2009,9,CLX,Clorox,Consumer Staples
26,1262217600,140303000,2009,12,CLX,Clorox,Consumer Staples
27,1269993600,140764000,2010,3,CLX,Clorox,Consumer Staples
28,1285804800,139475000,2010,9,CLX,Clorox,Consumer Staples
29,1293753600,138678000,2010,12,CLX,Clorox,Consumer Staples
30,1301529600,136364000,2011,3,CLX,Clorox,Consumer Staples
31,1309392000,132279000,2011,6,CLX,Clorox,Consumer Staples
32,1317340800,131968000,2011,9,CLX,Clorox,Consumer Staples
33,1325289600,131112000,2011,12,CLX,Clorox,Consumer Staples
34,1333152000,130266000,2012,3,CLX,Clorox,Consumer Staples
35,1341014400,130061000,2012,6,CLX,Clorox,Consumer Staples
36,1348963200,130268000,2012,9,CLX,Clorox,Consumer Staples
37,1356912000,130991000,2012,12,CLX,Clorox,Consumer Staples
38,1364688000,131619000,2013,3,CLX,Clorox,Consumer Staples
39,1372550400,131422000,2013,6,CLX,Clorox,Consumer Staples
40,1380499200,130074000,2013,9,CLX,Clorox,Consumer Staples
41,1388448000,129836000,2013,12,CLX,Clorox,Consumer Staples
42,1396224000,129318000,2014,3,CLX,Clorox,Consumer Staples
43,1404086400,129005000,2014,6,CLX,Clorox,Consumer Staples
44,1412035200,129312000,2014,9,CLX,Clorox,Consumer Staples
45,1419984000,130555000,2014,12,CLX,Clorox,Consumer Staples
46,1427760000,131833000,2015,3,CLX,Clorox,Consumer Staples
47,1435622400,129541000,2015,6,CLX,Clorox,Consumer Staples
48,1443571200,129155000,2015,9,CLX,Clorox,Consumer Staples
49,1451520000,129543000,2015,12,CLX,Clorox,Consumer Staples
50,1459382400,129690000,2016,3,CLX,Clorox,Consumer Staples
51,1467244800,129502000,2016,6,CLX,Clorox,Consumer Staples
52,1475193600,129449000,2016,9,CLX,Clorox,Consumer Staples
53,1483142400,128497000,2016,12,CLX,Clorox,Consumer Staples
54,1490918400,128752000,2017,3,CLX,Clorox,Consumer Staples
55,1498780800,129113000,2017,6,CLX,Clorox,Consumer Staples
56,1506729600,129019000,2017,9,CLX,Clorox,Consumer Staples
57,1514678400,129359000,2017,12,CLX,Clorox,Consumer Staples
58,1522454400,129694000,2018,3,CLX,Clorox,Consumer Staples
59,1530316800,129694000,2018,6,CLX,Clorox,Consumer Staples
60,1538265600,127803000,2018,9,CLX,Clorox,Consumer Staples
61,1546214400,128068000,2018,12,CLX,Clorox,Consumer Staples
62,1553990400,128404000,2019,3,CLX,Clorox,Consumer Staples
63,1561852800,126663000,2019,6,CLX,Clorox,Consumer Staples
64,1569801600,125823000,2019,9,CLX,Clorox,Consumer Staples
65,1577750400,125440000,2019,12,CLX,Clorox,Consumer Staples
66,1585612800,125661000,2020,3,CLX,Clorox,Consumer Staples
67,1593475200,126387000,2020,6,CLX,Clorox,Consumer Staples
68,1601424000,126346000,2020,9,CLX,Clorox,Consumer Staples
69,1609372800,126216000,2020,12,CLX,Clorox,Consumer Staples
70,1617148800,125610000,2021,3,CLX,Clorox,Consumer Staples
71,1625011200,124106000,2021,6,CLX,Clorox,Consumer Staples
72,1632960000,122980000,2021,9,CLX,Clorox,Consumer Staples
73,1640908800,123064000,2021,12,CLX,Clorox,Consumer Staples
74,1648684800,123177000,2022,3,CLX,Clorox,Consumer Staples
75,1656547200,123230000,2022,6,CLX,Clorox,Consumer Staples
76,1668714631,123230000,2022,11,CLX,Clorox,Consumer Staples
