,d,v,years,months,ticker_symbol,security,sector
0,983318400,448788000,2001,2,COST,Costco,Consumer Staples
1,991267200,450195000,2001,5,COST,Costco,Consumer Staples
2,1007078400,451990000,2001,11,COST,Costco,Consumer Staples
3,1014854400,452882000,2002,2,COST,Costco,Consumer Staples
4,1022803200,454272000,2002,5,COST,Costco,Consumer Staples
5,1038614400,455570000,2002,11,COST,Costco,Consumer Staples
6,1046390400,455927000,2003,2,COST,Costco,Consumer Staples
7,1054339200,456370000,2003,5,COST,Costco,Consumer Staples
8,1070150400,457632000,2003,11,COST,Costco,Consumer Staples
9,1078012800,458228000,2004,2,COST,Costco,Consumer Staples
10,1085961600,459074000,2004,5,COST,Costco,Consumer Staples
11,1101772800,465869000,2004,11,COST,Costco,Consumer Staples
12,1109548800,474221000,2005,2,COST,Costco,Consumer Staples
13,1117497600,478248000,2005,5,COST,Costco,Consumer Staples
14,1133308800,472717000,2005,11,COST,Costco,Consumer Staples
15,1141084800,471889000,2006,2,COST,Costco,Consumer Staples
16,1149033600,470516000,2006,5,COST,Costco,Consumer Staples
17,1164844800,458873000,2006,11,COST,Costco,Consumer Staples
18,1172620800,450901000,2007,2,COST,Costco,Consumer Staples
19,1180569600,445471000,2007,5,COST,Costco,Consumer Staples
20,1196380800,435090000,2007,11,COST,Costco,Consumer Staples
21,1204243200,434779000,2008,2,COST,Costco,Consumer Staples
22,1212192000,433678000,2008,5,COST,Costco,Consumer Staples
23,1228003200,432451000,2008,11,COST,Costco,Consumer Staples
24,1235779200,433476000,2009,2,COST,Costco,Consumer Staples
25,1243728000,434354000,2009,5,COST,Costco,Consumer Staples
26,1259539200,437173000,2009,11,COST,Costco,Consumer Staples
27,1267315200,439786000,2010,2,COST,Costco,Consumer Staples
28,1275264000,440973000,2010,5,COST,Costco,Consumer Staples
29,1283212800,437071000,2010,8,COST,Costco,Consumer Staples
30,1291075200,434099000,2010,11,COST,Costco,Consumer Staples
31,1298851200,436682000,2011,2,COST,Costco,Consumer Staples
32,1306800000,436977000,2011,5,COST,Costco,Consumer Staples
33,1314748800,436596000,2011,8,COST,Costco,Consumer Staples
34,1322611200,434222000,2011,11,COST,Costco,Consumer Staples
35,1330473600,434535000,2012,2,COST,Costco,Consumer Staples
36,1338422400,433791000,2012,5,COST,Costco,Consumer Staples
37,1354233600,433423000,2012,11,COST,Costco,Consumer Staples
38,1362009600,435975000,2013,2,COST,Costco,Consumer Staples
39,1369958400,436488000,2013,5,COST,Costco,Consumer Staples
40,1377907200,436752000,2013,8,COST,Costco,Consumer Staples
41,1385769600,437970000,2013,11,COST,Costco,Consumer Staples
42,1393545600,439776000,2014,2,COST,Costco,Consumer Staples
43,1401494400,439446000,2014,5,COST,Costco,Consumer Staples
44,1409443200,437875000,2014,8,COST,Costco,Consumer Staples
45,1417305600,438760000,2014,11,COST,Costco,Consumer Staples
46,1425081600,440384000,2015,2,COST,Costco,Consumer Staples
47,1433030400,440070000,2015,5,COST,Costco,Consumer Staples
48,1440979200,438835000,2015,8,COST,Costco,Consumer Staples
49,1448841600,438342000,2015,11,COST,Costco,Consumer Staples
50,1456704000,439648000,2016,2,COST,Costco,Consumer Staples
51,1464652800,438815000,2016,5,COST,Costco,Consumer Staples
52,1472601600,437809000,2016,8,COST,Costco,Consumer Staples
53,1480464000,438007000,2016,11,COST,Costco,Consumer Staples
54,1488240000,439127000,2017,2,COST,Costco,Consumer Staples
55,1496188800,438817000,2017,5,COST,Costco,Consumer Staples
56,1504137600,437987000,2017,8,COST,Costco,Consumer Staples
57,1512000000,437965000,2017,11,COST,Costco,Consumer Staples
58,1519776000,439022000,2018,2,COST,Costco,Consumer Staples
59,1527724800,438740000,2018,5,COST,Costco,Consumer Staples
60,1535673600,438379000,2018,8,COST,Costco,Consumer Staples
61,1543536000,439157000,2018,11,COST,Costco,Consumer Staples
62,1551312000,440284000,2019,2,COST,Costco,Consumer Staples
63,1559260800,439859000,2019,5,COST,Costco,Consumer Staples
64,1567209600,439727000,2019,8,COST,Costco,Consumer Staples
65,1575072000,441818000,2019,11,COST,Costco,Consumer Staples
66,1582934400,442021000,2020,2,COST,Costco,Consumer Staples
67,1590883200,442322000,2020,5,COST,Costco,Consumer Staples
68,1598832000,442843000,2020,8,COST,Costco,Consumer Staples
69,1606694400,442952000,2020,11,COST,Costco,Consumer Staples
70,1614470400,443134000,2021,2,COST,Costco,Consumer Staples
71,1619740800,443043000,2021,4,COST,Costco,Consumer Staples
72,1622419200,443043000,2021,5,COST,Costco,Consumer Staples
73,1630368000,443193000,2021,8,COST,Costco,Consumer Staples
74,1638230400,443377000,2021,11,COST,Costco,Consumer Staples
75,1646006400,443623000,2022,2,COST,Costco,Consumer Staples
76,1651276800,443700000,2022,4,COST,Costco,Consumer Staples
77,1653955200,443700000,2022,5,COST,Costco,Consumer Staples
78,1668714710,443700000,2022,11,COST,Costco,Consumer Staples
