,d,v,years,months,ticker_symbol,security,sector
0,980899200,415000000,2001,1,CPB,Campbell Soup Company,Consumer Staples
1,988588800,410000000,2001,4,CPB,Campbell Soup Company,Consumer Staples
2,1004486400,410000000,2001,10,CPB,Campbell Soup Company,Consumer Staples
3,1012435200,410000000,2002,1,CPB,Campbell Soup Company,Consumer Staples
4,1020124800,410000000,2002,4,CPB,Campbell Soup Company,Consumer Staples
5,1036022400,410000000,2002,10,CPB,Campbell Soup Company,Consumer Staples
6,1043971200,411000000,2003,1,CPB,Campbell Soup Company,Consumer Staples
7,1051660800,411000000,2003,4,CPB,Campbell Soup Company,Consumer Staples
8,1067558400,411000000,2003,10,CPB,Campbell Soup Company,Consumer Staples
9,1075507200,411000000,2004,1,CPB,Campbell Soup Company,Consumer Staples
10,1083283200,411000000,2004,4,CPB,Campbell Soup Company,Consumer Staples
11,1099180800,409000000,2004,10,CPB,Campbell Soup Company,Consumer Staples
12,1107129600,409000000,2005,1,CPB,Campbell Soup Company,Consumer Staples
13,1114819200,409000000,2005,4,CPB,Campbell Soup Company,Consumer Staples
14,1130716800,409000000,2005,10,CPB,Campbell Soup Company,Consumer Staples
15,1138665600,408000000,2006,1,CPB,Campbell Soup Company,Consumer Staples
16,1146355200,406000000,2006,4,CPB,Campbell Soup Company,Consumer Staples
17,1162252800,395000000,2006,10,CPB,Campbell Soup Company,Consumer Staples
18,1170201600,384000000,2007,1,CPB,Campbell Soup Company,Consumer Staples
19,1177891200,384000000,2007,4,CPB,Campbell Soup Company,Consumer Staples
20,1193788800,379000000,2007,10,CPB,Campbell Soup Company,Consumer Staples
21,1201737600,377000000,2008,1,CPB,Campbell Soup Company,Consumer Staples
22,1209513600,373000000,2008,4,CPB,Campbell Soup Company,Consumer Staples
23,1225411200,357000000,2008,10,CPB,Campbell Soup Company,Consumer Staples
24,1233360000,355000000,2009,1,CPB,Campbell Soup Company,Consumer Staples
25,1241049600,350000000,2009,4,CPB,Campbell Soup Company,Consumer Staples
26,1256947200,343000000,2009,10,CPB,Campbell Soup Company,Consumer Staples
27,1264896000,341000000,2010,1,CPB,Campbell Soup Company,Consumer Staples
28,1272585600,339000000,2010,4,CPB,Campbell Soup Company,Consumer Staples
29,1288483200,335000000,2010,10,CPB,Campbell Soup Company,Consumer Staples
30,1296432000,330000000,2011,1,CPB,Campbell Soup Company,Consumer Staples
31,1304121600,321000000,2011,4,CPB,Campbell Soup Company,Consumer Staples
32,1320019200,320000000,2011,10,CPB,Campbell Soup Company,Consumer Staples
33,1327968000,318000000,2012,1,CPB,Campbell Soup Company,Consumer Staples
34,1335744000,316000000,2012,4,CPB,Campbell Soup Company,Consumer Staples
35,1343692800,315000000,2012,7,CPB,Campbell Soup Company,Consumer Staples
36,1351641600,314000000,2012,10,CPB,Campbell Soup Company,Consumer Staples
37,1359590400,314000000,2013,1,CPB,Campbell Soup Company,Consumer Staples
38,1367280000,314000000,2013,4,CPB,Campbell Soup Company,Consumer Staples
39,1375228800,314000000,2013,7,CPB,Campbell Soup Company,Consumer Staples
40,1383177600,314000000,2013,10,CPB,Campbell Soup Company,Consumer Staples
41,1391126400,314000000,2014,1,CPB,Campbell Soup Company,Consumer Staples
42,1398816000,314000000,2014,4,CPB,Campbell Soup Company,Consumer Staples
43,1406764800,314000000,2014,7,CPB,Campbell Soup Company,Consumer Staples
44,1414713600,314000000,2014,10,CPB,Campbell Soup Company,Consumer Staples
45,1422662400,313000000,2015,1,CPB,Campbell Soup Company,Consumer Staples
46,1430352000,311000000,2015,4,CPB,Campbell Soup Company,Consumer Staples
47,1438300800,310000000,2015,7,CPB,Campbell Soup Company,Consumer Staples
48,1446249600,310000000,2015,10,CPB,Campbell Soup Company,Consumer Staples
49,1454198400,310000000,2016,1,CPB,Campbell Soup Company,Consumer Staples
50,1461974400,309000000,2016,4,CPB,Campbell Soup Company,Consumer Staples
51,1469923200,308000000,2016,7,CPB,Campbell Soup Company,Consumer Staples
52,1477872000,308000000,2016,10,CPB,Campbell Soup Company,Consumer Staples
53,1485820800,306000000,2017,1,CPB,Campbell Soup Company,Consumer Staples
54,1493510400,304000000,2017,4,CPB,Campbell Soup Company,Consumer Staples
55,1501459200,303000000,2017,7,CPB,Campbell Soup Company,Consumer Staples
56,1509408000,301000000,2017,10,CPB,Campbell Soup Company,Consumer Staples
57,1517356800,301000000,2018,1,CPB,Campbell Soup Company,Consumer Staples
58,1525046400,301000000,2018,4,CPB,Campbell Soup Company,Consumer Staples
59,1540944000,301000000,2018,10,CPB,Campbell Soup Company,Consumer Staples
60,1548892800,301000000,2019,1,CPB,Campbell Soup Company,Consumer Staples
61,1556582400,301000000,2019,4,CPB,Campbell Soup Company,Consumer Staples
62,1564531200,301000000,2019,7,CPB,Campbell Soup Company,Consumer Staples
63,1572480000,301000000,2019,10,CPB,Campbell Soup Company,Consumer Staples
64,1580428800,302000000,2020,1,CPB,Campbell Soup Company,Consumer Staples
65,1588204800,302000000,2020,4,CPB,Campbell Soup Company,Consumer Staples
66,1596153600,302000000,2020,7,CPB,Campbell Soup Company,Consumer Staples
67,1604102400,302000000,2020,10,CPB,Campbell Soup Company,Consumer Staples
68,1612051200,303000000,2021,1,CPB,Campbell Soup Company,Consumer Staples
69,1619740800,303000000,2021,4,CPB,Campbell Soup Company,Consumer Staples
70,1627689600,303000000,2021,7,CPB,Campbell Soup Company,Consumer Staples
71,1635638400,302000000,2021,10,CPB,Campbell Soup Company,Consumer Staples
72,1643587200,302000000,2022,1,CPB,Campbell Soup Company,Consumer Staples
73,1651276800,301000000,2022,4,CPB,Campbell Soup Company,Consumer Staples
74,1659225600,300000000,2022,7,CPB,Campbell Soup Company,Consumer Staples
75,1668714599,300000000,2022,11,CPB,Campbell Soup Company,Consumer Staples
