,d,v,years,months,ticker_symbol,security,sector
0,985996800,476800000,2001,3,EL,The Estée Lauder Companies,Consumer Staples
1,1001808000,477800000,2001,9,EL,The Estée Lauder Companies,Consumer Staples
2,1009756800,476200000,2001,12,EL,The Estée Lauder Companies,Consumer Staples
3,1017532800,475800000,2002,3,EL,The Estée Lauder Companies,Consumer Staples
4,1033344000,470400000,2002,9,EL,The Estée Lauder Companies,Consumer Staples
5,1041292800,466200000,2002,12,EL,The Estée Lauder Companies,Consumer Staples
6,1049068800,464200000,2003,3,EL,The Estée Lauder Companies,Consumer Staples
7,1064880000,456200000,2003,9,EL,The Estée Lauder Companies,Consumer Staples
8,1072828800,457200000,2003,12,EL,The Estée Lauder Companies,Consumer Staples
9,1080691200,456600000,2004,3,EL,The Estée Lauder Companies,Consumer Staples
10,1096502400,454200000,2004,9,EL,The Estée Lauder Companies,Consumer Staples
11,1104451200,451200000,2004,12,EL,The Estée Lauder Companies,Consumer Staples
12,1112227200,451000000,2005,3,EL,The Estée Lauder Companies,Consumer Staples
13,1128038400,441200000,2005,9,EL,The Estée Lauder Companies,Consumer Staples
14,1135987200,429400000,2005,12,EL,The Estée Lauder Companies,Consumer Staples
15,1143763200,424800000,2006,3,EL,The Estée Lauder Companies,Consumer Staples
16,1159574400,422200000,2006,9,EL,The Estée Lauder Companies,Consumer Staples
17,1167523200,416600000,2006,12,EL,The Estée Lauder Companies,Consumer Staples
18,1175299200,407600000,2007,3,EL,The Estée Lauder Companies,Consumer Staples
19,1191110400,388000000,2007,9,EL,The Estée Lauder Companies,Consumer Staples
20,1199059200,386600000,2007,12,EL,The Estée Lauder Companies,Consumer Staples
21,1206921600,387800000,2008,3,EL,The Estée Lauder Companies,Consumer Staples
22,1222732800,390600000,2008,9,EL,The Estée Lauder Companies,Consumer Staples
23,1230681600,393200000,2008,12,EL,The Estée Lauder Companies,Consumer Staples
24,1238457600,393400000,2009,3,EL,The Estée Lauder Companies,Consumer Staples
25,1254268800,393400000,2009,9,EL,The Estée Lauder Companies,Consumer Staples
26,1262217600,394600000,2009,12,EL,The Estée Lauder Companies,Consumer Staples
27,1269993600,396000000,2010,3,EL,The Estée Lauder Companies,Consumer Staples
28,1285804800,393400000,2010,9,EL,The Estée Lauder Companies,Consumer Staples
29,1293753600,393400000,2010,12,EL,The Estée Lauder Companies,Consumer Staples
30,1301529600,395400000,2011,3,EL,The Estée Lauder Companies,Consumer Staples
31,1317340800,390600000,2011,9,EL,The Estée Lauder Companies,Consumer Staples
32,1325289600,386800000,2011,12,EL,The Estée Lauder Companies,Consumer Staples
33,1333152000,388200000,2012,3,EL,The Estée Lauder Companies,Consumer Staples
34,1348963200,387800000,2012,9,EL,The Estée Lauder Companies,Consumer Staples
35,1356912000,387400000,2012,12,EL,The Estée Lauder Companies,Consumer Staples
36,1364688000,387200000,2013,3,EL,The Estée Lauder Companies,Consumer Staples
37,1372550400,388200000,2013,6,EL,The Estée Lauder Companies,Consumer Staples
38,1380499200,387800000,2013,9,EL,The Estée Lauder Companies,Consumer Staples
39,1388448000,388300000,2013,12,EL,The Estée Lauder Companies,Consumer Staples
40,1396224000,385800000,2014,3,EL,The Estée Lauder Companies,Consumer Staples
41,1404086400,383000000,2014,6,EL,The Estée Lauder Companies,Consumer Staples
42,1412035200,381800000,2014,9,EL,The Estée Lauder Companies,Consumer Staples
43,1419984000,380000000,2014,12,EL,The Estée Lauder Companies,Consumer Staples
44,1427760000,378500000,2015,3,EL,The Estée Lauder Companies,Consumer Staples
45,1435622400,377000000,2015,6,EL,The Estée Lauder Companies,Consumer Staples
46,1443571200,372500000,2015,9,EL,The Estée Lauder Companies,Consumer Staples
47,1451520000,369600000,2015,12,EL,The Estée Lauder Companies,Consumer Staples
48,1459382400,369100000,2016,3,EL,The Estée Lauder Companies,Consumer Staples
49,1467244800,368800000,2016,6,EL,The Estée Lauder Companies,Consumer Staples
50,1475193600,366400000,2016,9,EL,The Estée Lauder Companies,Consumer Staples
