,d,v,years,months,ticker_symbol,security,sector
0,983318400,568600000,2001,2,GIS,General Mills,Consumer Staples
1,999216000,569400000,2001,8,GIS,General Mills,Consumer Staples
2,1007078400,614800000,2001,11,GIS,General Mills,Consumer Staples
3,1014854400,731200000,2002,2,GIS,General Mills,Consumer Staples
4,1030752000,752000000,2002,8,GIS,General Mills,Consumer Staples
5,1038614400,736000000,2002,11,GIS,General Mills,Consumer Staples
6,1046390400,738000000,2003,2,GIS,General Mills,Consumer Staples
7,1062288000,744000000,2003,8,GIS,General Mills,Consumer Staples
8,1070150400,748000000,2003,11,GIS,General Mills,Consumer Staples
9,1078012800,750000000,2004,2,GIS,General Mills,Consumer Staples
10,1093910400,758000000,2004,8,GIS,General Mills,Consumer Staples
11,1101772800,740000000,2004,11,GIS,General Mills,Consumer Staples
12,1109548800,730158730,2005,2,GIS,General Mills,Consumer Staples
13,1125446400,730000000,2005,8,GIS,General Mills,Consumer Staples
14,1133308800,711538462,2005,11,GIS,General Mills,Consumer Staples
15,1141084800,713043478,2006,2,GIS,General Mills,Consumer Staples
16,1156982400,704000000,2006,8,GIS,General Mills,Consumer Staples
17,1164844800,687500000,2006,11,GIS,General Mills,Consumer Staples
18,1172620800,692000000,2007,2,GIS,General Mills,Consumer Staples
19,1188518400,659800000,2007,8,GIS,General Mills,Consumer Staples
20,1196380800,656000000,2007,11,GIS,General Mills,Consumer Staples
21,1204243200,674000000,2008,2,GIS,General Mills,Consumer Staples
22,1220140800,672800000,2008,8,GIS,General Mills,Consumer Staples
23,1228003200,666400000,2008,11,GIS,General Mills,Consumer Staples
24,1235779200,658400000,2009,2,GIS,General Mills,Consumer Staples
25,1251676800,653000000,2009,8,GIS,General Mills,Consumer Staples
26,1259539200,657400000,2009,11,GIS,General Mills,Consumer Staples
27,1267315200,663600000,2010,2,GIS,General Mills,Consumer Staples
28,1283212800,647300000,2010,8,GIS,General Mills,Consumer Staples
29,1291075200,642100000,2010,11,GIS,General Mills,Consumer Staples
30,1298851200,638900000,2011,2,GIS,General Mills,Consumer Staples
31,1314748800,647900000,2011,8,GIS,General Mills,Consumer Staples
32,1322611200,646300000,2011,11,GIS,General Mills,Consumer Staples
33,1330473600,647900000,2012,2,GIS,General Mills,Consumer Staples
34,1346371200,650400000,2012,8,GIS,General Mills,Consumer Staples
35,1354233600,648100000,2012,11,GIS,General Mills,Consumer Staples
36,1362009600,648500000,2013,2,GIS,General Mills,Consumer Staples
37,1377907200,643000000,2013,8,GIS,General Mills,Consumer Staples
38,1385769600,633200000,2013,11,GIS,General Mills,Consumer Staples
39,1393545600,623500000,2014,2,GIS,General Mills,Consumer Staples
40,1401494400,614800000,2014,5,GIS,General Mills,Consumer Staples
41,1409443200,612600000,2014,8,GIS,General Mills,Consumer Staples
42,1417305600,602600000,2014,11,GIS,General Mills,Consumer Staples
43,1425081600,598200000,2015,2,GIS,General Mills,Consumer Staples
44,1433030400,628600000,2015,5,GIS,General Mills,Consumer Staples
45,1440979200,601700000,2015,8,GIS,General Mills,Consumer Staples
46,1448841600,599400000,2015,11,GIS,General Mills,Consumer Staples
47,1456704000,595600000,2016,2,GIS,General Mills,Consumer Staples
48,1464652800,598900000,2016,5,GIS,General Mills,Consumer Staples
49,1472601600,600000000,2016,8,GIS,General Mills,Consumer Staples
50,1480464000,588800000,2016,11,GIS,General Mills,Consumer Staples
51,1488240000,580700000,2017,2,GIS,General Mills,Consumer Staples
52,1496188800,579000000,2017,5,GIS,General Mills,Consumer Staples
53,1504137600,576500000,2017,8,GIS,General Mills,Consumer Staples
54,1512000000,571300000,2017,11,GIS,General Mills,Consumer Staples
55,1519776000,572500000,2018,2,GIS,General Mills,Consumer Staples
56,1527724800,587100000,2018,5,GIS,General Mills,Consumer Staples
57,1535673600,598000000,2018,8,GIS,General Mills,Consumer Staples
58,1543536000,599400000,2018,11,GIS,General Mills,Consumer Staples
59,1551312000,600400000,2019,2,GIS,General Mills,Consumer Staples
60,1559260800,603700000,2019,5,GIS,General Mills,Consumer Staples
61,1567209600,606000000,2019,8,GIS,General Mills,Consumer Staples
62,1575072000,607400000,2019,11,GIS,General Mills,Consumer Staples
63,1582934400,607900000,2020,2,GIS,General Mills,Consumer Staples
64,1590883200,610900000,2020,5,GIS,General Mills,Consumer Staples
65,1598832000,614100000,2020,8,GIS,General Mills,Consumer Staples
66,1606694400,614800000,2020,11,GIS,General Mills,Consumer Staples
67,1614470400,615000000,2021,2,GIS,General Mills,Consumer Staples
68,1622419200,612400000,2021,5,GIS,General Mills,Consumer Staples
69,1630368000,610400000,2021,8,GIS,General Mills,Consumer Staples
70,1638230400,608600000,2021,11,GIS,General Mills,Consumer Staples
71,1646006400,606800000,2022,2,GIS,General Mills,Consumer Staples
72,1653955200,604900000,2022,5,GIS,General Mills,Consumer Staples
73,1668714742,600200000,2022,11,GIS,General Mills,Consumer Staples
