,d,v,years,months,ticker_symbol,security,sector
0,985996800,405700000,2001,3,K,Kellogg's,Consumer Staples
1,993859200,405900000,2001,6,K,Kellogg's,Consumer Staples
2,1001808000,406200000,2001,9,K,Kellogg's,Consumer Staples
3,1017532800,407100000,2002,3,K,Kellogg's,Consumer Staples
4,1025395200,409200000,2002,6,K,Kellogg's,Consumer Staples
5,1033344000,409400000,2002,9,K,Kellogg's,Consumer Staples
6,1049068800,407700000,2003,3,K,Kellogg's,Consumer Staples
7,1056931200,406900000,2003,6,K,Kellogg's,Consumer Staples
8,1064880000,408300000,2003,9,K,Kellogg's,Consumer Staples
9,1080691200,410800000,2004,3,K,Kellogg's,Consumer Staples
10,1088553600,411800000,2004,6,K,Kellogg's,Consumer Staples
11,1096502400,412400000,2004,9,K,Kellogg's,Consumer Staples
12,1112227200,413100000,2005,3,K,Kellogg's,Consumer Staples
13,1120089600,412000000,2005,6,K,Kellogg's,Consumer Staples
14,1128038400,413400000,2005,9,K,Kellogg's,Consumer Staples
15,1143763200,399000000,2006,3,K,Kellogg's,Consumer Staples
16,1151625600,394100000,2006,6,K,Kellogg's,Consumer Staples
17,1159574400,397000000,2006,9,K,Kellogg's,Consumer Staples
18,1175299200,398000000,2007,3,K,Kellogg's,Consumer Staples
19,1183161600,397000000,2007,6,K,Kellogg's,Consumer Staples
20,1191110400,395000000,2007,9,K,Kellogg's,Consumer Staples
21,1206921600,386000000,2008,3,K,Kellogg's,Consumer Staples
22,1214784000,379000000,2008,6,K,Kellogg's,Consumer Staples
23,1222732800,380000000,2008,9,K,Kellogg's,Consumer Staples
24,1238457600,382000000,2009,3,K,Kellogg's,Consumer Staples
25,1246320000,383000000,2009,6,K,Kellogg's,Consumer Staples
26,1254268800,382000000,2009,9,K,Kellogg's,Consumer Staples
27,1269993600,380000000,2010,3,K,Kellogg's,Consumer Staples
28,1277856000,381000000,2010,6,K,Kellogg's,Consumer Staples
29,1285804800,373000000,2010,9,K,Kellogg's,Consumer Staples
30,1301529600,365000000,2011,3,K,Kellogg's,Consumer Staples
31,1309392000,363000000,2011,6,K,Kellogg's,Consumer Staples
32,1317340800,360000000,2011,9,K,Kellogg's,Consumer Staples
33,1325289600,358000000,2011,12,K,Kellogg's,Consumer Staples
34,1333152000,357000000,2012,3,K,Kellogg's,Consumer Staples
35,1341014400,357000000,2012,6,K,Kellogg's,Consumer Staples
36,1348963200,358000000,2012,9,K,Kellogg's,Consumer Staples
37,1356912000,359000000,2012,12,K,Kellogg's,Consumer Staples
38,1364688000,363000000,2013,3,K,Kellogg's,Consumer Staples
39,1372550400,364000000,2013,6,K,Kellogg's,Consumer Staples
40,1380499200,362000000,2013,9,K,Kellogg's,Consumer Staples
41,1388448000,363000000,2013,12,K,Kellogg's,Consumer Staples
42,1396224000,360000000,2014,3,K,Kellogg's,Consumer Staples
43,1404086400,359000000,2014,6,K,Kellogg's,Consumer Staples
44,1412035200,358000000,2014,9,K,Kellogg's,Consumer Staples
45,1419984000,355000000,2014,12,K,Kellogg's,Consumer Staples
46,1427760000,355000000,2015,3,K,Kellogg's,Consumer Staples
47,1435622400,353000000,2015,6,K,Kellogg's,Consumer Staples
48,1443571200,354000000,2015,9,K,Kellogg's,Consumer Staples
49,1451520000,353000000,2015,12,K,Kellogg's,Consumer Staples
50,1459382400,351000000,2016,3,K,Kellogg's,Consumer Staples
51,1467244800,350000000,2016,6,K,Kellogg's,Consumer Staples
52,1475193600,350000000,2016,9,K,Kellogg's,Consumer Staples
53,1483142400,351000000,2016,12,K,Kellogg's,Consumer Staples
54,1490918400,351000000,2017,3,K,Kellogg's,Consumer Staples
55,1498780800,349000000,2017,6,K,Kellogg's,Consumer Staples
56,1506729600,345000000,2017,9,K,Kellogg's,Consumer Staples
57,1514678400,345161290,2017,12,K,Kellogg's,Consumer Staples
58,1522454400,346000000,2018,3,K,Kellogg's,Consumer Staples
59,1530316800,347000000,2018,6,K,Kellogg's,Consumer Staples
60,1538265600,347000000,2018,9,K,Kellogg's,Consumer Staples
61,1546214400,346000000,2018,12,K,Kellogg's,Consumer Staples
62,1553990400,342000000,2019,3,K,Kellogg's,Consumer Staples
63,1561852800,340000000,2019,6,K,Kellogg's,Consumer Staples
64,1569801600,341000000,2019,9,K,Kellogg's,Consumer Staples
65,1577750400,341000000,2019,12,K,Kellogg's,Consumer Staples
66,1585612800,342000000,2020,3,K,Kellogg's,Consumer Staples
67,1593475200,343000000,2020,6,K,Kellogg's,Consumer Staples
68,1601424000,343000000,2020,9,K,Kellogg's,Consumer Staples
69,1609372800,344000000,2020,12,K,Kellogg's,Consumer Staples
70,1617148800,342000000,2021,3,K,Kellogg's,Consumer Staples
71,1625011200,341000000,2021,6,K,Kellogg's,Consumer Staples
72,1632960000,341000000,2021,9,K,Kellogg's,Consumer Staples
73,1640908800,341000000,2021,12,K,Kellogg's,Consumer Staples
74,1648684800,340000000,2022,3,K,Kellogg's,Consumer Staples
75,1656547200,339000000,2022,6,K,Kellogg's,Consumer Staples
76,1668714789,339000000,2022,11,K,Kellogg's,Consumer Staples
