,d,v,years,months,ticker_symbol,security,sector
0,985996800,535061728,2001,3,KMB,Kimberly-Clark,Consumer Staples
1,993859200,532564103,2001,6,KMB,Kimberly-Clark,Consumer Staples
2,1001808000,530886076,2001,9,KMB,Kimberly-Clark,Consumer Staples
3,1017532800,522857143,2002,3,KMB,Kimberly-Clark,Consumer Staples
4,1025395200,517804878,2002,6,KMB,Kimberly-Clark,Consumer Staples
5,1033344000,519058824,2002,9,KMB,Kimberly-Clark,Consumer Staples
6,1049068800,509871795,2003,3,KMB,Kimberly-Clark,Consumer Staples
7,1056931200,508902439,2003,6,KMB,Kimberly-Clark,Consumer Staples
8,1064880000,505662651,2003,9,KMB,Kimberly-Clark,Consumer Staples
9,1080691200,499239130,2004,3,KMB,Kimberly-Clark,Consumer Staples
10,1088553600,499230769,2004,6,KMB,Kimberly-Clark,Consumer Staples
11,1096502400,490333333,2004,9,KMB,Kimberly-Clark,Consumer Staples
12,1112227200,478829787,2005,3,KMB,Kimberly-Clark,Consumer Staples
13,1120089600,479318182,2005,6,KMB,Kimberly-Clark,Consumer Staples
14,1128038400,471449275,2005,9,KMB,Kimberly-Clark,Consumer Staples
15,1143763200,458500000,2006,3,KMB,Kimberly-Clark,Consumer Staples
16,1151625600,460487805,2006,6,KMB,Kimberly-Clark,Consumer Staples
17,1159574400,455250000,2006,9,KMB,Kimberly-Clark,Consumer Staples
18,1175299200,456565657,2007,3,KMB,Kimberly-Clark,Consumer Staples
19,1183161600,457227723,2007,6,KMB,Kimberly-Clark,Consumer Staples
20,1191110400,431523810,2007,9,KMB,Kimberly-Clark,Consumer Staples
21,1206921600,419904762,2008,3,KMB,Kimberly-Clark,Consumer Staples
22,1214784000,417700000,2008,6,KMB,Kimberly-Clark,Consumer Staples
23,1222732800,413100000,2008,9,KMB,Kimberly-Clark,Consumer Staples
24,1238457600,415600000,2009,3,KMB,Kimberly-Clark,Consumer Staples
25,1246320000,415463918,2009,6,KMB,Kimberly-Clark,Consumer Staples
26,1254268800,415600000,2009,9,KMB,Kimberly-Clark,Consumer Staples
27,1269993600,414900000,2010,3,KMB,Kimberly-Clark,Consumer Staples
28,1277856000,415000000,2010,6,KMB,Kimberly-Clark,Consumer Staples
