,d,v,years,months,ticker_symbol,security,sector
0,985996800,1455000000,2001,3,MDLZ,Mondelez International,Consumer Staples
1,993859200,1530303030,2001,6,MDLZ,Mondelez International,Consumer Staples
2,1025395200,1732692308,2002,6,MDLZ,Mondelez International,Consumer Staples
3,1088553600,1702439024,2004,6,MDLZ,Mondelez International,Consumer Staples
4,1112227200,1697619048,2005,3,MDLZ,Mondelez International,Consumer Staples
5,1120089600,1685714286,2005,6,MDLZ,Mondelez International,Consumer Staples
6,1128038400,1685000000,2005,9,MDLZ,Mondelez International,Consumer Staples
7,1143763200,1649180328,2006,3,MDLZ,Mondelez International,Consumer Staples
8,1159574400,1626086957,2006,9,MDLZ,Mondelez International,Consumer Staples
9,1175299200,1632558140,2007,3,MDLZ,Mondelez International,Consumer Staples
10,1183161600,1571111111,2007,6,MDLZ,Mondelez International,Consumer Staples
11,1191110400,1568421053,2007,9,MDLZ,Mondelez International,Consumer Staples
12,1206921600,1518000000,2008,3,MDLZ,Mondelez International,Consumer Staples
13,1214784000,1508000000,2008,6,MDLZ,Mondelez International,Consumer Staples
14,1222732800,1479000000,2008,9,MDLZ,Mondelez International,Consumer Staples
15,1254268800,1479000000,2009,9,MDLZ,Mondelez International,Consumer Staples
16,1269993600,1614000000,2010,3,MDLZ,Mondelez International,Consumer Staples
17,1277856000,1747000000,2010,6,MDLZ,Mondelez International,Consumer Staples
18,1285804800,1748000000,2010,9,MDLZ,Mondelez International,Consumer Staples
19,1309392000,1764000000,2011,6,MDLZ,Mondelez International,Consumer Staples
20,1317340800,1770000000,2011,9,MDLZ,Mondelez International,Consumer Staples
21,1333152000,1773000000,2012,3,MDLZ,Mondelez International,Consumer Staples
22,1364688000,1784000000,2013,3,MDLZ,Mondelez International,Consumer Staples
23,1372550400,1788000000,2013,6,MDLZ,Mondelez International,Consumer Staples
24,1380499200,1779000000,2013,9,MDLZ,Mondelez International,Consumer Staples
25,1396224000,1704000000,2014,3,MDLZ,Mondelez International,Consumer Staples
26,1412035200,1688000000,2014,9,MDLZ,Mondelez International,Consumer Staples
27,1419984000,1677000000,2014,12,MDLZ,Mondelez International,Consumer Staples
28,1427760000,1648000000,2015,3,MDLZ,Mondelez International,Consumer Staples
29,1435622400,1625000000,2015,6,MDLZ,Mondelez International,Consumer Staples
30,1443571200,1609000000,2015,9,MDLZ,Mondelez International,Consumer Staples
31,1451520000,1589000000,2015,12,MDLZ,Mondelez International,Consumer Staples
32,1459382400,1569000000,2016,3,MDLZ,Mondelez International,Consumer Staples
33,1467244800,1557000000,2016,6,MDLZ,Mondelez International,Consumer Staples
34,1475193600,1557000000,2016,9,MDLZ,Mondelez International,Consumer Staples
35,1483142400,1540000000,2016,12,MDLZ,Mondelez International,Consumer Staples
36,1490918400,1529000000,2017,3,MDLZ,Mondelez International,Consumer Staples
37,1498780800,1519000000,2017,6,MDLZ,Mondelez International,Consumer Staples
38,1506729600,1507000000,2017,9,MDLZ,Mondelez International,Consumer Staples
39,1530316800,1475000000,2018,6,MDLZ,Mondelez International,Consumer Staples
40,1538265600,1466000000,2018,9,MDLZ,Mondelez International,Consumer Staples
41,1546214400,1457000000,2018,12,MDLZ,Mondelez International,Consumer Staples
42,1553990400,1449000000,2019,3,MDLZ,Mondelez International,Consumer Staples
43,1569801600,1445000000,2019,9,MDLZ,Mondelez International,Consumer Staples
44,1577750400,1441000000,2019,12,MDLZ,Mondelez International,Consumer Staples
45,1593475200,1431000000,2020,6,MDLZ,Mondelez International,Consumer Staples
46,1601424000,1432000000,2020,9,MDLZ,Mondelez International,Consumer Staples
47,1609372800,1429000000,2020,12,MDLZ,Mondelez International,Consumer Staples
48,1625011200,1407000000,2021,6,MDLZ,Mondelez International,Consumer Staples
49,1632960000,1399000000,2021,9,MDLZ,Mondelez International,Consumer Staples
50,1640908800,1396000000,2021,12,MDLZ,Mondelez International,Consumer Staples
51,1648684800,1389000000,2022,3,MDLZ,Mondelez International,Consumer Staples
52,1656547200,1382000000,2022,6,MDLZ,Mondelez International,Consumer Staples
53,1668714921,1382000000,2022,11,MDLZ,Mondelez International,Consumer Staples
