,d,v,years,months,ticker_symbol,security,sector
0,983318400,272676923,2001,2,MKC,McCormick & Company,Consumer Staples
1,991267200,273189744,2001,5,MKC,McCormick & Company,Consumer Staples
2,999216000,274496000,2001,8,MKC,McCormick & Company,Consumer Staples
3,1014854400,278428356,2002,2,MKC,McCormick & Company,Consumer Staples
4,1022803200,280108333,2002,5,MKC,McCormick & Company,Consumer Staples
5,1030752000,281416000,2002,8,MKC,McCormick & Company,Consumer Staples
6,1046390400,281112000,2003,2,MKC,McCormick & Company,Consumer Staples
7,1054339200,278404000,2003,5,MKC,McCormick & Company,Consumer Staples
8,1062288000,278894000,2003,8,MKC,McCormick & Company,Consumer Staples
9,1078012800,274714000,2004,2,MKC,McCormick & Company,Consumer Staples
10,1085961600,275358000,2004,5,MKC,McCormick & Company,Consumer Staples
11,1093910400,273922000,2004,8,MKC,McCormick & Company,Consumer Staples
12,1109548800,271298000,2005,2,MKC,McCormick & Company,Consumer Staples
13,1117497600,269484000,2005,5,MKC,McCormick & Company,Consumer Staples
14,1125446400,267912000,2005,8,MKC,McCormick & Company,Consumer Staples
15,1141084800,265222000,2006,2,MKC,McCormick & Company,Consumer Staples
16,1149033600,264364000,2006,5,MKC,McCormick & Company,Consumer Staples
17,1156982400,263174000,2006,8,MKC,McCormick & Company,Consumer Staples
18,1172620800,260688000,2007,2,MKC,McCormick & Company,Consumer Staples
19,1180569600,260300000,2007,5,MKC,McCormick & Company,Consumer Staples
20,1188518400,258192000,2007,8,MKC,McCormick & Company,Consumer Staples
21,1204243200,255900000,2008,2,MKC,McCormick & Company,Consumer Staples
22,1212192000,257400000,2008,5,MKC,McCormick & Company,Consumer Staples
23,1220140800,258600000,2008,8,MKC,McCormick & Company,Consumer Staples
24,1235779200,260600000,2009,2,MKC,McCormick & Company,Consumer Staples
25,1243728000,261200000,2009,5,MKC,McCormick & Company,Consumer Staples
26,1251676800,261800000,2009,8,MKC,McCormick & Company,Consumer Staples
27,1267315200,264600000,2010,2,MKC,McCormick & Company,Consumer Staples
28,1275264000,266200000,2010,5,MKC,McCormick & Company,Consumer Staples
29,1283212800,266600000,2010,8,MKC,McCormick & Company,Consumer Staples
30,1298851200,265800000,2011,2,MKC,McCormick & Company,Consumer Staples
31,1306800000,264800000,2011,5,MKC,McCormick & Company,Consumer Staples
32,1314748800,265200000,2011,8,MKC,McCormick & Company,Consumer Staples
33,1322611200,265800000,2011,11,MKC,McCormick & Company,Consumer Staples
34,1330473600,266200000,2012,2,MKC,McCormick & Company,Consumer Staples
35,1338422400,265200000,2012,5,MKC,McCormick & Company,Consumer Staples
36,1346371200,265400000,2012,8,MKC,McCormick & Company,Consumer Staples
37,1354233600,265000000,2012,11,MKC,McCormick & Company,Consumer Staples
38,1362009600,265000000,2013,2,MKC,McCormick & Company,Consumer Staples
39,1369958400,264200000,2013,5,MKC,McCormick & Company,Consumer Staples
40,1377907200,264200000,2013,8,MKC,McCormick & Company,Consumer Staples
41,1393545600,262200000,2014,2,MKC,McCormick & Company,Consumer Staples
42,1401494400,260400000,2014,5,MKC,McCormick & Company,Consumer Staples
43,1409443200,259200000,2014,8,MKC,McCormick & Company,Consumer Staples
44,1417305600,257600000,2014,11,MKC,McCormick & Company,Consumer Staples
45,1425081600,256400000,2015,2,MKC,McCormick & Company,Consumer Staples
46,1433030400,255800000,2015,5,MKC,McCormick & Company,Consumer Staples
47,1440979200,256000000,2015,8,MKC,McCormick & Company,Consumer Staples
48,1448841600,255600000,2015,11,MKC,McCormick & Company,Consumer Staples
49,1456704000,254200000,2016,2,MKC,McCormick & Company,Consumer Staples
50,1464652800,253800000,2016,5,MKC,McCormick & Company,Consumer Staples
51,1472601600,252800000,2016,8,MKC,McCormick & Company,Consumer Staples
52,1480464000,251600000,2016,11,MKC,McCormick & Company,Consumer Staples
53,1488240000,250200000,2017,2,MKC,McCormick & Company,Consumer Staples
54,1496188800,249400000,2017,5,MKC,McCormick & Company,Consumer Staples
55,1504137600,252600000,2017,8,MKC,McCormick & Company,Consumer Staples
56,1512000000,262200000,2017,11,MKC,McCormick & Company,Consumer Staples
57,1519776000,262400000,2018,2,MKC,McCormick & Company,Consumer Staples
58,1527724800,262800000,2018,5,MKC,McCormick & Company,Consumer Staples
59,1535673600,263200000,2018,8,MKC,McCormick & Company,Consumer Staples
60,1543536000,264197531,2018,11,MKC,McCormick & Company,Consumer Staples
61,1551312000,264400000,2019,2,MKC,McCormick & Company,Consumer Staples
62,1559260800,264600000,2019,5,MKC,McCormick & Company,Consumer Staples
63,1567209600,265600000,2019,8,MKC,McCormick & Company,Consumer Staples
64,1575072000,266000000,2019,11,MKC,McCormick & Company,Consumer Staples
65,1582934400,266000000,2020,2,MKC,McCormick & Company,Consumer Staples
66,1590883200,266200000,2020,5,MKC,McCormick & Company,Consumer Staples
67,1598832000,266600000,2020,8,MKC,McCormick & Company,Consumer Staples
68,1606694400,267000000,2020,11,MKC,McCormick & Company,Consumer Staples
69,1614470400,267100000,2021,2,MKC,McCormick & Company,Consumer Staples
70,1622419200,267300000,2021,5,MKC,McCormick & Company,Consumer Staples
71,1630368000,267400000,2021,8,MKC,McCormick & Company,Consumer Staples
72,1646006400,267800000,2022,2,MKC,McCormick & Company,Consumer Staples
73,1653955200,268300000,2022,5,MKC,McCormick & Company,Consumer Staples
74,1668714885,268300000,2022,11,MKC,McCormick & Company,Consumer Staples
