,d,v,years,months,ticker_symbol,security,sector
0,985996800,221400000,2001,3,TSN,Tyson Foods,Consumer Staples
1,993859200,220700000,2001,6,TSN,Tyson Foods,Consumer Staples
2,1009756800,348000000,2001,12,TSN,Tyson Foods,Consumer Staples
3,1017532800,348000000,2002,3,TSN,Tyson Foods,Consumer Staples
4,1025395200,348000000,2002,6,TSN,Tyson Foods,Consumer Staples
5,1041292800,347000000,2002,12,TSN,Tyson Foods,Consumer Staples
6,1049068800,346000000,2003,3,TSN,Tyson Foods,Consumer Staples
7,1056931200,345000000,2003,6,TSN,Tyson Foods,Consumer Staples
8,1072828800,345000000,2003,12,TSN,Tyson Foods,Consumer Staples
9,1080691200,345000000,2004,3,TSN,Tyson Foods,Consumer Staples
10,1088553600,345000000,2004,6,TSN,Tyson Foods,Consumer Staples
11,1104451200,242000000,2004,12,TSN,Tyson Foods,Consumer Staples
12,1112227200,242000000,2005,3,TSN,Tyson Foods,Consumer Staples
13,1120089600,243000000,2005,6,TSN,Tyson Foods,Consumer Staples
14,1135987200,243000000,2005,12,TSN,Tyson Foods,Consumer Staples
15,1143763200,346000000,2006,3,TSN,Tyson Foods,Consumer Staples
16,1151625600,249000000,2006,6,TSN,Tyson Foods,Consumer Staples
17,1167523200,264000000,2006,12,TSN,Tyson Foods,Consumer Staples
18,1175299200,271000000,2007,3,TSN,Tyson Foods,Consumer Staples
19,1183161600,279000000,2007,6,TSN,Tyson Foods,Consumer Staples
20,1199059200,279000000,2007,12,TSN,Tyson Foods,Consumer Staples
21,1206921600,350000000,2008,3,TSN,Tyson Foods,Consumer Staples
22,1214784000,280000000,2008,6,TSN,Tyson Foods,Consumer Staples
23,1230681600,303000000,2008,12,TSN,Tyson Foods,Consumer Staples
24,1238457600,303000000,2009,3,TSN,Tyson Foods,Consumer Staples
25,1246320000,302000000,2009,6,TSN,Tyson Foods,Consumer Staples
26,1262217600,303000000,2009,12,TSN,Tyson Foods,Consumer Staples
27,1269993600,303000000,2010,3,TSN,Tyson Foods,Consumer Staples
28,1277856000,304000000,2010,6,TSN,Tyson Foods,Consumer Staples
29,1293753600,304000000,2010,12,TSN,Tyson Foods,Consumer Staples
30,1301529600,305000000,2011,3,TSN,Tyson Foods,Consumer Staples
31,1309392000,304000000,2011,6,TSN,Tyson Foods,Consumer Staples
32,1325289600,297000000,2011,12,TSN,Tyson Foods,Consumer Staples
33,1333152000,294000000,2012,3,TSN,Tyson Foods,Consumer Staples
34,1341014400,291000000,2012,6,TSN,Tyson Foods,Consumer Staples
35,1356912000,355000000,2012,12,TSN,Tyson Foods,Consumer Staples
36,1364688000,353000000,2013,3,TSN,Tyson Foods,Consumer Staples
37,1372550400,353000000,2013,6,TSN,Tyson Foods,Consumer Staples
38,1388448000,341000000,2013,12,TSN,Tyson Foods,Consumer Staples
39,1396224000,343000000,2014,3,TSN,Tyson Foods,Consumer Staples
40,1404086400,350000000,2014,6,TSN,Tyson Foods,Consumer Staples
41,1419984000,406000000,2014,12,TSN,Tyson Foods,Consumer Staples
42,1427760000,404000000,2015,3,TSN,Tyson Foods,Consumer Staples
43,1435622400,405000000,2015,6,TSN,Tyson Foods,Consumer Staples
44,1451520000,395000000,2015,12,TSN,Tyson Foods,Consumer Staples
45,1459382400,388000000,2016,3,TSN,Tyson Foods,Consumer Staples
46,1467244800,382000000,2016,6,TSN,Tyson Foods,Consumer Staples
47,1483142400,367000000,2016,12,TSN,Tyson Foods,Consumer Staples
48,1490918400,365000000,2017,3,TSN,Tyson Foods,Consumer Staples
49,1498780800,366000000,2017,6,TSN,Tyson Foods,Consumer Staples
50,1506729600,366000000,2017,9,TSN,Tyson Foods,Consumer Staples
51,1514678400,366000000,2017,12,TSN,Tyson Foods,Consumer Staples
52,1522454400,366000000,2018,3,TSN,Tyson Foods,Consumer Staples
53,1530316800,365000000,2018,6,TSN,Tyson Foods,Consumer Staples
54,1538265600,364000000,2018,9,TSN,Tyson Foods,Consumer Staples
55,1546214400,364000000,2018,12,TSN,Tyson Foods,Consumer Staples
56,1553990400,364000000,2019,3,TSN,Tyson Foods,Consumer Staples
57,1561852800,363000000,2019,6,TSN,Tyson Foods,Consumer Staples
58,1569801600,363000000,2019,9,TSN,Tyson Foods,Consumer Staples
59,1577750400,363000000,2019,12,TSN,Tyson Foods,Consumer Staples
60,1585612800,363000000,2020,3,TSN,Tyson Foods,Consumer Staples
61,1593475200,362000000,2020,6,TSN,Tyson Foods,Consumer Staples
62,1601424000,362000000,2020,9,TSN,Tyson Foods,Consumer Staples
63,1609372800,363000000,2020,12,TSN,Tyson Foods,Consumer Staples
64,1617148800,363000000,2021,3,TSN,Tyson Foods,Consumer Staples
65,1625011200,363000000,2021,6,TSN,Tyson Foods,Consumer Staples
66,1632960000,363000000,2021,9,TSN,Tyson Foods,Consumer Staples
67,1640908800,362000000,2021,12,TSN,Tyson Foods,Consumer Staples
68,1648684800,361000000,2022,3,TSN,Tyson Foods,Consumer Staples
69,1656547200,359000000,2022,6,TSN,Tyson Foods,Consumer Staples
70,1668715031,359000000,2022,11,TSN,Tyson Foods,Consumer Staples
