,d,v,years,months,ticker_symbol,security,sector
0,983318400,1015800000,2001,2,WBA,Walgreens Boots Alliance,Consumer Staples
1,991267200,1018000000,2001,5,WBA,Walgreens Boots Alliance,Consumer Staples
2,1007078400,1020100000,2001,11,WBA,Walgreens Boots Alliance,Consumer Staples
3,1014854400,1022100000,2002,2,WBA,Walgreens Boots Alliance,Consumer Staples
4,1022803200,1023600000,2002,5,WBA,Walgreens Boots Alliance,Consumer Staples
5,1038614400,1024900000,2002,11,WBA,Walgreens Boots Alliance,Consumer Staples
6,1046390400,1024900000,2003,2,WBA,Walgreens Boots Alliance,Consumer Staples
7,1054339200,1024900000,2003,5,WBA,Walgreens Boots Alliance,Consumer Staples
8,1070150400,1025000000,2003,11,WBA,Walgreens Boots Alliance,Consumer Staples
9,1078012800,1024200000,2004,2,WBA,Walgreens Boots Alliance,Consumer Staples
10,1085961600,1023300000,2004,5,WBA,Walgreens Boots Alliance,Consumer Staples
11,1101772800,1022600000,2004,11,WBA,Walgreens Boots Alliance,Consumer Staples
12,1109548800,1021600000,2005,2,WBA,Walgreens Boots Alliance,Consumer Staples
13,1117497600,1019500000,2005,5,WBA,Walgreens Boots Alliance,Consumer Staples
14,1133308800,1012800000,2005,11,WBA,Walgreens Boots Alliance,Consumer Staples
15,1141084800,1010700000,2006,2,WBA,Walgreens Boots Alliance,Consumer Staples
16,1149033600,1008800000,2006,5,WBA,Walgreens Boots Alliance,Consumer Staples
17,1164844800,1005200000,2006,11,WBA,Walgreens Boots Alliance,Consumer Staples
18,1172620800,999600000,2007,2,WBA,Walgreens Boots Alliance,Consumer Staples
19,1180569600,995800000,2007,5,WBA,Walgreens Boots Alliance,Consumer Staples
20,1196380800,991300000,2007,11,WBA,Walgreens Boots Alliance,Consumer Staples
21,1204243200,991100000,2008,2,WBA,Walgreens Boots Alliance,Consumer Staples
22,1212192000,990200000,2008,5,WBA,Walgreens Boots Alliance,Consumer Staples
23,1228003200,988600000,2008,11,WBA,Walgreens Boots Alliance,Consumer Staples
24,1235779200,988000000,2009,2,WBA,Walgreens Boots Alliance,Consumer Staples
25,1243728000,992000000,2009,5,WBA,Walgreens Boots Alliance,Consumer Staples
26,1259539200,988400000,2009,11,WBA,Walgreens Boots Alliance,Consumer Staples
27,1267315200,982900000,2010,2,WBA,Walgreens Boots Alliance,Consumer Staples
28,1275264000,976400000,2010,5,WBA,Walgreens Boots Alliance,Consumer Staples
29,1291075200,928800000,2010,11,WBA,Walgreens Boots Alliance,Consumer Staples
