,d,v,years,months,ticker_symbol,security,sector
0,988588800,4471000000,2001,4,WMT,Walmart,Consumer Staples
1,996537600,4470000000,2001,7,WMT,Walmart,Consumer Staples
2,1004486400,4466000000,2001,10,WMT,Walmart,Consumer Staples
3,1020124800,4452000000,2002,4,WMT,Walmart,Consumer Staples
4,1028073600,4438000000,2002,7,WMT,Walmart,Consumer Staples
5,1036022400,4421000000,2002,10,WMT,Walmart,Consumer Staples
6,1051660800,4386000000,2003,4,WMT,Walmart,Consumer Staples
7,1059609600,4378000000,2003,7,WMT,Walmart,Consumer Staples
8,1067558400,4362000000,2003,10,WMT,Walmart,Consumer Staples
9,1083283200,4294000000,2004,4,WMT,Walmart,Consumer Staples
10,1091232000,4264000000,2004,7,WMT,Walmart,Consumer Staples
11,1099180800,4242000000,2004,10,WMT,Walmart,Consumer Staples
12,1114819200,4228000000,2005,4,WMT,Walmart,Consumer Staples
13,1122768000,4175000000,2005,7,WMT,Walmart,Consumer Staples
14,1130716800,4165000000,2005,10,WMT,Walmart,Consumer Staples
15,1146355200,4167000000,2006,4,WMT,Walmart,Consumer Staples
16,1154304000,4168000000,2006,7,WMT,Walmart,Consumer Staples
17,1162252800,4169000000,2006,10,WMT,Walmart,Consumer Staples
18,1177891200,4122000000,2007,4,WMT,Walmart,Consumer Staples
19,1185840000,4102000000,2007,7,WMT,Walmart,Consumer Staples
20,1193788800,4051000000,2007,10,WMT,Walmart,Consumer Staples
21,1209513600,3957000000,2008,4,WMT,Walmart,Consumer Staples
22,1217462400,3945000000,2008,7,WMT,Walmart,Consumer Staples
23,1225411200,3931000000,2008,10,WMT,Walmart,Consumer Staples
24,1233360000,3924000000,2009,1,WMT,Walmart,Consumer Staples
25,1241049600,3920000000,2009,4,WMT,Walmart,Consumer Staples
26,1248998400,3891000000,2009,7,WMT,Walmart,Consumer Staples
27,1256947200,3851000000,2009,10,WMT,Walmart,Consumer Staples
28,1264896000,3805000000,2010,1,WMT,Walmart,Consumer Staples
29,1272585600,3765000000,2010,4,WMT,Walmart,Consumer Staples
30,1280534400,3696000000,2010,7,WMT,Walmart,Consumer Staples
31,1288483200,3617000000,2010,10,WMT,Walmart,Consumer Staples
32,1296432000,3549000000,2011,1,WMT,Walmart,Consumer Staples
33,1304121600,3497000000,2011,4,WMT,Walmart,Consumer Staples
34,1312070400,3472000000,2011,7,WMT,Walmart,Consumer Staples
35,1320019200,3445000000,2011,10,WMT,Walmart,Consumer Staples
36,1327968000,3426000000,2012,1,WMT,Walmart,Consumer Staples
37,1335744000,3409000000,2012,4,WMT,Walmart,Consumer Staples
38,1343692800,3384000000,2012,7,WMT,Walmart,Consumer Staples
39,1351641600,3364000000,2012,10,WMT,Walmart,Consumer Staples
40,1359590400,3340000000,2013,1,WMT,Walmart,Consumer Staples
41,1367280000,3301000000,2013,4,WMT,Walmart,Consumer Staples
42,1375228800,3278000000,2013,7,WMT,Walmart,Consumer Staples
43,1383177600,3257000000,2013,10,WMT,Walmart,Consumer Staples
44,1391126400,3240000000,2014,1,WMT,Walmart,Consumer Staples
45,1398816000,3233000000,2014,4,WMT,Walmart,Consumer Staples
46,1406764800,3230000000,2014,7,WMT,Walmart,Consumer Staples
47,1414713600,3229000000,2014,10,WMT,Walmart,Consumer Staples
48,1422662400,3230000000,2015,1,WMT,Walmart,Consumer Staples
49,1430352000,3231000000,2015,4,WMT,Walmart,Consumer Staples
50,1438300800,3221000000,2015,7,WMT,Walmart,Consumer Staples
51,1446249600,3210000000,2015,10,WMT,Walmart,Consumer Staples
52,1454198400,3186000000,2016,1,WMT,Walmart,Consumer Staples
53,1461974400,3144000000,2016,4,WMT,Walmart,Consumer Staples
54,1469923200,3109000000,2016,7,WMT,Walmart,Consumer Staples
55,1477872000,3089000000,2016,10,WMT,Walmart,Consumer Staples
56,1485820800,3065000000,2017,1,WMT,Walmart,Consumer Staples
57,1493510400,3035000000,2017,4,WMT,Walmart,Consumer Staples
58,1501459200,3008000000,2017,7,WMT,Walmart,Consumer Staples
59,1509408000,2981000000,2017,10,WMT,Walmart,Consumer Staples
60,1517356800,2959000000,2018,1,WMT,Walmart,Consumer Staples
61,1525046400,2950000000,2018,4,WMT,Walmart,Consumer Staples
62,1532995200,2946000000,2018,7,WMT,Walmart,Consumer Staples
63,1540944000,2924000000,2018,10,WMT,Walmart,Consumer Staples
64,1548892800,2896000000,2019,1,WMT,Walmart,Consumer Staples
65,1556582400,2869000000,2019,4,WMT,Walmart,Consumer Staples
66,1564531200,2853000000,2019,7,WMT,Walmart,Consumer Staples
67,1572480000,2843000000,2019,10,WMT,Walmart,Consumer Staples
68,1580428800,2836000000,2020,1,WMT,Walmart,Consumer Staples
69,1588204800,2831000000,2020,4,WMT,Walmart,Consumer Staples
70,1596153600,2832000000,2020,7,WMT,Walmart,Consumer Staples
71,1604102400,2833000000,2020,10,WMT,Walmart,Consumer Staples
72,1612051200,2826000000,2021,1,WMT,Walmart,Consumer Staples
73,1619740800,2815000000,2021,4,WMT,Walmart,Consumer Staples
74,1627689600,2799000000,2021,7,WMT,Walmart,Consumer Staples
75,1635638400,2785000000,2021,10,WMT,Walmart,Consumer Staples
76,1651276800,2754000000,2022,4,WMT,Walmart,Consumer Staples
77,1659225600,2736000000,2022,7,WMT,Walmart,Consumer Staples
78,1668715061,2736000000,2022,11,WMT,Walmart,Consumer Staples
