,d,v,years,months,ticker_symbol,security,sector
0,985996800,285958406,2001,3,APA,APA Corporation,Energy
1,993859200,290003175,2001,6,APA,APA Corporation,Energy
2,1001808000,287661270,2001,9,APA,APA Corporation,Energy
3,1017532800,289280727,2002,3,APA,APA Corporation,Energy
4,1025395200,294883235,2002,6,APA,APA Corporation,Energy
5,1033344000,301738812,2002,9,APA,APA Corporation,Energy
6,1049068800,318404717,2003,3,APA,APA Corporation,Energy
7,1056931200,323948000,2003,6,APA,APA Corporation,Energy
8,1064880000,324165882,2003,9,APA,APA Corporation,Energy
9,1080691200,324919626,2004,3,APA,APA Corporation,Energy
10,1088553600,326068421,2004,6,APA,APA Corporation,Energy
11,1096502400,327511364,2004,9,APA,APA Corporation,Energy
12,1112227200,328860588,2005,3,APA,APA Corporation,Energy
13,1120089600,327715084,2005,6,APA,APA Corporation,Energy
14,1128038400,329603365,2005,9,APA,APA Corporation,Energy
15,1143763200,329750500,2006,3,APA,APA Corporation,Energy
16,1151625600,329773973,2006,6,APA,APA Corporation,Energy
17,1159574400,329410204,2006,9,APA,APA Corporation,Energy
18,1175299200,332114189,2007,3,APA,APA Corporation,Energy
19,1183161600,330951832,2007,6,APA,APA Corporation,Energy
20,1191110400,332569565,2007,9,APA,APA Corporation,Energy
21,1206921600,333363725,2008,3,APA,APA Corporation,Energy
22,1214784000,334215046,2008,6,APA,APA Corporation,Energy
23,1222732800,334825000,2008,9,APA,APA Corporation,Energy
24,1238457600,335104000,2009,3,APA,APA Corporation,Energy
25,1246320000,335637000,2009,6,APA,APA Corporation,Energy
26,1254268800,336159000,2009,9,APA,APA Corporation,Energy
27,1269993600,336924000,2010,3,APA,APA Corporation,Energy
28,1277856000,338000000,2010,6,APA,APA Corporation,Energy
29,1285804800,356718000,2010,9,APA,APA Corporation,Energy
30,1301529600,383000000,2011,3,APA,APA Corporation,Energy
31,1309392000,384000000,2011,6,APA,APA Corporation,Energy
32,1317340800,384000000,2011,9,APA,APA Corporation,Energy
33,1325289600,384000000,2011,12,APA,APA Corporation,Energy
34,1333152000,385000000,2012,3,APA,APA Corporation,Energy
35,1341014400,389000000,2012,6,APA,APA Corporation,Energy
36,1348963200,391000000,2012,9,APA,APA Corporation,Energy
37,1356912000,391000000,2012,12,APA,APA Corporation,Energy
38,1364688000,392000000,2013,3,APA,APA Corporation,Energy
39,1372550400,392000000,2013,6,APA,APA Corporation,Energy
40,1380499200,399000000,2013,9,APA,APA Corporation,Energy
41,1388448000,399000000,2013,12,APA,APA Corporation,Energy
42,1396224000,394000000,2014,3,APA,APA Corporation,Energy
43,1404086400,385000000,2014,6,APA,APA Corporation,Energy
44,1412035200,381000000,2014,9,APA,APA Corporation,Energy
45,1419984000,377000000,2014,12,APA,APA Corporation,Energy
46,1427760000,377000000,2015,3,APA,APA Corporation,Energy
47,1435622400,378000000,2015,6,APA,APA Corporation,Energy
48,1443571200,378000000,2015,9,APA,APA Corporation,Energy
49,1451520000,378000000,2015,12,APA,APA Corporation,Energy
50,1459382400,378000000,2016,3,APA,APA Corporation,Energy
51,1467244800,379000000,2016,6,APA,APA Corporation,Energy
52,1475193600,380000000,2016,9,APA,APA Corporation,Energy
53,1483142400,380000000,2016,12,APA,APA Corporation,Energy
54,1490918400,380000000,2017,3,APA,APA Corporation,Energy
55,1498780800,381000000,2017,6,APA,APA Corporation,Energy
56,1506729600,381000000,2017,9,APA,APA Corporation,Energy
57,1514678400,381000000,2017,12,APA,APA Corporation,Energy
58,1522454400,382000000,2018,3,APA,APA Corporation,Energy
59,1530316800,382000000,2018,6,APA,APA Corporation,Energy
60,1538265600,383000000,2018,9,APA,APA Corporation,Energy
61,1546214400,379000000,2018,12,APA,APA Corporation,Energy
62,1553990400,376000000,2019,3,APA,APA Corporation,Energy
63,1561852800,377000000,2019,6,APA,APA Corporation,Energy
64,1569801600,377000000,2019,9,APA,APA Corporation,Energy
65,1577750400,377000000,2019,12,APA,APA Corporation,Energy
66,1585612800,378000000,2020,3,APA,APA Corporation,Energy
67,1593475200,378000000,2020,6,APA,APA Corporation,Energy
68,1601424000,378000000,2020,9,APA,APA Corporation,Energy
69,1609372800,378000000,2020,12,APA,APA Corporation,Energy
70,1617148800,378000000,2021,3,APA,APA Corporation,Energy
71,1625011200,378000000,2021,6,APA,APA Corporation,Energy
72,1632960000,379000000,2021,9,APA,APA Corporation,Energy
73,1640908800,361000000,2021,12,APA,APA Corporation,Energy
74,1648684800,346000000,2022,3,APA,APA Corporation,Energy
75,1656547200,341000000,2022,6,APA,APA Corporation,Energy
76,1668718406,341000000,2022,11,APA,APA Corporation,Energy
