,d,v,years,months,ticker_symbol,security,sector
0,1475193600,429000000,2016,9,BKR,Baker Hughes,Energy
1,1490918400,429000000,2017,3,BKR,Baker Hughes,Energy
2,1498780800,425483244,2017,6,BKR,Baker Hughes,Energy
3,1506729600,428000000,2017,9,BKR,Baker Hughes,Energy
4,1514678400,427000000,2017,12,BKR,Baker Hughes,Energy
5,1522454400,421000000,2018,3,BKR,Baker Hughes,Energy
6,1530316800,414000000,2018,6,BKR,Baker Hughes,Energy
7,1538265600,412000000,2018,9,BKR,Baker Hughes,Energy
8,1546214400,467857143,2018,12,BKR,Baker Hughes,Energy
9,1553990400,533333333,2019,3,BKR,Baker Hughes,Energy
10,1561852800,515000000,2019,6,BKR,Baker Hughes,Energy
11,1569801600,538000000,2019,9,BKR,Baker Hughes,Energy
12,1577750400,650000000,2019,12,BKR,Baker Hughes,Energy
13,1585612800,653000000,2020,3,BKR,Baker Hughes,Energy
14,1593475200,655000000,2020,6,BKR,Baker Hughes,Energy
15,1601424000,676000000,2020,9,BKR,Baker Hughes,Energy
16,1609372800,713000000,2020,12,BKR,Baker Hughes,Energy
17,1617148800,740000000,2021,3,BKR,Baker Hughes,Energy
18,1625011200,806000000,2021,6,BKR,Baker Hughes,Energy
19,1632960000,851000000,2021,9,BKR,Baker Hughes,Energy
20,1640908800,896000000,2021,12,BKR,Baker Hughes,Energy
21,1648684800,938000000,2022,3,BKR,Baker Hughes,Energy
22,1656547200,1001000000,2022,6,BKR,Baker Hughes,Energy
23,1668718422,1008000000,2022,11,BKR,Baker Hughes,Energy
