,d,v,years,months,ticker_symbol,security,sector
0,985996800,511112000,2001,3,COP,ConocoPhillips,Energy
1,993859200,511618000,2001,6,COP,ConocoPhillips,Energy
2,1001808000,555644000,2001,9,COP,ConocoPhillips,Energy
3,1017532800,764674000,2002,3,COP,ConocoPhillips,Energy
4,1025395200,767826000,2002,6,COP,ConocoPhillips,Energy
5,1033344000,961402000,2002,9,COP,ConocoPhillips,Energy
6,1049068800,1359076000,2003,3,COP,ConocoPhillips,Energy
7,1056931200,1360056000,2003,6,COP,ConocoPhillips,Energy
8,1064880000,1361378000,2003,9,COP,ConocoPhillips,Energy
9,1080691200,1371082000,2004,3,COP,ConocoPhillips,Energy
10,1088553600,1379380000,2004,6,COP,ConocoPhillips,Energy
11,1096502400,1383652000,2004,9,COP,ConocoPhillips,Energy
12,1112227200,1397892000,2005,3,COP,ConocoPhillips,Energy
13,1120089600,1396724000,2005,6,COP,ConocoPhillips,Energy
14,1128038400,1393943000,2005,9,COP,ConocoPhillips,Energy
15,1143763200,1382925000,2006,3,COP,ConocoPhillips,Energy
16,1151625600,1654758000,2006,6,COP,ConocoPhillips,Energy
17,1159574400,1652623000,2006,9,COP,ConocoPhillips,Energy
18,1175299200,1647352000,2007,3,COP,ConocoPhillips,Energy
19,1183161600,1635848000,2007,6,COP,ConocoPhillips,Energy
20,1191110400,1622456000,2007,9,COP,ConocoPhillips,Energy
21,1206921600,1562198000,2008,3,COP,ConocoPhillips,Energy
22,1214784000,1534975000,2008,6,COP,ConocoPhillips,Energy
23,1222732800,1510897000,2008,9,COP,ConocoPhillips,Energy
24,1238457600,1485890000,2009,3,COP,ConocoPhillips,Energy
25,1246320000,1485890000,2009,6,COP,ConocoPhillips,Energy
26,1254268800,1488352000,2009,9,COP,ConocoPhillips,Energy
27,1269993600,1492861000,2010,3,COP,ConocoPhillips,Energy
28,1277856000,1492861000,2010,6,COP,ConocoPhillips,Energy
29,1285804800,1481522000,2010,9,COP,ConocoPhillips,Energy
30,1301529600,1432285000,2011,3,COP,ConocoPhillips,Energy
31,1309392000,1399473000,2011,6,COP,ConocoPhillips,Energy
32,1317340800,1357710000,2011,9,COP,ConocoPhillips,Energy
33,1333152000,1283493000,2012,3,COP,ConocoPhillips,Energy
34,1341014400,1248300000,2012,6,COP,ConocoPhillips,Energy
35,1348963200,1283493000,2012,9,COP,ConocoPhillips,Energy
36,1356912000,1223422000,2012,12,COP,ConocoPhillips,Energy
37,1364688000,1229232000,2013,3,COP,ConocoPhillips,Energy
38,1372550400,1229773000,2013,6,COP,ConocoPhillips,Energy
39,1380499200,1231054000,2013,9,COP,ConocoPhillips,Energy
40,1388448000,1233741000,2013,12,COP,ConocoPhillips,Energy
41,1396224000,1234968000,2014,3,COP,ConocoPhillips,Energy
42,1404086400,1236057000,2014,6,COP,ConocoPhillips,Energy
43,1412035200,1238234000,2014,9,COP,ConocoPhillips,Energy
44,1419984000,1239975000,2014,12,COP,ConocoPhillips,Energy
45,1427760000,1240791000,2015,3,COP,ConocoPhillips,Energy
46,1435622400,1241026000,2015,6,COP,ConocoPhillips,Energy
47,1443571200,1242125000,2015,9,COP,ConocoPhillips,Energy
48,1451520000,1243699000,2015,12,COP,ConocoPhillips,Energy
49,1459382400,1244557000,2016,3,COP,ConocoPhillips,Energy
50,1467244800,1244892000,2016,6,COP,ConocoPhillips,Energy
51,1475193600,1245961000,2016,9,COP,ConocoPhillips,Energy
52,1483142400,1246337000,2016,12,COP,ConocoPhillips,Energy
53,1490918400,1243280000,2017,3,COP,ConocoPhillips,Energy
54,1498780800,1236831000,2017,6,COP,ConocoPhillips,Energy
55,1506729600,1212454000,2017,9,COP,ConocoPhillips,Energy
56,1514678400,1192243000,2017,12,COP,ConocoPhillips,Energy
57,1522454400,1179792000,2018,3,COP,ConocoPhillips,Energy
58,1530316800,1172378000,2018,6,COP,ConocoPhillips,Energy
59,1538265600,1163033000,2018,9,COP,ConocoPhillips,Energy
60,1546214400,1151148000,2018,12,COP,ConocoPhillips,Energy
61,1553990400,1139463000,2019,3,COP,ConocoPhillips,Energy
62,1561852800,1125995000,2019,6,COP,ConocoPhillips,Energy
63,1569801600,1108555000,2019,9,COP,ConocoPhillips,Energy
64,1577750400,1095606000,2019,12,COP,ConocoPhillips,Energy
65,1585612800,1084561000,2020,3,COP,ConocoPhillips,Energy
66,1593475200,1076659000,2020,6,COP,ConocoPhillips,Energy
67,1601424000,1077377000,2020,9,COP,ConocoPhillips,Energy
68,1609372800,1073580000,2020,12,COP,ConocoPhillips,Energy
69,1617148800,1300375000,2021,3,COP,ConocoPhillips,Energy
70,1625011200,1348637000,2021,6,COP,ConocoPhillips,Energy
71,1632960000,1332286000,2021,9,COP,ConocoPhillips,Energy
72,1640908800,1315225000,2021,12,COP,ConocoPhillips,Energy
73,1648684800,1301930000,2022,3,COP,ConocoPhillips,Energy
74,1656547200,1289791000,2022,6,COP,ConocoPhillips,Energy
75,1668718455,1289791000,2022,11,COP,ConocoPhillips,Energy
