,d,v,years,months,ticker_symbol,security,sector
0,985996800,1284050000,2001,3,CVX,Chevron Corporation,Energy
1,993859200,1285768000,2001,6,CVX,Chevron Corporation,Energy
2,1001808000,1286652000,2001,9,CVX,Chevron Corporation,Energy
3,1017532800,2120160000,2002,3,CVX,Chevron Corporation,Energy
4,1025395200,2120868000,2002,6,CVX,Chevron Corporation,Energy
5,1033344000,2123266000,2002,9,CVX,Chevron Corporation,Energy
6,1049068800,2124034000,2003,3,CVX,Chevron Corporation,Energy
7,1056931200,2124512000,2003,6,CVX,Chevron Corporation,Energy
8,1064880000,2125436000,2003,9,CVX,Chevron Corporation,Energy
9,1080691200,2126818000,2004,3,CVX,Chevron Corporation,Energy
10,1088553600,2122794000,2004,6,CVX,Chevron Corporation,Energy
11,1096502400,2113431000,2004,9,CVX,Chevron Corporation,Energy
12,1112227200,2090609000,2005,3,CVX,Chevron Corporation,Energy
13,1120089600,2077743000,2005,6,CVX,Chevron Corporation,Energy
14,1128038400,2181387000,2005,9,CVX,Chevron Corporation,Energy
15,1143763200,2213980000,2006,3,CVX,Chevron Corporation,Energy
16,1151625600,2196134000,2006,6,CVX,Chevron Corporation,Energy
17,1159574400,2178472000,2006,9,CVX,Chevron Corporation,Energy
18,1175299200,2145518000,2007,3,CVX,Chevron Corporation,Energy
19,1183161600,2127763000,2007,6,CVX,Chevron Corporation,Energy
20,1191110400,2109345000,2007,9,CVX,Chevron Corporation,Energy
21,1206921600,2066420000,2008,3,CVX,Chevron Corporation,Energy
22,1214784000,2050773000,2008,6,CVX,Chevron Corporation,Energy
23,1222732800,2032433000,2008,9,CVX,Chevron Corporation,Energy
24,1238457600,1991128000,2009,3,CVX,Chevron Corporation,Energy
25,1246320000,1991605000,2009,6,CVX,Chevron Corporation,Energy
26,1254268800,1992452000,2009,9,CVX,Chevron Corporation,Energy
27,1269993600,1994983000,2010,3,CVX,Chevron Corporation,Energy
28,1277856000,1996393000,2010,6,CVX,Chevron Corporation,Energy
29,1285804800,1997721000,2010,9,CVX,Chevron Corporation,Energy
30,1293753600,1996786000,2010,12,CVX,Chevron Corporation,Energy
31,1301529600,1994735000,2011,3,CVX,Chevron Corporation,Energy
32,1309392000,1994007000,2011,6,CVX,Chevron Corporation,Energy
33,1317340800,1984643000,2011,9,CVX,Chevron Corporation,Energy
34,1325289600,1972803000,2011,12,CVX,Chevron Corporation,Energy
35,1333152000,1963862000,2012,3,CVX,Chevron Corporation,Energy
36,1341014400,1954147000,2012,6,CVX,Chevron Corporation,Energy
37,1348963200,1945840000,2012,9,CVX,Chevron Corporation,Energy
38,1356912000,1938257000,2012,12,CVX,Chevron Corporation,Energy
39,1364688000,1929014000,2013,3,CVX,Chevron Corporation,Energy
40,1372550400,1921391000,2013,6,CVX,Chevron Corporation,Energy
41,1380499200,1914047000,2013,9,CVX,Chevron Corporation,Energy
42,1388448000,1903930000,2013,12,CVX,Chevron Corporation,Energy
43,1396224000,1895032000,2014,3,CVX,Chevron Corporation,Energy
44,1404086400,1887543000,2014,6,CVX,Chevron Corporation,Energy
45,1412035200,1880915000,2014,9,CVX,Chevron Corporation,Energy
46,1419984000,1871332000,2014,12,CVX,Chevron Corporation,Energy
47,1427760000,1866655000,2015,3,CVX,Chevron Corporation,Energy
48,1435622400,1867561000,2015,6,CVX,Chevron Corporation,Energy
49,1443571200,1868444000,2015,9,CVX,Chevron Corporation,Energy
50,1451520000,1869072000,2015,12,CVX,Chevron Corporation,Energy
51,1459382400,1869775000,2016,3,CVX,Chevron Corporation,Energy
52,1467244800,1871995000,2016,6,CVX,Chevron Corporation,Energy
53,1475193600,1873649000,2016,9,CVX,Chevron Corporation,Energy
54,1483142400,1875694000,2016,12,CVX,Chevron Corporation,Energy
55,1490918400,1879372000,2017,3,CVX,Chevron Corporation,Energy
56,1498780800,1881019000,2017,6,CVX,Chevron Corporation,Energy
57,1506729600,1882650000,2017,9,CVX,Chevron Corporation,Energy
58,1514678400,1888199000,2017,12,CVX,Chevron Corporation,Energy
59,1522454400,1895990000,2018,3,CVX,Chevron Corporation,Energy
60,1530316800,1900375000,2018,6,CVX,Chevron Corporation,Energy
61,1538265600,1900717000,2018,9,CVX,Chevron Corporation,Energy
62,1546214400,1893405000,2018,12,CVX,Chevron Corporation,Energy
63,1553990400,1888002000,2019,3,CVX,Chevron Corporation,Energy
64,1561852800,1889265000,2019,6,CVX,Chevron Corporation,Energy
65,1569801600,1880607000,2019,9,CVX,Chevron Corporation,Energy
66,1577750400,1872317000,2019,12,CVX,Chevron Corporation,Energy
67,1585612800,1862273000,2020,3,CVX,Chevron Corporation,Energy
68,1593475200,1853313000,2020,6,CVX,Chevron Corporation,Energy
69,1601424000,1853533000,2020,9,CVX,Chevron Corporation,Energy
70,1609372800,1910724000,2020,12,CVX,Chevron Corporation,Energy
71,1617148800,1912925000,2021,3,CVX,Chevron Corporation,Energy
72,1625011200,1917536000,2021,6,CVX,Chevron Corporation,Energy
73,1632960000,1918006000,2021,9,CVX,Chevron Corporation,Energy
74,1640908800,1915440000,2021,12,CVX,Chevron Corporation,Energy
75,1648684800,1935668000,2022,3,CVX,Chevron Corporation,Energy
76,1656547200,1947703000,2022,6,CVX,Chevron Corporation,Energy
77,1668718439,1947703000,2022,11,CVX,Chevron Corporation,Energy
