,d,v,years,months,ticker_symbol,security,sector
0,985996800,258060000,2001,3,DVN,Devon Energy,Energy
1,993859200,258976000,2001,6,DVN,Devon Energy,Energy
2,1001808000,252670000,2001,9,DVN,Devon Energy,Energy
3,1017532800,296000000,2002,3,DVN,Devon Energy,Energy
4,1025395200,314000000,2002,6,DVN,Devon Energy,Energy
5,1033344000,312000000,2002,9,DVN,Devon Energy,Energy
6,1049068800,314000000,2003,3,DVN,Devon Energy,Energy
7,1056931200,424000000,2003,6,DVN,Devon Energy,Energy
8,1064880000,464000000,2003,9,DVN,Devon Energy,Energy
9,1080691200,478000000,2004,3,DVN,Devon Energy,Energy
10,1088553600,482000000,2004,6,DVN,Devon Energy,Energy
11,1096502400,484000000,2004,9,DVN,Devon Energy,Energy
12,1112227200,480000000,2005,3,DVN,Devon Energy,Energy
13,1120089600,464000000,2005,6,DVN,Devon Energy,Energy
14,1128038400,446000000,2005,9,DVN,Devon Energy,Energy
15,1143763200,442000000,2006,3,DVN,Devon Energy,Energy
16,1151625600,440000000,2006,6,DVN,Devon Energy,Energy
17,1159574400,441000000,2006,9,DVN,Devon Energy,Energy
18,1175299200,444000000,2007,3,DVN,Devon Energy,Energy
19,1183161600,446000000,2007,6,DVN,Devon Energy,Energy
20,1191110400,445000000,2007,9,DVN,Devon Energy,Energy
21,1206921600,445000000,2008,3,DVN,Devon Energy,Energy
22,1214784000,446000000,2008,6,DVN,Devon Energy,Energy
23,1222732800,442000000,2008,9,DVN,Devon Energy,Energy
24,1238457600,444000000,2009,3,DVN,Devon Energy,Energy
25,1246320000,439000000,2009,6,DVN,Devon Energy,Energy
26,1254268800,441592920,2009,9,DVN,Devon Energy,Energy
27,1269993600,447000000,2010,3,DVN,Devon Energy,Energy
28,1277856000,445000000,2010,6,DVN,Devon Energy,Energy
29,1285804800,435000000,2010,9,DVN,Devon Energy,Energy
30,1301529600,423000000,2011,3,DVN,Devon Energy,Energy
31,1309392000,422000000,2011,6,DVN,Devon Energy,Energy
32,1317340800,410000000,2011,9,DVN,Devon Energy,Energy
33,1333152000,400000000,2012,3,DVN,Devon Energy,Energy
34,1341014400,404000000,2012,6,DVN,Devon Energy,Energy
35,1348963200,400000000,2012,9,DVN,Devon Energy,Energy
36,1356912000,405000000,2012,12,DVN,Devon Energy,Energy
37,1364688000,406000000,2013,3,DVN,Devon Energy,Energy
38,1372550400,402000000,2013,6,DVN,Devon Energy,Energy
39,1380499200,402000000,2013,9,DVN,Devon Energy,Energy
40,1388448000,406000000,2013,12,DVN,Devon Energy,Energy
41,1396224000,407000000,2014,3,DVN,Devon Energy,Energy
42,1404086400,408000000,2014,6,DVN,Devon Energy,Energy
43,1412035200,409000000,2014,9,DVN,Devon Energy,Energy
44,1419984000,409000000,2014,12,DVN,Devon Energy,Energy
45,1427760000,410000000,2015,3,DVN,Devon Energy,Energy
46,1435622400,411000000,2015,6,DVN,Devon Energy,Energy
47,1443571200,411000000,2015,9,DVN,Devon Energy,Energy
48,1451520000,413000000,2015,12,DVN,Devon Energy,Energy
49,1459382400,479000000,2016,3,DVN,Devon Energy,Energy
50,1467244800,524000000,2016,6,DVN,Devon Energy,Energy
51,1475193600,524000000,2016,9,DVN,Devon Energy,Energy
52,1483142400,524000000,2016,12,DVN,Devon Energy,Energy
53,1490918400,525000000,2017,3,DVN,Devon Energy,Energy
54,1498780800,526000000,2017,6,DVN,Devon Energy,Energy
55,1506729600,526000000,2017,9,DVN,Devon Energy,Energy
56,1514678400,525000000,2017,12,DVN,Devon Energy,Energy
57,1522454400,518421053,2018,3,DVN,Devon Energy,Energy
58,1530316800,521000000,2018,6,DVN,Devon Energy,Energy
59,1538265600,491000000,2018,9,DVN,Devon Energy,Energy
60,1546214400,459000000,2018,12,DVN,Devon Energy,Energy
61,1553990400,434000000,2019,3,DVN,Devon Energy,Energy
62,1561852800,415000000,2019,6,DVN,Devon Energy,Energy
63,1569801600,397000000,2019,9,DVN,Devon Energy,Energy
64,1577750400,383000000,2019,12,DVN,Devon Energy,Energy
65,1585612800,383000000,2020,3,DVN,Devon Energy,Energy
66,1593475200,377000000,2020,6,DVN,Devon Energy,Energy
67,1601424000,377000000,2020,9,DVN,Devon Energy,Energy
68,1609372800,383000000,2020,12,DVN,Devon Energy,Energy
69,1617148800,654000000,2021,3,DVN,Devon Energy,Energy
70,1625011200,677000000,2021,6,DVN,Devon Energy,Energy
71,1632960000,677000000,2021,9,DVN,Devon Energy,Energy
72,1640908800,671000000,2021,12,DVN,Devon Energy,Energy
73,1648684800,663000000,2022,3,DVN,Devon Energy,Energy
74,1656547200,658000000,2022,6,DVN,Devon Energy,Energy
75,1668718487,658000000,2022,11,DVN,Devon Energy,Energy
