,d,v,years,months,ticker_symbol,security,sector
0,985996800,465536000,2001,3,EOG,EOG Resources,Energy
1,993859200,463480000,2001,6,EOG,EOG Resources,Energy
2,1001808000,462768000,2001,9,EOG,EOG Resources,Energy
3,1017532800,461940000,2002,3,EOG,EOG Resources,Energy
4,1025395200,462948000,2002,6,EOG,EOG Resources,Energy
5,1033344000,462484000,2002,9,EOG,EOG Resources,Energy
6,1049068800,457708000,2003,3,EOG,EOG Resources,Energy
7,1056931200,457528000,2003,6,EOG,EOG Resources,Energy
8,1064880000,458464000,2003,9,EOG,EOG Resources,Energy
9,1080691200,462580000,2004,3,EOG,EOG Resources,Energy
10,1088553600,465552000,2004,6,EOG,EOG Resources,Energy
11,1096502400,469644000,2004,9,EOG,EOG Resources,Energy
12,1112227200,474586000,2005,3,EOG,EOG Resources,Energy
13,1120089600,476504000,2005,6,EOG,EOG Resources,Energy
14,1128038400,478688000,2005,9,EOG,EOG Resources,Energy
15,1143763200,482236000,2006,3,EOG,EOG Resources,Energy
16,1151625600,483226000,2006,6,EOG,EOG Resources,Energy
17,1159574400,483822000,2006,9,EOG,EOG Resources,Energy
18,1175299200,485526000,2007,3,EOG,EOG Resources,Energy
19,1183161600,486454000,2007,6,EOG,EOG Resources,Energy
20,1191110400,486972000,2007,9,EOG,EOG Resources,Energy
21,1206921600,490860000,2008,3,EOG,EOG Resources,Energy
22,1214784000,493072000,2008,6,EOG,EOG Resources,Energy
23,1222732800,494310000,2008,9,EOG,EOG Resources,Energy
24,1238457600,495982000,2009,3,EOG,EOG Resources,Energy
25,1246320000,496414000,2009,6,EOG,EOG Resources,Energy
26,1254268800,499070000,2009,9,EOG,EOG Resources,Energy
27,1269993600,500740000,2010,3,EOG,EOG Resources,Energy
28,1277856000,501600000,2010,6,EOG,EOG Resources,Energy
29,1285804800,502000000,2010,9,EOG,EOG Resources,Energy
30,1301529600,510400000,2011,3,EOG,EOG Resources,Energy
31,1309392000,531660000,2011,6,EOG,EOG Resources,Energy
32,1317340800,532106000,2011,9,EOG,EOG Resources,Energy
33,1333152000,533348000,2012,3,EOG,EOG Resources,Energy
34,1341014400,533748000,2012,6,EOG,EOG Resources,Energy
35,1348963200,535882000,2012,9,EOG,EOG Resources,Energy
36,1356912000,537800000,2012,12,EOG,EOG Resources,Energy
37,1364688000,538716000,2013,3,EOG,EOG Resources,Energy
38,1372550400,540032000,2013,6,EOG,EOG Resources,Energy
39,1380499200,540942000,2013,9,EOG,EOG Resources,Energy
40,1396224000,542278000,2014,3,EOG,EOG Resources,Energy
41,1404086400,543099000,2014,6,EOG,EOG Resources,Energy
42,1412035200,543984000,2014,9,EOG,EOG Resources,Energy
43,1419984000,544600000,2014,12,EOG,EOG Resources,Energy
44,1427760000,544998000,2015,3,EOG,EOG Resources,Energy
45,1435622400,545504000,2015,6,EOG,EOG Resources,Energy
46,1443571200,545920000,2015,9,EOG,EOG Resources,Energy
47,1451520000,546400000,2015,12,EOG,EOG Resources,Energy
48,1459382400,546715000,2016,3,EOG,EOG Resources,Energy
49,1467244800,547335000,2016,6,EOG,EOG Resources,Energy
50,1475193600,547838000,2016,9,EOG,EOG Resources,Energy
51,1483142400,567300000,2016,12,EOG,EOG Resources,Energy
52,1490918400,573935000,2017,3,EOG,EOG Resources,Energy
53,1498780800,574439000,2017,6,EOG,EOG Resources,Energy
54,1506729600,574783000,2017,9,EOG,EOG Resources,Energy
55,1514678400,575400000,2017,12,EOG,EOG Resources,Energy
56,1522454400,575775000,2018,3,EOG,EOG Resources,Energy
57,1530316800,576135000,2018,6,EOG,EOG Resources,Energy
58,1538265600,577254000,2018,9,EOG,EOG Resources,Energy
59,1546214400,577000000,2018,12,EOG,EOG Resources,Energy
60,1553990400,577207000,2019,3,EOG,EOG Resources,Energy
61,1561852800,577460000,2019,6,EOG,EOG Resources,Energy
62,1569801600,577839000,2019,9,EOG,EOG Resources,Energy
63,1577750400,578200000,2019,12,EOG,EOG Resources,Energy
64,1585612800,578462000,2020,3,EOG,EOG Resources,Energy
65,1593475200,578719000,2020,6,EOG,EOG Resources,Energy
66,1601424000,579055000,2020,9,EOG,EOG Resources,Energy
67,1609372800,579624000,2020,12,EOG,EOG Resources,Energy
68,1617148800,580000000,2021,3,EOG,EOG Resources,Energy
69,1625011200,580000000,2021,6,EOG,EOG Resources,Energy
70,1632960000,581000000,2021,9,EOG,EOG Resources,Energy
71,1640908800,581000000,2021,12,EOG,EOG Resources,Energy
72,1648684800,582000000,2022,3,EOG,EOG Resources,Energy
73,1656547200,583000000,2022,6,EOG,EOG Resources,Energy
74,1668718519,583000000,2022,11,EOG,EOG Resources,Energy
