,d,v,years,months,ticker_symbol,security,sector
0,985996800,852000000,2001,3,HAL,Halliburton,Energy
1,993859200,854000000,2001,6,HAL,Halliburton,Energy
2,1001808000,856000000,2001,9,HAL,Halliburton,Energy
3,1017532800,864000000,2002,3,HAL,Halliburton,Energy
4,1025395200,864000000,2002,6,HAL,Halliburton,Energy
5,1033344000,864000000,2002,9,HAL,Halliburton,Energy
6,1049068800,868000000,2003,3,HAL,Halliburton,Energy
7,1056931200,868000000,2003,6,HAL,Halliburton,Energy
8,1064880000,870000000,2003,9,HAL,Halliburton,Energy
9,1080691200,872000000,2004,3,HAL,Halliburton,Energy
10,1088553600,874000000,2004,6,HAL,Halliburton,Energy
11,1096502400,876000000,2004,9,HAL,Halliburton,Energy
12,1112227200,1002000000,2005,3,HAL,Halliburton,Energy
13,1120089600,1006000000,2005,6,HAL,Halliburton,Energy
14,1128038400,1012000000,2005,9,HAL,Halliburton,Energy
15,1143763200,1024000000,2006,3,HAL,Halliburton,Energy
16,1151625600,1026000000,2006,6,HAL,Halliburton,Energy
17,1159574400,1011000000,2006,9,HAL,Halliburton,Energy
18,1175299200,992000000,2007,3,HAL,Halliburton,Energy
19,1183161600,905000000,2007,6,HAL,Halliburton,Energy
20,1191110400,880000000,2007,9,HAL,Halliburton,Energy
21,1206921600,873000000,2008,3,HAL,Halliburton,Energy
22,1214784000,869000000,2008,6,HAL,Halliburton,Energy
23,1222732800,876000000,2008,9,HAL,Halliburton,Energy
24,1238457600,897000000,2009,3,HAL,Halliburton,Energy
25,1246320000,898000000,2009,6,HAL,Halliburton,Energy
26,1254268800,902000000,2009,9,HAL,Halliburton,Energy
27,1269993600,905000000,2010,3,HAL,Halliburton,Energy
28,1277856000,906000000,2010,6,HAL,Halliburton,Energy
29,1285804800,910000000,2010,9,HAL,Halliburton,Energy
30,1301529600,914000000,2011,3,HAL,Halliburton,Energy
31,1309392000,916000000,2011,6,HAL,Halliburton,Energy
32,1317340800,920000000,2011,9,HAL,Halliburton,Energy
33,1333152000,923000000,2012,3,HAL,Halliburton,Energy
34,1341014400,924000000,2012,6,HAL,Halliburton,Energy
35,1348963200,928000000,2012,9,HAL,Halliburton,Energy
36,1364688000,931000000,2013,3,HAL,Halliburton,Energy
37,1372550400,925000000,2013,6,HAL,Halliburton,Energy
38,1380499200,890000000,2013,9,HAL,Halliburton,Energy
39,1388448000,849000000,2013,12,HAL,Halliburton,Energy
40,1396224000,849000000,2014,3,HAL,Halliburton,Energy
41,1404086400,846000000,2014,6,HAL,Halliburton,Energy
42,1412035200,848000000,2014,9,HAL,Halliburton,Energy
43,1427760000,850000000,2015,3,HAL,Halliburton,Energy
44,1435622400,852000000,2015,6,HAL,Halliburton,Energy
45,1443571200,855000000,2015,9,HAL,Halliburton,Energy
46,1451520000,856000000,2015,12,HAL,Halliburton,Energy
47,1459382400,858000000,2016,3,HAL,Halliburton,Energy
48,1467244800,860000000,2016,6,HAL,Halliburton,Energy
49,1475193600,862000000,2016,9,HAL,Halliburton,Energy
50,1483142400,865000000,2016,12,HAL,Halliburton,Energy
51,1490918400,867000000,2017,3,HAL,Halliburton,Energy
52,1498780800,869000000,2017,6,HAL,Halliburton,Energy
53,1506729600,872000000,2017,9,HAL,Halliburton,Energy
54,1514678400,873000000,2017,12,HAL,Halliburton,Energy
55,1522454400,875000000,2018,3,HAL,Halliburton,Energy
56,1530316800,877000000,2018,6,HAL,Halliburton,Energy
57,1538265600,877000000,2018,9,HAL,Halliburton,Energy
58,1553990400,873000000,2019,3,HAL,Halliburton,Energy
59,1561852800,874000000,2019,6,HAL,Halliburton,Energy
60,1569801600,876000000,2019,9,HAL,Halliburton,Energy
61,1577750400,878000000,2019,12,HAL,Halliburton,Energy
62,1585612800,878000000,2020,3,HAL,Halliburton,Energy
63,1593475200,877000000,2020,6,HAL,Halliburton,Energy
64,1601424000,882000000,2020,9,HAL,Halliburton,Energy
65,1609372800,885000000,2020,12,HAL,Halliburton,Energy
66,1617148800,889000000,2021,3,HAL,Halliburton,Energy
67,1625011200,890000000,2021,6,HAL,Halliburton,Energy
68,1632960000,894000000,2021,9,HAL,Halliburton,Energy
69,1640908800,896000000,2021,12,HAL,Halliburton,Energy
70,1648684800,899000000,2022,3,HAL,Halliburton,Energy
71,1656547200,904000000,2022,6,HAL,Halliburton,Energy
72,1668718566,908000000,2022,11,HAL,Halliburton,Energy
