,d,v,years,months,ticker_symbol,security,sector
0,985996800,266700000,2001,3,HES,Hess Corporation,Energy
1,993859200,268800000,2001,6,HES,Hess Corporation,Energy
2,1001808000,268200000,2001,9,HES,Hess Corporation,Energy
3,1017532800,266400000,2002,3,HES,Hess Corporation,Energy
4,1025395200,268500000,2002,6,HES,Hess Corporation,Energy
5,1033344000,264900000,2002,9,HES,Hess Corporation,Energy
6,1049068800,267300000,2003,3,HES,Hess Corporation,Energy
7,1056931200,267000000,2003,6,HES,Hess Corporation,Energy
8,1064880000,267300000,2003,9,HES,Hess Corporation,Energy
9,1080691200,266100000,2004,3,HES,Hess Corporation,Energy
10,1088553600,304200000,2004,6,HES,Hess Corporation,Energy
11,1096502400,307200000,2004,9,HES,Hess Corporation,Energy
12,1112227200,309600000,2005,3,HES,Hess Corporation,Energy
13,1120089600,272133000,2005,6,HES,Hess Corporation,Energy
14,1128038400,273576000,2005,9,HES,Hess Corporation,Energy
15,1143763200,275031000,2006,3,HES,Hess Corporation,Energy
16,1151625600,275215000,2006,6,HES,Hess Corporation,Energy
17,1159574400,316000000,2006,9,HES,Hess Corporation,Energy
18,1175299200,317300000,2007,3,HES,Hess Corporation,Energy
19,1183161600,318600000,2007,6,HES,Hess Corporation,Energy
20,1191110400,319900000,2007,9,HES,Hess Corporation,Energy
21,1206921600,323800000,2008,3,HES,Hess Corporation,Energy
22,1214784000,320936000,2008,6,HES,Hess Corporation,Energy
23,1222732800,327400000,2008,9,HES,Hess Corporation,Energy
24,1238457600,323000000,2009,3,HES,Hess Corporation,Energy
25,1246320000,323000000,2009,6,HES,Hess Corporation,Energy
26,1254268800,323600000,2009,9,HES,Hess Corporation,Energy
27,1269993600,328338998,2010,3,HES,Hess Corporation,Energy
28,1277856000,325000000,2010,6,HES,Hess Corporation,Energy
29,1285804800,328497268,2010,9,HES,Hess Corporation,Energy
30,1301529600,339747215,2011,3,HES,Hess Corporation,Energy
31,1309392000,339882380,2011,6,HES,Hess Corporation,Energy
32,1317340800,339899800,2011,9,HES,Hess Corporation,Energy
33,1333152000,340300000,2012,3,HES,Hess Corporation,Energy
34,1341014400,341512444,2012,6,HES,Hess Corporation,Energy
35,1348963200,338600000,2012,9,HES,Hess Corporation,Energy
36,1356912000,341527617,2012,12,HES,Hess Corporation,Energy
37,1364688000,343297818,2013,3,HES,Hess Corporation,Energy
38,1372550400,343401303,2013,6,HES,Hess Corporation,Energy
39,1380499200,337575164,2013,9,HES,Hess Corporation,Energy
40,1388448000,325314177,2013,12,HES,Hess Corporation,Energy
41,1396224000,314208324,2014,3,HES,Hess Corporation,Energy
42,1404086400,307724553,2014,6,HES,Hess Corporation,Energy
43,1412035200,298968566,2014,9,HES,Hess Corporation,Energy
44,1419984000,285834964,2014,12,HES,Hess Corporation,Energy
45,1427760000,287382013,2015,3,HES,Hess Corporation,Energy
46,1435622400,287057761,2015,6,HES,Hess Corporation,Energy
47,1443571200,286097193,2015,9,HES,Hess Corporation,Energy
48,1451520000,286045586,2015,12,HES,Hess Corporation,Energy
49,1459382400,316719379,2016,3,HES,Hess Corporation,Energy
50,1467244800,316674357,2016,6,HES,Hess Corporation,Energy
51,1475193600,316621058,2016,9,HES,Hess Corporation,Energy
52,1483142400,316523200,2016,12,HES,Hess Corporation,Energy
53,1490918400,317916303,2017,3,HES,Hess Corporation,Energy
54,1498780800,317843665,2017,6,HES,Hess Corporation,Energy
55,1506729600,317754024,2017,9,HES,Hess Corporation,Energy
56,1514678400,315053615,2017,12,HES,Hess Corporation,Energy
57,1522454400,308055101,2018,3,HES,Hess Corporation,Energy
58,1530316800,299688199,2018,6,HES,Hess Corporation,Energy
59,1538265600,296253136,2018,9,HES,Hess Corporation,Energy
60,1546214400,291434534,2018,12,HES,Hess Corporation,Energy
61,1553990400,304280819,2019,3,HES,Hess Corporation,Energy
62,1561852800,304480590,2019,6,HES,Hess Corporation,Energy
63,1569801600,304706235,2019,9,HES,Hess Corporation,Energy
64,1577750400,304955472,2019,12,HES,Hess Corporation,Energy
65,1585612800,307158340,2020,3,HES,Hess Corporation,Energy
66,1593475200,307144424,2020,6,HES,Hess Corporation,Energy
67,1601424000,307077424,2020,9,HES,Hess Corporation,Energy
68,1609372800,306980092,2020,12,HES,Hess Corporation,Energy
69,1617148800,308436780,2021,3,HES,Hess Corporation,Energy
70,1625011200,309672952,2021,6,HES,Hess Corporation,Energy
71,1632960000,309726894,2021,9,HES,Hess Corporation,Energy
72,1640908800,309744953,2021,12,HES,Hess Corporation,Energy
73,1648684800,311262547,2022,3,HES,Hess Corporation,Energy
74,1656547200,309614906,2022,6,HES,Hess Corporation,Energy
75,1668718582,309614906,2022,11,HES,Hess Corporation,Energy
