,d,v,years,months,ticker_symbol,security,sector
0,1269993600,197929527,2010,3,KMI,Kinder Morgan,Energy
1,1277856000,197929527,2010,6,KMI,Kinder Morgan,Energy
2,1285804800,197929527,2010,9,KMI,Kinder Morgan,Energy
3,1301529600,707000000,2011,3,KMI,Kinder Morgan,Energy
4,1309392000,707000000,2011,6,KMI,Kinder Morgan,Energy
5,1317340800,707000000,2011,9,KMI,Kinder Morgan,Energy
6,1333152000,707000000,2012,3,KMI,Kinder Morgan,Energy
7,1341014400,320000000,2012,6,KMI,Kinder Morgan,Energy
8,1348963200,1037000000,2012,9,KMI,Kinder Morgan,Energy
9,1356912000,1036000000,2012,12,KMI,Kinder Morgan,Energy
10,1364688000,1036000000,2013,3,KMI,Kinder Morgan,Energy
11,1372550400,1036000000,2013,6,KMI,Kinder Morgan,Energy
12,1380499200,1036000000,2013,9,KMI,Kinder Morgan,Energy
13,1388448000,1035000000,2013,12,KMI,Kinder Morgan,Energy
14,1396224000,1029000000,2014,3,KMI,Kinder Morgan,Energy
15,1404086400,1028000000,2014,6,KMI,Kinder Morgan,Energy
16,1412035200,1028000000,2014,9,KMI,Kinder Morgan,Energy
17,1419984000,1457000000,2014,12,KMI,Kinder Morgan,Energy
18,1427760000,2141000000,2015,3,KMI,Kinder Morgan,Energy
19,1435622400,2175000000,2015,6,KMI,Kinder Morgan,Energy
20,1443571200,2203000000,2015,9,KMI,Kinder Morgan,Energy
21,1451520000,2229000000,2015,12,KMI,Kinder Morgan,Energy
22,1459382400,2229000000,2016,3,KMI,Kinder Morgan,Energy
23,1467244800,2229000000,2016,6,KMI,Kinder Morgan,Energy
24,1475193600,2230000000,2016,9,KMI,Kinder Morgan,Energy
25,1483142400,2230000000,2016,12,KMI,Kinder Morgan,Energy
26,1490918400,2230000000,2017,3,KMI,Kinder Morgan,Energy
27,1498780800,2230000000,2017,6,KMI,Kinder Morgan,Energy
28,1506729600,2231000000,2017,9,KMI,Kinder Morgan,Energy
29,1514678400,2229000000,2017,12,KMI,Kinder Morgan,Energy
30,1522454400,2207000000,2018,3,KMI,Kinder Morgan,Energy
31,1530316800,2204000000,2018,6,KMI,Kinder Morgan,Energy
32,1538265600,2205000000,2018,9,KMI,Kinder Morgan,Energy
33,1546214400,2248000000,2018,12,KMI,Kinder Morgan,Energy
34,1553990400,2262000000,2019,3,KMI,Kinder Morgan,Energy
35,1561852800,2262000000,2019,6,KMI,Kinder Morgan,Energy
36,1569801600,2264000000,2019,9,KMI,Kinder Morgan,Energy
37,1577750400,2265000000,2019,12,KMI,Kinder Morgan,Energy
38,1585612800,2264000000,2020,3,KMI,Kinder Morgan,Energy
39,1593475200,2261000000,2020,6,KMI,Kinder Morgan,Energy
40,1601424000,2263000000,2020,9,KMI,Kinder Morgan,Energy
41,1609372800,2264000000,2020,12,KMI,Kinder Morgan,Energy
42,1617148800,2264000000,2021,3,KMI,Kinder Morgan,Energy
43,1625011200,2265000000,2021,6,KMI,Kinder Morgan,Energy
44,1632960000,2267000000,2021,9,KMI,Kinder Morgan,Energy
45,1640908800,2267000000,2021,12,KMI,Kinder Morgan,Energy
46,1648684800,2267000000,2022,3,KMI,Kinder Morgan,Energy
47,1656547200,2265000000,2022,6,KMI,Kinder Morgan,Energy
48,1668718598,2253000000,2022,11,KMI,Kinder Morgan,Energy
