,d,v,years,months,ticker_symbol,security,sector
0,1254268800,712000000,2009,9,MPC,Marathon Petroleum,Energy
1,1269993600,712000000,2010,3,MPC,Marathon Petroleum,Energy
2,1277856000,712000000,2010,6,MPC,Marathon Petroleum,Energy
3,1285804800,712000000,2010,9,MPC,Marathon Petroleum,Energy
4,1301529600,712000000,2011,3,MPC,Marathon Petroleum,Energy
5,1309392000,712000000,2011,6,MPC,Marathon Petroleum,Energy
6,1317340800,712000000,2011,9,MPC,Marathon Petroleum,Energy
7,1333152000,696000000,2012,3,MPC,Marathon Petroleum,Energy
8,1341014400,680000000,2012,6,MPC,Marathon Petroleum,Energy
9,1348963200,676000000,2012,9,MPC,Marathon Petroleum,Energy
10,1356912000,668000000,2012,12,MPC,Marathon Petroleum,Energy
11,1364688000,662000000,2013,3,MPC,Marathon Petroleum,Energy
12,1372550400,644000000,2013,6,MPC,Marathon Petroleum,Energy
13,1380499200,618000000,2013,9,MPC,Marathon Petroleum,Energy
14,1388448000,598000000,2013,12,MPC,Marathon Petroleum,Energy
15,1396224000,586000000,2014,3,MPC,Marathon Petroleum,Energy
16,1404086400,574000000,2014,6,MPC,Marathon Petroleum,Energy
17,1412035200,564000000,2014,9,MPC,Marathon Petroleum,Energy
18,1419984000,554000000,2014,12,MPC,Marathon Petroleum,Energy
19,1427760000,546000000,2015,3,MPC,Marathon Petroleum,Energy
20,1435622400,541000000,2015,6,MPC,Marathon Petroleum,Energy
21,1443571200,535000000,2015,9,MPC,Marathon Petroleum,Energy
22,1451520000,531000000,2015,12,MPC,Marathon Petroleum,Energy
23,1459382400,529000000,2016,3,MPC,Marathon Petroleum,Energy
24,1467244800,528000000,2016,6,MPC,Marathon Petroleum,Energy
25,1475193600,527000000,2016,9,MPC,Marathon Petroleum,Energy
26,1483142400,526000000,2016,12,MPC,Marathon Petroleum,Energy
27,1490918400,525000000,2017,3,MPC,Marathon Petroleum,Energy
28,1498780800,513000000,2017,6,MPC,Marathon Petroleum,Energy
29,1506729600,504000000,2017,9,MPC,Marathon Petroleum,Energy
30,1514678400,488000000,2017,12,MPC,Marathon Petroleum,Energy
31,1522454400,476000000,2018,3,MPC,Marathon Petroleum,Energy
32,1530316800,459000000,2018,6,MPC,Marathon Petroleum,Energy
33,1538265600,451000000,2018,9,MPC,Marathon Petroleum,Energy
34,1546214400,687000000,2018,12,MPC,Marathon Petroleum,Energy
35,1553990400,673000000,2019,3,MPC,Marathon Petroleum,Energy
36,1561852800,662000000,2019,6,MPC,Marathon Petroleum,Energy
37,1569801600,656000000,2019,9,MPC,Marathon Petroleum,Energy
38,1577750400,648000000,2019,12,MPC,Marathon Petroleum,Energy
39,1585612800,648000000,2020,3,MPC,Marathon Petroleum,Energy
40,1593475200,650000000,2020,6,MPC,Marathon Petroleum,Energy
41,1601424000,650000000,2020,9,MPC,Marathon Petroleum,Energy
42,1609372800,650000000,2020,12,MPC,Marathon Petroleum,Energy
43,1617148800,651000000,2021,3,MPC,Marathon Petroleum,Energy
44,1625011200,650000000,2021,6,MPC,Marathon Petroleum,Energy
45,1632960000,633000000,2021,9,MPC,Marathon Petroleum,Energy
46,1640908800,605000000,2021,12,MPC,Marathon Petroleum,Energy
47,1648684800,564000000,2022,3,MPC,Marathon Petroleum,Energy
48,1656547200,532000000,2022,6,MPC,Marathon Petroleum,Energy
49,1668718629,532000000,2022,11,MPC,Marathon Petroleum,Energy
