,d,v,years,months,ticker_symbol,security,sector
0,985996800,198428000,2001,3,OKE,Oneok,Energy
1,993859200,198814000,2001,6,OKE,Oneok,Energy
2,1001808000,199042000,2001,9,OKE,Oneok,Energy
3,1017532800,200140000,2002,3,OKE,Oneok,Energy
4,1025395200,199754000,2002,6,OKE,Oneok,Energy
5,1033344000,199914000,2002,9,OKE,Oneok,Energy
6,1049068800,167466000,2003,3,OKE,Oneok,Energy
7,1056931200,148824000,2003,6,OKE,Oneok,Energy
8,1064880000,155730000,2003,9,OKE,Oneok,Energy
9,1080691200,198232000,2004,3,OKE,Oneok,Energy
10,1088553600,205090000,2004,6,OKE,Oneok,Energy
11,1096502400,205828000,2004,9,OKE,Oneok,Energy
12,1112227200,207332000,2005,3,OKE,Oneok,Energy
13,1120089600,202286000,2005,6,OKE,Oneok,Energy
14,1128038400,199788000,2005,9,OKE,Oneok,Energy
15,1143763200,214286000,2006,3,OKE,Oneok,Energy
16,1151625600,234846000,2006,6,OKE,Oneok,Energy
17,1159574400,226400000,2006,9,OKE,Oneok,Energy
18,1175299200,221736000,2007,3,OKE,Oneok,Energy
19,1183161600,221758000,2007,6,OKE,Oneok,Energy
20,1191110400,207764000,2007,9,OKE,Oneok,Energy
21,1206921600,208340000,2008,3,OKE,Oneok,Energy
22,1214784000,208680000,2008,6,OKE,Oneok,Energy
23,1222732800,208892000,2008,9,OKE,Oneok,Energy
24,1238457600,210324000,2009,3,OKE,Oneok,Energy
25,1246320000,210670000,2009,6,OKE,Oneok,Energy
26,1254268800,210840000,2009,9,OKE,Oneok,Energy
27,1269993600,212264000,2010,3,OKE,Oneok,Energy
28,1277856000,212712000,2010,6,OKE,Oneok,Energy
29,1285804800,212886000,2010,9,OKE,Oneok,Energy
30,1301529600,214040000,2011,3,OKE,Oneok,Energy
31,1309392000,210674000,2011,6,OKE,Oneok,Energy
32,1317340800,206606000,2011,9,OKE,Oneok,Energy
33,1333152000,207618000,2012,3,OKE,Oneok,Energy
34,1341014400,207292000,2012,6,OKE,Oneok,Energy
35,1348963200,205005000,2012,9,OKE,Oneok,Energy
36,1356912000,204648000,2012,12,OKE,Oneok,Energy
37,1364688000,205479000,2013,3,OKE,Oneok,Energy
38,1372550400,206143000,2013,6,OKE,Oneok,Energy
39,1380499200,206235000,2013,9,OKE,Oneok,Energy
40,1388448000,206319000,2013,12,OKE,Oneok,Energy
41,1396224000,209130000,2014,3,OKE,Oneok,Energy
42,1404086400,209403000,2014,6,OKE,Oneok,Energy
43,1412035200,209489000,2014,9,OKE,Oneok,Energy
44,1419984000,209541000,2014,12,OKE,Oneok,Energy
45,1427760000,209874000,2015,3,OKE,Oneok,Energy
46,1435622400,210204000,2015,6,OKE,Oneok,Energy
47,1443571200,210296000,2015,9,OKE,Oneok,Energy
48,1451520000,210417000,2015,12,OKE,Oneok,Energy
49,1459382400,210781000,2016,3,OKE,Oneok,Energy
50,1467244800,211075000,2016,6,OKE,Oneok,Energy
51,1475193600,211309000,2016,9,OKE,Oneok,Energy
52,1483142400,211398000,2016,12,OKE,Oneok,Energy
53,1490918400,211619000,2017,3,OKE,Oneok,Energy
54,1498780800,211785000,2017,6,OKE,Oneok,Energy
55,1506729600,380907000,2017,9,OKE,Oneok,Energy
56,1522454400,409676000,2018,3,OKE,Oneok,Energy
57,1530316800,411946000,2018,6,OKE,Oneok,Energy
58,1538265600,412117000,2018,9,OKE,Oneok,Energy
59,1553990400,412908000,2019,3,OKE,Oneok,Energy
60,1561852800,413606000,2019,6,OKE,Oneok,Energy
61,1569801600,413816000,2019,9,OKE,Oneok,Energy
62,1585612800,414282000,2020,3,OKE,Oneok,Energy
63,1593475200,419722000,2020,6,OKE,Oneok,Energy
64,1601424000,445103000,2020,9,OKE,Oneok,Energy
65,1617148800,445894000,2021,3,OKE,Oneok,Energy
66,1625011200,446337000,2021,6,OKE,Oneok,Energy
67,1632960000,446634000,2021,9,OKE,Oneok,Energy
68,1648684800,447124000,2022,3,OKE,Oneok,Energy
69,1656547200,447451000,2022,6,OKE,Oneok,Energy
70,1668718659,447451000,2022,11,OKE,Oneok,Energy
