,d,v,years,months,ticker_symbol,security,sector
0,985996800,740400000,2001,3,OXY,Occidental Petroleum,Energy
1,993859200,744000000,2001,6,OXY,Occidental Petroleum,Energy
2,1001808000,747000000,2001,9,OXY,Occidental Petroleum,Energy
3,1017532800,749000000,2002,3,OXY,Occidental Petroleum,Energy
4,1025395200,751600000,2002,6,OXY,Occidental Petroleum,Energy
5,1033344000,754200000,2002,9,OXY,Occidental Petroleum,Energy
6,1049068800,758200000,2003,3,OXY,Occidental Petroleum,Energy
7,1056931200,765200000,2003,6,OXY,Occidental Petroleum,Energy
8,1064880000,771000000,2003,9,OXY,Occidental Petroleum,Energy
9,1080691200,783000000,2004,3,OXY,Occidental Petroleum,Energy
10,1088553600,787800000,2004,6,OXY,Occidental Petroleum,Energy
11,1096502400,792600000,2004,9,OXY,Occidental Petroleum,Energy
12,1112227200,800800000,2005,3,OXY,Occidental Petroleum,Energy
13,1120089600,803800000,2005,6,OXY,Occidental Petroleum,Energy
14,1128038400,808600000,2005,9,OXY,Occidental Petroleum,Energy
15,1143763200,848400000,2006,3,OXY,Occidental Petroleum,Energy
16,1151625600,860200000,2006,6,OXY,Occidental Petroleum,Energy
17,1159574400,852800000,2006,9,OXY,Occidental Petroleum,Energy
18,1175299200,841000000,2007,3,OXY,Occidental Petroleum,Energy
19,1183161600,837700000,2007,6,OXY,Occidental Petroleum,Energy
20,1191110400,833100000,2007,9,OXY,Occidental Petroleum,Energy
21,1206921600,823600000,2008,3,OXY,Occidental Petroleum,Energy
22,1214784000,821300000,2008,6,OXY,Occidental Petroleum,Energy
23,1222732800,815300000,2008,9,OXY,Occidental Petroleum,Energy
24,1238457600,811800000,2009,3,OXY,Occidental Petroleum,Energy
25,1246320000,811000000,2009,6,OXY,Occidental Petroleum,Energy
26,1254268800,811800000,2009,9,OXY,Occidental Petroleum,Energy
27,1269993600,812100000,2010,3,OXY,Occidental Petroleum,Energy
28,1277856000,812600000,2010,6,OXY,Occidental Petroleum,Energy
29,1285804800,812700000,2010,9,OXY,Occidental Petroleum,Energy
30,1301529600,812600000,2011,3,OXY,Occidental Petroleum,Energy
31,1309392000,812500000,2011,6,OXY,Occidental Petroleum,Energy
32,1317340800,812500000,2011,9,OXY,Occidental Petroleum,Energy
33,1333152000,810500000,2012,3,OXY,Occidental Petroleum,Energy
34,1341014400,810300000,2012,6,OXY,Occidental Petroleum,Energy
35,1348963200,809700000,2012,9,OXY,Occidental Petroleum,Energy
36,1356912000,807100000,2012,12,OXY,Occidental Petroleum,Energy
37,1364688000,804700000,2013,3,OXY,Occidental Petroleum,Energy
38,1372550400,804900000,2013,6,OXY,Occidental Petroleum,Energy
39,1380499200,805100000,2013,9,OXY,Occidental Petroleum,Energy
40,1388448000,801700000,2013,12,OXY,Occidental Petroleum,Energy
41,1396224000,791300000,2014,3,OXY,Occidental Petroleum,Energy
42,1404086400,782600000,2014,6,OXY,Occidental Petroleum,Energy
43,1412035200,777400000,2014,9,OXY,Occidental Petroleum,Energy
44,1427760000,769600000,2015,3,OXY,Occidental Petroleum,Energy
45,1435622400,766400000,2015,6,OXY,Occidental Petroleum,Energy
46,1443571200,763300000,2015,9,OXY,Occidental Petroleum,Energy
47,1451520000,763200000,2015,12,OXY,Occidental Petroleum,Energy
48,1459382400,763400000,2016,3,OXY,Occidental Petroleum,Energy
49,1467244800,763600000,2016,6,OXY,Occidental Petroleum,Energy
50,1475193600,764000000,2016,9,OXY,Occidental Petroleum,Energy
51,1483142400,764100000,2016,12,OXY,Occidental Petroleum,Energy
52,1490918400,764400000,2017,3,OXY,Occidental Petroleum,Energy
53,1498780800,764900000,2017,6,OXY,Occidental Petroleum,Energy
54,1506729600,765500000,2017,9,OXY,Occidental Petroleum,Energy
55,1514678400,765500000,2017,12,OXY,Occidental Petroleum,Energy
56,1522454400,765600000,2018,3,OXY,Occidental Petroleum,Energy
57,1530316800,765700000,2018,6,OXY,Occidental Petroleum,Energy
58,1538265600,761700000,2018,9,OXY,Occidental Petroleum,Energy
59,1546214400,753800000,2018,12,OXY,Occidental Petroleum,Energy
60,1553990400,748900000,2019,3,OXY,Occidental Petroleum,Energy
61,1561852800,748300000,2019,6,OXY,Occidental Petroleum,Energy
62,1569801600,845700000,2019,9,OXY,Occidental Petroleum,Energy
63,1577750400,894900000,2019,12,OXY,Occidental Petroleum,Energy
64,1585612800,896700000,2020,3,OXY,Occidental Petroleum,Energy
65,1593475200,915500000,2020,6,OXY,Occidental Petroleum,Energy
66,1601424000,929300000,2020,9,OXY,Occidental Petroleum,Energy
67,1609372800,933000000,2020,12,OXY,Occidental Petroleum,Energy
68,1617148800,933100000,2021,3,OXY,Occidental Petroleum,Energy
69,1625011200,934200000,2021,6,OXY,Occidental Petroleum,Energy
70,1632960000,935400000,2021,9,OXY,Occidental Petroleum,Energy
71,1640908800,936500000,2021,12,OXY,Occidental Petroleum,Energy
72,1648684800,936700000,2022,3,OXY,Occidental Petroleum,Energy
73,1656547200,939200000,2022,6,OXY,Occidental Petroleum,Energy
74,1668718644,939200000,2022,11,OXY,Occidental Petroleum,Energy
