,d,v,years,months,ticker_symbol,security,sector
0,985996800,98379000,2001,3,PXD,Pioneer Natural Resources,Energy
1,993859200,98337000,2001,6,PXD,Pioneer Natural Resources,Energy
2,1001808000,98468000,2001,9,PXD,Pioneer Natural Resources,Energy
3,1017532800,104055000,2002,3,PXD,Pioneer Natural Resources,Energy
4,1025395200,113306000,2002,6,PXD,Pioneer Natural Resources,Energy
5,1033344000,116193000,2002,9,PXD,Pioneer Natural Resources,Energy
6,1049068800,116743000,2003,3,PXD,Pioneer Natural Resources,Energy
7,1056931200,117005000,2003,6,PXD,Pioneer Natural Resources,Energy
8,1064880000,117216000,2003,9,PXD,Pioneer Natural Resources,Energy
9,1080691200,118719000,2004,3,PXD,Pioneer Natural Resources,Energy
10,1088553600,118855000,2004,6,PXD,Pioneer Natural Resources,Energy
11,1096502400,118663000,2004,9,PXD,Pioneer Natural Resources,Energy
12,1112227200,142898000,2005,3,PXD,Pioneer Natural Resources,Energy
13,1120089600,140812000,2005,6,PXD,Pioneer Natural Resources,Energy
14,1128038400,137655000,2005,9,PXD,Pioneer Natural Resources,Energy
15,1143763200,126944000,2006,3,PXD,Pioneer Natural Resources,Energy
16,1151625600,125629000,2006,6,PXD,Pioneer Natural Resources,Energy
17,1159574400,124021000,2006,9,PXD,Pioneer Natural Resources,Energy
18,1175299200,121523000,2007,3,PXD,Pioneer Natural Resources,Energy
19,1183161600,121226000,2007,6,PXD,Pioneer Natural Resources,Energy
20,1191110400,120323000,2007,9,PXD,Pioneer Natural Resources,Energy
21,1206921600,117934000,2008,3,PXD,Pioneer Natural Resources,Energy
22,1214784000,118363000,2008,6,PXD,Pioneer Natural Resources,Energy
23,1222732800,118110000,2008,9,PXD,Pioneer Natural Resources,Energy
24,1238457600,114242000,2009,3,PXD,Pioneer Natural Resources,Energy
25,1246320000,113979000,2009,6,PXD,Pioneer Natural Resources,Energy
26,1254268800,114123000,2009,9,PXD,Pioneer Natural Resources,Energy
27,1269993600,114655000,2010,3,PXD,Pioneer Natural Resources,Energy
28,1277856000,115104000,2010,6,PXD,Pioneer Natural Resources,Energy
29,1285804800,115191000,2010,9,PXD,Pioneer Natural Resources,Energy
30,1301529600,115869000,2011,3,PXD,Pioneer Natural Resources,Energy
31,1309392000,116213000,2011,6,PXD,Pioneer Natural Resources,Energy
32,1317340800,116281000,2011,9,PXD,Pioneer Natural Resources,Energy
33,1325289600,119223000,2011,12,PXD,Pioneer Natural Resources,Energy
34,1333152000,122480000,2012,3,PXD,Pioneer Natural Resources,Energy
35,1341014400,123028000,2012,6,PXD,Pioneer Natural Resources,Energy
36,1348963200,123111000,2012,9,PXD,Pioneer Natural Resources,Energy
37,1364688000,128940000,2013,3,PXD,Pioneer Natural Resources,Energy
38,1372550400,137539000,2013,6,PXD,Pioneer Natural Resources,Energy
39,1380499200,138586000,2013,9,PXD,Pioneer Natural Resources,Energy
40,1388448000,139314000,2013,12,PXD,Pioneer Natural Resources,Energy
41,1396224000,143000000,2014,3,PXD,Pioneer Natural Resources,Energy
42,1404086400,143000000,2014,6,PXD,Pioneer Natural Resources,Energy
43,1412035200,143000000,2014,9,PXD,Pioneer Natural Resources,Energy
44,1419984000,146000000,2014,12,PXD,Pioneer Natural Resources,Energy
45,1427760000,149000000,2015,3,PXD,Pioneer Natural Resources,Energy
46,1435622400,149000000,2015,6,PXD,Pioneer Natural Resources,Energy
47,1443571200,149000000,2015,9,PXD,Pioneer Natural Resources,Energy
48,1451520000,149000000,2015,12,PXD,Pioneer Natural Resources,Energy
49,1459382400,162000000,2016,3,PXD,Pioneer Natural Resources,Energy
50,1467244800,164000000,2016,6,PXD,Pioneer Natural Resources,Energy
51,1475193600,170000000,2016,9,PXD,Pioneer Natural Resources,Energy
52,1483142400,170000000,2016,12,PXD,Pioneer Natural Resources,Energy
53,1490918400,170000000,2017,3,PXD,Pioneer Natural Resources,Energy
54,1498780800,170000000,2017,6,PXD,Pioneer Natural Resources,Energy
55,1506729600,170000000,2017,9,PXD,Pioneer Natural Resources,Energy
56,1514678400,170000000,2017,12,PXD,Pioneer Natural Resources,Energy
57,1522454400,170000000,2018,3,PXD,Pioneer Natural Resources,Energy
58,1530316800,170000000,2018,6,PXD,Pioneer Natural Resources,Energy
59,1538265600,171000000,2018,9,PXD,Pioneer Natural Resources,Energy
60,1546214400,171000000,2018,12,PXD,Pioneer Natural Resources,Energy
61,1553990400,169000000,2019,3,PXD,Pioneer Natural Resources,Energy
62,1561852800,168000000,2019,6,PXD,Pioneer Natural Resources,Energy
63,1569801600,167000000,2019,9,PXD,Pioneer Natural Resources,Energy
64,1577750400,166000000,2019,12,PXD,Pioneer Natural Resources,Energy
65,1585612800,166000000,2020,3,PXD,Pioneer Natural Resources,Energy
66,1593475200,165000000,2020,6,PXD,Pioneer Natural Resources,Energy
67,1601424000,165000000,2020,9,PXD,Pioneer Natural Resources,Energy
68,1609372800,165000000,2020,12,PXD,Pioneer Natural Resources,Energy
69,1617148800,210000000,2021,3,PXD,Pioneer Natural Resources,Energy
70,1625011200,234000000,2021,6,PXD,Pioneer Natural Resources,Energy
71,1632960000,244000000,2021,9,PXD,Pioneer Natural Resources,Energy
72,1640908800,244000000,2021,12,PXD,Pioneer Natural Resources,Energy
73,1648684800,243000000,2022,3,PXD,Pioneer Natural Resources,Energy
74,1656547200,242000000,2022,6,PXD,Pioneer Natural Resources,Energy
75,1668718691,242000000,2022,11,PXD,Pioneer Natural Resources,Energy
