,d,v,years,months,ticker_symbol,security,sector
0,1269993600,3900000,2010,3,TRGP,Targa Resources,Energy
1,1277856000,4000000,2010,6,TRGP,Targa Resources,Energy
2,1285804800,5000000,2010,9,TRGP,Targa Resources,Energy
3,1301529600,40900000,2011,3,TRGP,Targa Resources,Energy
4,1309392000,41000000,2011,6,TRGP,Targa Resources,Energy
5,1317340800,41000000,2011,9,TRGP,Targa Resources,Energy
6,1333152000,41000000,2012,3,TRGP,Targa Resources,Energy
7,1341014400,41000000,2012,6,TRGP,Targa Resources,Energy
8,1348963200,41000000,2012,9,TRGP,Targa Resources,Energy
9,1356912000,41000000,2012,12,TRGP,Targa Resources,Energy
10,1364688000,41600000,2013,3,TRGP,Targa Resources,Energy
11,1372550400,41600000,2013,6,TRGP,Targa Resources,Energy
12,1380499200,41600000,2013,9,TRGP,Targa Resources,Energy
13,1388448000,41700000,2013,12,TRGP,Targa Resources,Energy
14,1396224000,42000000,2014,3,TRGP,Targa Resources,Energy
15,1404086400,42000000,2014,6,TRGP,Targa Resources,Energy
16,1412035200,42000000,2014,9,TRGP,Targa Resources,Energy
17,1419984000,42000000,2014,12,TRGP,Targa Resources,Energy
18,1427760000,45800000,2015,3,TRGP,Targa Resources,Energy
19,1435622400,55900000,2015,6,TRGP,Targa Resources,Energy
20,1443571200,56000000,2015,9,TRGP,Targa Resources,Energy
21,1451520000,56000000,2015,12,TRGP,Targa Resources,Energy
22,1459382400,160580627,2016,3,TRGP,Targa Resources,Energy
23,1467244800,161600000,2016,6,TRGP,Targa Resources,Energy
24,1475193600,173193354,2016,9,TRGP,Targa Resources,Energy
25,1483142400,184720525,2016,12,TRGP,Targa Resources,Energy
26,1490918400,191800000,2017,3,TRGP,Targa Resources,Energy
27,1498780800,203700000,2017,6,TRGP,Targa Resources,Energy
28,1506729600,215600000,2017,9,TRGP,Targa Resources,Energy
29,1522454400,218700000,2018,3,TRGP,Targa Resources,Energy
30,1530316800,221100000,2018,6,TRGP,Targa Resources,Energy
31,1538265600,226500000,2018,9,TRGP,Targa Resources,Energy
32,1553990400,232200000,2019,3,TRGP,Targa Resources,Energy
33,1561852800,232400000,2019,6,TRGP,Targa Resources,Energy
34,1569801600,232700000,2019,9,TRGP,Targa Resources,Energy
35,1585612800,233000000,2020,3,TRGP,Targa Resources,Energy
36,1593475200,233100000,2020,6,TRGP,Targa Resources,Energy
37,1601424000,233400000,2020,9,TRGP,Targa Resources,Energy
38,1617148800,228500000,2021,3,TRGP,Targa Resources,Energy
39,1625011200,228600000,2021,6,TRGP,Targa Resources,Energy
40,1632960000,228800000,2021,9,TRGP,Targa Resources,Energy
41,1648684800,228500000,2022,3,TRGP,Targa Resources,Energy
42,1656547200,227800000,2022,6,TRGP,Targa Resources,Energy
43,1668718723,227800000,2022,11,TRGP,Targa Resources,Energy
