,d,v,years,months,ticker_symbol,security,sector
0,985996800,244260000,2001,3,VLO,Valero Energy,Energy
1,993859200,244532000,2001,6,VLO,Valero Energy,Energy
2,1001808000,242900000,2001,9,VLO,Valero Energy,Energy
3,1017532800,420000000,2002,3,VLO,Valero Energy,Energy
4,1025395200,423200000,2002,6,VLO,Valero Energy,Energy
5,1033344000,423600000,2002,9,VLO,Valero Energy,Energy
6,1049068800,430800000,2003,3,VLO,Valero Energy,Energy
7,1056931200,457200000,2003,6,VLO,Valero Energy,Energy
8,1064880000,467600000,2003,9,VLO,Valero Energy,Energy
9,1080691200,503200000,2004,3,VLO,Valero Energy,Energy
10,1088553600,513600000,2004,6,VLO,Valero Energy,Energy
11,1096502400,511400000,2004,9,VLO,Valero Energy,Energy
12,1112227200,512000000,2005,3,VLO,Valero Energy,Energy
13,1120089600,514000000,2005,6,VLO,Valero Energy,Energy
14,1128038400,552000000,2005,9,VLO,Valero Energy,Energy
15,1143763200,619000000,2006,3,VLO,Valero Energy,Energy
16,1151625600,611000000,2006,6,VLO,Valero Energy,Energy
17,1159574400,609000000,2006,9,VLO,Valero Energy,Energy
18,1175299200,599000000,2007,3,VLO,Valero Energy,Energy
19,1183161600,563000000,2007,6,VLO,Valero Energy,Energy
20,1191110400,551000000,2007,9,VLO,Valero Energy,Energy
21,1206921600,532000000,2008,3,VLO,Valero Energy,Energy
22,1214784000,526000000,2008,6,VLO,Valero Energy,Energy
23,1222732800,522000000,2008,9,VLO,Valero Energy,Energy
24,1238457600,514000000,2009,3,VLO,Valero Energy,Energy
25,1246320000,525000000,2009,6,VLO,Valero Energy,Energy
26,1254268800,561000000,2009,9,VLO,Valero Energy,Energy
27,1269993600,562000000,2010,3,VLO,Valero Energy,Energy
28,1277856000,563000000,2010,6,VLO,Valero Energy,Energy
29,1285804800,564000000,2010,9,VLO,Valero Energy,Energy
30,1301529600,566000000,2011,3,VLO,Valero Energy,Energy
31,1309392000,567000000,2011,6,VLO,Valero Energy,Energy
32,1317340800,564000000,2011,9,VLO,Valero Energy,Energy
33,1325289600,555000000,2011,12,VLO,Valero Energy,Energy
34,1333152000,551000000,2012,3,VLO,Valero Energy,Energy
35,1341014400,550000000,2012,6,VLO,Valero Energy,Energy
36,1348963200,549000000,2012,9,VLO,Valero Energy,Energy
37,1356912000,551000000,2012,12,VLO,Valero Energy,Energy
38,1364688000,550000000,2013,3,VLO,Valero Energy,Energy
39,1372550400,543000000,2013,6,VLO,Valero Energy,Energy
40,1380499200,540000000,2013,9,VLO,Valero Energy,Energy
41,1388448000,536000000,2013,12,VLO,Valero Energy,Energy
42,1396224000,531000000,2014,3,VLO,Valero Energy,Energy
43,1404086400,529000000,2014,6,VLO,Valero Energy,Energy
44,1412035200,526000000,2014,9,VLO,Valero Energy,Energy
45,1419984000,517000000,2014,12,VLO,Valero Energy,Energy
46,1427760000,513000000,2015,3,VLO,Valero Energy,Energy
47,1435622400,505000000,2015,6,VLO,Valero Energy,Energy
48,1443571200,491000000,2015,9,VLO,Valero Energy,Energy
49,1451520000,479000000,2015,12,VLO,Valero Energy,Energy
50,1459382400,469000000,2016,3,VLO,Valero Energy,Energy
51,1467244800,467000000,2016,6,VLO,Valero Energy,Energy
52,1475193600,458000000,2016,9,VLO,Valero Energy,Energy
53,1483142400,451000000,2016,12,VLO,Valero Energy,Energy
54,1490918400,448000000,2017,3,VLO,Valero Energy,Energy
55,1498780800,444000000,2017,6,VLO,Valero Energy,Energy
56,1506729600,439000000,2017,9,VLO,Valero Energy,Energy
57,1514678400,435000000,2017,12,VLO,Valero Energy,Energy
58,1522454400,431000000,2018,3,VLO,Valero Energy,Energy
59,1530316800,429000000,2018,6,VLO,Valero Energy,Energy
60,1538265600,425000000,2018,9,VLO,Valero Energy,Energy
61,1546214400,421000000,2018,12,VLO,Valero Energy,Energy
62,1553990400,416000000,2019,3,VLO,Valero Energy,Energy
63,1561852800,415000000,2019,6,VLO,Valero Energy,Energy
64,1569801600,412000000,2019,9,VLO,Valero Energy,Energy
65,1577750400,409000000,2019,12,VLO,Valero Energy,Energy
66,1585612800,408000000,2020,3,VLO,Valero Energy,Energy
67,1593475200,406000000,2020,6,VLO,Valero Energy,Energy
68,1601424000,407000000,2020,9,VLO,Valero Energy,Energy
69,1609372800,407000000,2020,12,VLO,Valero Energy,Energy
70,1617148800,407000000,2021,3,VLO,Valero Energy,Energy
71,1625011200,407000000,2021,6,VLO,Valero Energy,Energy
72,1632960000,407000000,2021,9,VLO,Valero Energy,Energy
73,1640908800,408000000,2021,12,VLO,Valero Energy,Energy
74,1648684800,408000000,2022,3,VLO,Valero Energy,Energy
75,1656547200,404000000,2022,6,VLO,Valero Energy,Energy
76,1668718739,390000000,2022,11,VLO,Valero Energy,Energy
