,d,v,years,months,ticker_symbol,security,sector
0,985996800,6896551724,2001,3,XOM,ExxonMobil,Energy
1,993859200,6757575758,2001,6,XOM,ExxonMobil,Energy
2,1001808000,6913043478,2001,9,XOM,ExxonMobil,Energy
3,1017532800,6966666667,2002,3,XOM,ExxonMobil,Energy
4,1025395200,6600000000,2002,6,XOM,ExxonMobil,Energy
5,1033344000,6769230769,2002,9,XOM,ExxonMobil,Energy
6,1049068800,6704761905,2003,3,XOM,ExxonMobil,Energy
7,1056931200,6619047619,2003,6,XOM,ExxonMobil,Energy
8,1064880000,6636363636,2003,9,XOM,ExxonMobil,Energy
9,1080691200,6554216867,2004,3,XOM,ExxonMobil,Energy
10,1088553600,6505617978,2004,6,XOM,ExxonMobil,Energy
11,1096502400,6454545455,2004,9,XOM,ExxonMobil,Energy
12,1112227200,6390243902,2005,3,XOM,ExxonMobil,Energy
13,1120089600,6314049587,2005,6,XOM,ExxonMobil,Energy
14,1128038400,6200000000,2005,9,XOM,ExxonMobil,Energy
15,1143763200,6086956522,2006,3,XOM,ExxonMobil,Energy
16,1151625600,5954022989,2006,6,XOM,ExxonMobil,Energy
17,1159574400,5860335196,2006,9,XOM,ExxonMobil,Energy
18,1175299200,5658536585,2007,3,XOM,ExxonMobil,Energy
19,1183161600,5545945946,2007,6,XOM,ExxonMobil,Energy
20,1191110400,5470930233,2007,9,XOM,ExxonMobil,Energy
21,1206921600,5312195122,2008,3,XOM,ExxonMobil,Energy
22,1214784000,5201000000,2008,6,XOM,ExxonMobil,Energy
23,1222732800,5102000000,2008,9,XOM,ExxonMobil,Energy
24,1238457600,4937000000,2009,3,XOM,ExxonMobil,Energy
25,1246320000,4817073171,2009,6,XOM,ExxonMobil,Energy
26,1254268800,4784000000,2009,9,XOM,ExxonMobil,Energy
27,1269993600,4722000000,2010,3,XOM,ExxonMobil,Energy
28,1277856000,4716000000,2010,6,XOM,ExxonMobil,Energy
29,1285804800,5076000000,2010,9,XOM,ExxonMobil,Energy
30,1301529600,4963000000,2011,3,XOM,ExxonMobil,Energy
31,1309392000,4906000000,2011,6,XOM,ExxonMobil,Energy
32,1317340800,4849765258,2011,9,XOM,ExxonMobil,Energy
33,1325289600,4771573604,2011,12,XOM,ExxonMobil,Energy
34,1333152000,4725000000,2012,3,XOM,ExxonMobil,Energy
35,1341014400,4665689150,2012,6,XOM,ExxonMobil,Energy
36,1348963200,4578947368,2012,9,XOM,ExxonMobil,Energy
37,1356912000,4522727273,2012,12,XOM,ExxonMobil,Energy
38,1364688000,4481132075,2013,3,XOM,ExxonMobil,Energy
39,1372550400,4425806452,2013,6,XOM,ExxonMobil,Energy
40,1380499200,4396648045,2013,9,XOM,ExxonMobil,Energy
41,1388448000,4371727749,2013,12,XOM,ExxonMobil,Energy
42,1396224000,4333333333,2014,3,XOM,ExxonMobil,Energy
43,1404086400,4282926829,2014,6,XOM,ExxonMobil,Energy
44,1412035200,4267000000,2014,9,XOM,ExxonMobil,Energy
45,1419984000,4211538462,2014,12,XOM,ExxonMobil,Energy
46,1427760000,4222222222,2015,3,XOM,ExxonMobil,Energy
47,1435622400,4190000000,2015,6,XOM,ExxonMobil,Energy
48,1443571200,4198019802,2015,9,XOM,ExxonMobil,Energy
49,1451520000,4149253731,2015,12,XOM,ExxonMobil,Energy
50,1459382400,4178000000,2016,3,XOM,ExxonMobil,Energy
51,1467244800,4146341463,2016,6,XOM,ExxonMobil,Energy
52,1475193600,4206349206,2016,9,XOM,ExxonMobil,Energy
53,1483142400,4097560976,2016,12,XOM,ExxonMobil,Energy
54,1490918400,4221052632,2017,3,XOM,ExxonMobil,Energy
55,1498780800,4294871795,2017,6,XOM,ExxonMobil,Energy
56,1506729600,4271000000,2017,9,XOM,ExxonMobil,Energy
57,1522454400,4270000000,2018,3,XOM,ExxonMobil,Energy
58,1530316800,4271000000,2018,6,XOM,ExxonMobil,Energy
59,1538265600,4273972603,2018,9,XOM,ExxonMobil,Energy
60,1546214400,4255319149,2018,12,XOM,ExxonMobil,Energy
61,1553990400,4272727273,2019,3,XOM,ExxonMobil,Energy
62,1561852800,4287671233,2019,6,XOM,ExxonMobil,Energy
63,1569801600,4226666667,2019,9,XOM,ExxonMobil,Energy
64,1577750400,4278195489,2019,12,XOM,ExxonMobil,Energy
65,1585612800,4357142857,2020,3,XOM,ExxonMobil,Energy
66,1593475200,4153846154,2020,6,XOM,ExxonMobil,Energy
67,1601424000,4533333333,2020,9,XOM,ExxonMobil,Energy
68,1609372800,4270212766,2020,12,XOM,ExxonMobil,Energy
69,1617148800,4265625000,2021,3,XOM,ExxonMobil,Energy
70,1625011200,4263636364,2021,6,XOM,ExxonMobil,Energy
71,1632960000,4299363057,2021,9,XOM,ExxonMobil,Energy
72,1640908800,4264423077,2021,12,XOM,ExxonMobil,Energy
73,1648684800,4281250000,2022,3,XOM,ExxonMobil,Energy
74,1656547200,4239904988,2022,6,XOM,ExxonMobil,Energy
75,1668718551,4239904988,2022,11,XOM,ExxonMobil,Energy
