,d,v,years,months,ticker_symbol,security,sector
0,985996800,116700000,2001,3,AIG,American International Group,Financials
1,993859200,116600000,2001,6,AIG,American International Group,Financials
2,1001808000,131000000,2001,9,AIG,American International Group,Financials
3,1017532800,130750000,2002,3,AIG,American International Group,Financials
4,1025395200,130650000,2002,6,AIG,American International Group,Financials
5,1033344000,130500000,2002,9,AIG,American International Group,Financials
6,1049068800,130500000,2003,3,AIG,American International Group,Financials
7,1056931200,130500000,2003,6,AIG,American International Group,Financials
8,1064880000,130500000,2003,9,AIG,American International Group,Financials
9,1080691200,130500000,2004,3,AIG,American International Group,Financials
10,1088553600,130400000,2004,6,AIG,American International Group,Financials
11,1096502400,130300000,2004,9,AIG,American International Group,Financials
12,1112227200,129850000,2005,3,AIG,American International Group,Financials
13,1120089600,129800000,2005,6,AIG,American International Group,Financials
14,1128038400,129850000,2005,9,AIG,American International Group,Financials
15,1143763200,130250000,2006,3,AIG,American International Group,Financials
16,1151625600,130300000,2006,6,AIG,American International Group,Financials
17,1159574400,130350000,2006,9,AIG,American International Group,Financials
18,1175299200,130600000,2007,3,AIG,American International Group,Financials
19,1183161600,130100000,2007,6,AIG,American International Group,Financials
20,1191110400,128800000,2007,9,AIG,American International Group,Financials
21,1206921600,126400000,2008,3,AIG,American International Group,Financials
22,1214784000,130250000,2008,6,AIG,American International Group,Financials
23,1222732800,135150000,2008,9,AIG,American International Group,Financials
24,1238457600,135250000,2009,3,AIG,American International Group,Financials
25,1246320000,135281740,2009,6,AIG,American International Group,Financials
26,1254268800,135293841,2009,9,AIG,American International Group,Financials
27,1269993600,135658680,2010,3,AIG,American International Group,Financials
28,1277856000,135658680,2010,6,AIG,American International Group,Financials
29,1285804800,135879125,2010,9,AIG,American International Group,Financials
30,1301529600,1557748353,2011,3,AIG,American International Group,Financials
31,1309392000,1836713069,2011,6,AIG,American International Group,Financials
32,1317340800,1899500628,2011,9,AIG,American International Group,Financials
33,1333152000,1875972970,2012,3,AIG,American International Group,Financials
34,1341014400,1756689067,2012,6,AIG,American International Group,Financials
35,1348963200,1642472814,2012,9,AIG,American International Group,Financials
36,1364688000,1476471097,2013,3,AIG,American International Group,Financials
37,1372550400,1476512720,2013,6,AIG,American International Group,Financials
38,1380499200,1475053126,2013,9,AIG,American International Group,Financials
39,1396224000,1459249393,2014,3,AIG,American International Group,Financials
40,1404086400,1442397111,2014,6,AIG,American International Group,Financials
41,1412035200,1419239774,2014,9,AIG,American International Group,Financials
42,1427760000,1365951690,2015,3,AIG,American International Group,Financials
43,1435622400,1329157366,2015,6,AIG,American International Group,Financials
44,1443571200,1279072748,2015,9,AIG,American International Group,Financials
45,1459382400,1156548459,2016,3,AIG,American International Group,Financials
46,1467244800,1113587927,2016,6,AIG,American International Group,Financials
47,1475193600,1071295892,2016,9,AIG,American International Group,Financials
48,1490918400,980777243,2017,3,AIG,American International Group,Financials
49,1498780800,925751084,2017,6,AIG,American International Group,Financials
50,1506729600,908667044,2017,9,AIG,American International Group,Financials
51,1522454400,907951597,2018,3,AIG,American International Group,Financials
52,1530316800,903215488,2018,6,AIG,American International Group,Financials
53,1538265600,895237359,2018,9,AIG,American International Group,Financials
54,1553990400,875383084,2019,3,AIG,American International Group,Financials
55,1561852800,876382884,2019,6,AIG,American International Group,Financials
56,1569801600,877009495,2019,9,AIG,American International Group,Financials
57,1585612800,874213630,2020,3,AIG,American International Group,Financials
58,1593475200,866968305,2020,6,AIG,American International Group,Financials
59,1601424000,867713308,2020,9,AIG,American International Group,Financials
60,1617148800,868105069,2021,3,AIG,American International Group,Financials
61,1625011200,862930931,2021,6,AIG,American International Group,Financials
62,1632960000,852765263,2021,9,AIG,American International Group,Financials
63,1648684800,816314273,2022,3,AIG,American International Group,Financials
64,1656547200,790897301,2022,6,AIG,American International Group,Financials
65,1668716484,790897301,2022,11,AIG,American International Group,Financials
