,d,v,years,months,ticker_symbol,security,sector
0,1049068800,109222276,2003,3,AIZ,Assurant,Financials
1,1056931200,109222276,2003,6,AIZ,Assurant,Financials
2,1064880000,109222276,2003,9,AIZ,Assurant,Financials
3,1080691200,129521599,2004,3,AIZ,Assurant,Financials
4,1088553600,142196828,2004,6,AIZ,Assurant,Financials
5,1096502400,141694172,2004,9,AIZ,Assurant,Financials
6,1112227200,139736533,2005,3,AIZ,Assurant,Financials
7,1120089600,137700163,2005,6,AIZ,Assurant,Financials
8,1128038400,134706785,2005,9,AIZ,Assurant,Financials
9,1143763200,129998426,2006,3,AIZ,Assurant,Financials
10,1151625600,128488126,2006,6,AIZ,Assurant,Financials
11,1159574400,125793731,2006,9,AIZ,Assurant,Financials
12,1175299200,122149873,2007,3,AIZ,Assurant,Financials
13,1183161600,120657052,2007,6,AIZ,Assurant,Financials
14,1191110400,118447175,2007,9,AIZ,Assurant,Financials
15,1206921600,117883761,2008,3,AIZ,Assurant,Financials
16,1214784000,118059955,2008,6,AIZ,Assurant,Financials
17,1222732800,117750167,2008,9,AIZ,Assurant,Financials
18,1238457600,117891543,2009,3,AIZ,Assurant,Financials
19,1246320000,118482958,2009,6,AIZ,Assurant,Financials
20,1254268800,118184367,2009,9,AIZ,Assurant,Financials
21,1269993600,116817005,2010,3,AIZ,Assurant,Financials
22,1277856000,111893858,2010,6,AIZ,Assurant,Financials
23,1285804800,107806207,2010,9,AIZ,Assurant,Financials
24,1301529600,101194814,2011,3,AIZ,Assurant,Financials
25,1309392000,97713045,2011,6,AIZ,Assurant,Financials
26,1317340800,95351601,2011,9,AIZ,Assurant,Financials
27,1333152000,88772845,2012,3,AIZ,Assurant,Financials
28,1341014400,86279670,2012,6,AIZ,Assurant,Financials
29,1348963200,82156838,2012,9,AIZ,Assurant,Financials
30,1356912000,79967001,2012,12,AIZ,Assurant,Financials
31,1364688000,79984576,2013,3,AIZ,Assurant,Financials
32,1372550400,77508062,2013,6,AIZ,Assurant,Financials
33,1380499200,75544542,2013,9,AIZ,Assurant,Financials
34,1388448000,73639434,2013,12,AIZ,Assurant,Financials
35,1396224000,72848756,2014,3,AIZ,Assurant,Financials
36,1404086400,72659590,2014,6,AIZ,Assurant,Financials
37,1412035200,72182547,2014,9,AIZ,Assurant,Financials
38,1419984000,71054598,2014,12,AIZ,Assurant,Financials
39,1427760000,69770224,2015,3,AIZ,Assurant,Financials
40,1435622400,68558472,2015,6,AIZ,Assurant,Financials
41,1443571200,67632920,2015,9,AIZ,Assurant,Financials
42,1451520000,66732896,2015,12,AIZ,Assurant,Financials
43,1459382400,65086935,2016,3,AIZ,Assurant,Financials
44,1467244800,62244778,2016,6,AIZ,Assurant,Financials
45,1475193600,60262073,2016,9,AIZ,Assurant,Financials
46,1483142400,57503640,2016,12,AIZ,Assurant,Financials
47,1490918400,56201342,2017,3,AIZ,Assurant,Financials
48,1498780800,55230367,2017,6,AIZ,Assurant,Financials
49,1506729600,54524874,2017,9,AIZ,Assurant,Financials
50,1514678400,54019089,2017,12,AIZ,Assurant,Financials
51,1522454400,53169358,2018,3,AIZ,Assurant,Financials
52,1530316800,57060313,2018,6,AIZ,Assurant,Financials
53,1538265600,63621184,2018,9,AIZ,Assurant,Financials
54,1546214400,62928096,2018,12,AIZ,Assurant,Financials
55,1553990400,62594828,2019,3,AIZ,Assurant,Financials
56,1561852800,62222090,2019,6,AIZ,Assurant,Financials
57,1569801600,61804492,2019,9,AIZ,Assurant,Financials
58,1577750400,61167672,2019,12,AIZ,Assurant,Financials
59,1585612800,60602911,2020,3,AIZ,Assurant,Financials
60,1593475200,60363577,2020,6,AIZ,Assurant,Financials
61,1601424000,60190103,2020,9,AIZ,Assurant,Financials
62,1609372800,59310101,2020,12,AIZ,Assurant,Financials
63,1617148800,59192880,2021,3,AIZ,Assurant,Financials
64,1625011200,60990609,2021,6,AIZ,Assurant,Financials
65,1632960000,59126313,2021,9,AIZ,Assurant,Financials
66,1640908800,57274878,2021,12,AIZ,Assurant,Financials
67,1648684800,55779362,2022,3,AIZ,Assurant,Financials
68,1656547200,54607321,2022,6,AIZ,Assurant,Financials
69,1668716558,54607321,2022,11,AIZ,Assurant,Financials
